GeneNames	Score
	5.87048178784128e-05
NA	4.35900850360189e-05
LINC00484	1.25511455070627e-05
CLDN15	1.15104438518254e-05
GIHCG	1.14812500537428e-05
RPS3	1.12475254386692e-05
DRAM2	1.12090032404863e-05
ACAD8	1.11215774544286e-05
SSPOP	1.09833713984582e-05
URM1	1.08603281178758e-05
NSMF	1.08458283522053e-05
SGIP1	1.08240797205055e-05
STK24	1.07240900088966e-05
PBX1	1.06472993848456e-05
RPUSD3	1.06082442065679e-05
ZDHHC5	1.05634261251555e-05
EGFL8	1.05633353689641e-05
PTPN7	1.04243802702012e-05
QKI	1.03891693273123e-05
TIMM10	1.03864906237371e-05
LYRM7	1.03467865697973e-05
ASPH	1.0286542876917e-05
TBL2	1.02851578265311e-05
WDR55	1.02140404465811e-05
ZNF670	1.02012267525873e-05
PHACTR1	1.00034088498256e-05
GRINA	9.97134364608036e-06
TIAM2	9.95971057720636e-06
ING1	9.95605036332585e-06
PARP10	9.93140344375661e-06
LINC01003	9.92031042777806e-06
VDAC2	9.91585032505188e-06
MAP3K7	9.91360866635861e-06
IQCB1	9.89208975717721e-06
CNIH4	9.85428969771012e-06
KIFC2	9.79159388673686e-06
PLEC	9.7747775144365e-06
BCL2L15	9.77404660566752e-06
ZNF502	9.75630860403939e-06
ZNF501	9.75044694274551e-06
THYN1	9.73963504393543e-06
ZNF197	9.73096242975905e-06
FOXK1	9.72997938299178e-06
UGCG	9.72861804100336e-06
TMEM44	9.72757696099616e-06
AP4B1	9.71667694560119e-06
SDK1	9.71657137705887e-06
CACNA1E	9.68356926224049e-06
NINJ2	9.6770652655283e-06
TSPAN31	9.67083763602192e-06
TNFRSF14	9.64639340727254e-06
CCNA1	9.62772593755122e-06
CLEC2L	9.62289671419115e-06
STIM1	9.6150046374308e-06
TIGIT	9.61096751011755e-06
MBOAT4	9.60819426998891e-06
HLA-DRB1	9.60472357602061e-06
RTKN2	9.59622617693199e-06
GBA2	9.55257404430258e-06
LY6G5B	9.54757864651226e-06
ENPP4	9.54469665757762e-06
ADAMTS6	9.52969804896209e-06
CAHM	9.52854721519846e-06
CD52	9.51321645676881e-06
CCDC50	9.5085881095714e-06
CNPY2	9.50811836605094e-06
UEVLD	9.50078719456161e-06
PSRC1	9.498127685083e-06
ATP6V0A2	9.48042681332347e-06
CALHM6	9.47844224557906e-06
ZKSCAN7	9.46190755715536e-06
TMEM158	9.45176126607346e-06
ZNF35	9.45063892746325e-06
WHR1	9.44712114466761e-06
TEX264	9.44504747920381e-06
HSDL2	9.44367665263661e-06
ARHGEF5	9.43999373009592e-06
LRRC8C	9.43732833805482e-06
DDX20	9.433739977554e-06
SFT2D1	9.43065777323209e-06
CAV2	9.41927413943898e-06
EXT2	9.41049545282227e-06
ELP3	9.40630688353096e-06
LY6G5C	9.4058006001927e-06
ITGA2	9.40128166224246e-06
FAAP20	9.39861983535927e-06
ZC3H12C	9.38428869431357e-06
ORAI1	9.37668947987155e-06
SPATC1	9.37351429287687e-06
BLOC1S2	9.36632592908847e-06
SMAP1	9.35276602533429e-06
DNM1	9.35270058675732e-06
MYRF	9.35046113941268e-06
SLC35A5	9.3385177679686e-06
MAP4	9.33570671342574e-06
B3GALNT2	9.33459004231747e-06
RNF19A	9.32997578476659e-06
HLA-B	9.31809512481721e-06
TRIM73	9.31035304841543e-06
OS9	9.30810492072963e-06
CHST2	9.30561082370845e-06
NDOR1	9.30011208062342e-06
CTSB	9.28992986867541e-06
TTC34	9.28801214675043e-06
RNF207	9.28682600234183e-06
ZNF212	9.28583522537683e-06
PRXL2B	9.28263692875328e-06
LYRM4	9.2820438104456e-06
DHTKD1	9.25989175464302e-06
IL17RB	9.25224610276006e-06
DMAP1	9.24308702494359e-06
PYCR2	9.24001488956779e-06
CDC42	9.23618245262995e-06
EAF1	9.23132216184568e-06
SLC35D1	9.23060947046408e-06
SCYL3	9.22706997160095e-06
HCAR2	9.21680434580099e-06
EPHB4	9.19961483334626e-06
NBPF12	9.1984384145555e-06
C8B	9.18860812184005e-06
CAMSAP1	9.18411736336469e-06
HINFP	9.16971102644446e-06
ZNF467	9.16794210630465e-06
TNFSF8	9.15603239274273e-06
ADAM19	9.15414246779561e-06
CUL9	9.14059406155641e-06
RALGPS1	9.1340031511925e-06
RHNO1	9.11856022544847e-06
TMEM9B	9.1172863428777e-06
SMURF1	9.11645812474106e-06
TCTN2	9.11398902197422e-06
FNBP1L	9.10830447052319e-06
MMEL1	9.10552000335505e-06
UPK3B	9.10279255114725e-06
DDX31	9.09184147224582e-06
NSG2	9.08869890697533e-06
IGSF9	9.08208393530501e-06
TUBA1C	9.07354650729272e-06
CTSC	9.06864727129926e-06
SLC9A9	9.06813988136927e-06
CLIC3	9.06545198812956e-06
AFDN	9.06216410373523e-06
FDXACB1	9.0591338005581e-06
SH3BGRL3	9.05877678564458e-06
CWF19L1	9.05627698569338e-06
FHAD1	9.05626131505822e-06
RFC4	9.05534209573653e-06
ZNF503	9.0549162785085e-06
HSF2	9.05341977558926e-06
CCHCR1	9.05170040744522e-06
SUCLG2	9.0510728416332e-06
FARP1	9.05090176548966e-06
CCDC80	9.04302772867044e-06
TTLL11	9.04276507834674e-06
PEF1	9.04083421533255e-06
PHYH	9.02924712085423e-06
KRT79	9.0277833968834e-06
SZT2	9.0169134603056e-06
DHX32	9.01409803733006e-06
TAS2R14	9.01372485537141e-06
DTX2	9.00962289214345e-06
NAV1	9.00051599220589e-06
ZNF707	8.99901860545481e-06
CRYZ	8.99430947155025e-06
