GeneNames	Score
	6.16281085297338e-05
NA	3.82498255735137e-05
LINC00484	8.53015510280365e-06
CLDN15	8.02908546681253e-06
GIHCG	7.85360531668698e-06
DRAM2	7.73916373184553e-06
RPUSD3	7.70215016916817e-06
SGIP1	7.53225412743096e-06
ACAD8	7.52318447981607e-06
ZDHHC5	7.46966551214611e-06
TSPAN31	7.42244904907606e-06
LYRM7	7.40426753565224e-06
RPS3	7.38667479314827e-06
STK24	7.36479942246585e-06
URM1	7.33342886217991e-06
ZNF197	7.33229211319595e-06
NSMF	7.31711907774595e-06
EGFL8	7.31526456180814e-06
ZNF502	7.29423349904229e-06
ING1	7.28706664406582e-06
ZNF501	7.28192490730128e-06
WDR55	7.27923846309563e-06
GRINA	7.24996701821262e-06
ZNF35	7.23135970336035e-06
PARP10	7.22947484594509e-06
CD52	7.20670027211398e-06
THYN1	7.202647050029e-06
QKI	7.19518919923008e-06
SSPOP	7.19133456945868e-06
FOXK1	7.18415986520669e-06
PTPN7	7.17895236578565e-06
ZNF670	7.17119804482821e-06
SCYL3	7.17111350877459e-06
ZKSCAN7	7.15630510374893e-06
UGCG	7.14680065783998e-06
PCSK9	7.12859717988735e-06
PLEC	7.12507065333996e-06
GBA2	7.12098079567456e-06
TNFRSF10B	7.11214959141976e-06
TMEM258	7.09725339461005e-06
CREB3	7.09297516822651e-06
UEVLD	7.08536553110867e-06
TIMM10	7.08289332512362e-06
CAHM	7.08017097872141e-06
DNM1	7.07062310696032e-06
MBOAT4	7.0653570999932e-06
BCL2L15	7.05885657409441e-06
CALHM6	7.05710803090223e-06
AP4B1	7.05472074621332e-06
LY6G5C	7.04722711906195e-06
MAP3K7	7.04525508428249e-06
TBL2	7.04328025851181e-06
ELP3	7.04149824796565e-06
ORAI1	7.04045534076897e-06
LY6G5B	7.03973158547602e-06
LINC01003	7.02949179915769e-06
PBX1	7.02389469032392e-06
FADS1	7.01774282098407e-06
IQCB1	7.01629425324386e-06
VDAC2	7.01190231347644e-06
OS9	7.00973759611203e-06
CLEC2L	7.00956197205185e-06
PSRC1	7.00250379119928e-06
RGP1	7.00127731221547e-06
RHNO1	6.99671810715592e-06
ITIH4	6.99355713497284e-06
CCNA1	6.9837997330321e-06
CCDC50	6.98087728051355e-06
SMAP1	6.97674096209234e-06
TIGIT	6.97665121632395e-06
STIMATE	6.97359173605255e-06
TEX264	6.97257920348228e-06
YPEL4	6.97244833981388e-06
TIAM2	6.96664677520593e-06
CACNA1D	6.96143356957588e-06
PRR4	6.95914129862391e-06
ARHGEF5	6.95723167548709e-06
TMEM68	6.95467223648049e-06
RALGPS1	6.95294137205869e-06
TNFRSF14	6.95137409345912e-06
CRYBG2	6.95000851611688e-06
HLA-DRB1	6.947718976636e-06
NBPF12	6.94735344074988e-06
NINJ2	6.94680947898903e-06
TGS1	6.94675512716866e-06
IGSF9	6.94176364960269e-06
B3GALNT2	6.94121997884798e-06
TNFRSF10C	6.94081626864615e-06
TAS2R20	6.93565228467624e-06
DDX20	6.93491411083261e-06
KIAA2013	6.93145154888119e-06
ASPH	6.9260589134429e-06
PHACTR1	6.92600173872395e-06
TAS2R14	6.92455209212673e-06
ZC3H12C	6.92426805525866e-06
UCK1	6.92231503233724e-06
CGAS	6.92224076426565e-06
HINFP	6.92058696605393e-06
ZNF589	6.91948909771616e-06
SMPD2	6.91501823381912e-06
PROB1	6.91435306981756e-06
S100A8	6.91430375772785e-06
TREML2	6.91307482166348e-06
LCNL1	6.90911920843341e-06
IVNS1ABP	6.90265703162997e-06
RTKN2	6.90164432614335e-06
BLOC1S2	6.89978918281256e-06
NKX3-1	6.89962612554982e-06
LRRC8C	6.89852097819455e-06
LINC01252	6.8972257700073e-06
RNF19A	6.89695287484131e-06
TTC34	6.89675969716013e-06
MFN2	6.89597146967661e-06
PHKG1	6.89568323835898e-06
TRIM73	6.89542699031676e-06
ACCS	6.89409532027764e-06
ELAPOR1	6.89294459315556e-06
PLOD1	6.88991843051278e-06
C8B	6.88930857735316e-06
MMEL1	6.88915467219152e-06
IL15RA	6.88386154198025e-06
DDX31	6.88353211224167e-06
MYRF	6.88342643309857e-06
KIAA0040	6.88159265769831e-06
MAP4	6.87920105439987e-06
SPATA24	6.87887830289796e-06
KIFC2	6.87517389321708e-06
S100A9	6.87438810828272e-06
CNPY2	6.87338286861615e-06
CLIC3	6.87299058786357e-06
PYCR2	6.87190622833568e-06
TMEM89	6.87137389024845e-06
TMEM9B	6.86947813682736e-06
TMEM44	6.86937075820854e-06
ADAMTS6	6.86893655481911e-06
EXT2	6.86870274203947e-06
SLC25A46	6.86825940407521e-06
UPK3B	6.86802521158134e-06
DGAT2	6.86588887601236e-06
TNFSF8	6.86461859103993e-06
HSDL2	6.86415587525111e-06
EAF1	6.86312086148113e-06
KRT1	6.86247899765314e-06
PRXL2B	6.8587449112938e-06
MUSTN1	6.85698219442201e-06
MIIP	6.85579743008616e-06
STIM1	6.850839156047e-06
DNAJC3	6.85018608799587e-06
PRICKLE1	6.84920659243355e-06
DHTKD1	6.84838843758063e-06
RNF207	6.84807220280139e-06
ZFP91	6.84743176960546e-06
FDXACB1	6.8444353156219e-06
GNG11	6.84374879030732e-06
EPHB4	6.8411303475353e-06
MED22	6.84023231264708e-06
SIK2	6.83955669377667e-06
TKT	6.83890781830977e-06
CASP2	6.83859242417719e-06
FGD4	6.83780650176736e-06
FADS2	6.83777897293252e-06
SLC35A5	6.83599424249087e-06
MAN1B1	6.83516561195434e-06
CHST2	6.83513832106387e-06
COQ4	6.83180860226167e-06
