GeneNames	Score
	7.32039329243048e-05
NA	4.31920390073403e-05
PPP2R5D	1.29019186968763e-05
HLA-DQA2	1.16502889740069e-05
DNPH1	1.14440335446821e-05
SDCBP	1.11612919132669e-05
TAGLN	1.10210060201422e-05
MYBL1	1.10037381395772e-05
HLA-DQB2	1.08638925343149e-05
ABCC2	1.07723458035699e-05
MTARC2	1.07450417434592e-05
LINC02870	1.07143968441606e-05
SLC25A28	1.06357106129386e-05
SLC25A46	1.05527080180683e-05
VAMP3	1.04819973752337e-05
TREM2	1.04393863857063e-05
ATG7	1.03480550648284e-05
HLA-DQB1	1.03260795727887e-05
FNBP1	1.03068373716599e-05
ADAMTSL4	1.02612959558395e-05
ZNF384	1.02567200355577e-05
S100A9	1.02485490583309e-05
PROB1	1.02244285780849e-05
SYNE1	1.01788593846663e-05
H4C12	1.01758643307032e-05
STX6	1.01665202790048e-05
S100A8	1.01443857879837e-05
C4BPA	1.01406112916785e-05
SKIC2	1.01383589128259e-05
SLC29A1	1.00873329488167e-05
C2CD2L	1.00708253085862e-05
HINFP	1.00477735650106e-05
CCND2	1.00439579231404e-05
TMEM258	1.00424214231643e-05
MORN1	9.99207804224645e-06
UBE2R2	9.98991653727164e-06
TGS1	9.97880489489743e-06
NHERF4	9.95010276471115e-06
MATN1	9.93868380150882e-06
TIPARP	9.9361953852528e-06
HLA-DQA1	9.93569139204803e-06
EIF2B1	9.90244892861034e-06
MSR1	9.87392116528939e-06
MINDY3	9.87100098765644e-06
FOXK1	9.83156415096545e-06
SPATA24	9.82037750103571e-06
DPAGT1	9.80369974999417e-06
ZMAT3	9.80074140972838e-06
NUDCD3	9.77991140046595e-06
TEX10	9.76222294989475e-06
EEF1AKMT3	9.73686413152585e-06
LRRC32	9.72841774808044e-06
FAM177B	9.71908418986731e-06
MFN1	9.68587700951564e-06
EEFSEC	9.6821831502036e-06
PCSK7	9.65245055331658e-06
OR51B6	9.63928402659329e-06
TRIM56	9.61685937148849e-06
PLXNA2	9.59902845974751e-06
NT5DC1	9.59584232748642e-06
TMEM45B	9.59267021153363e-06
MCM4	9.58647420603333e-06
TIMM10	9.58309173068545e-06
FBXO42	9.58190124098518e-06
MTARC1	9.58096882598099e-06
GATC	9.58056680923518e-06
FADS1	9.58052239693383e-06
SUPT3H	9.57481995939464e-06
KIAA1191	9.57178500116567e-06
S100A12	9.56808357581402e-06
ATP6V0A2	9.55812172049123e-06
PLEKHF2	9.55805803714799e-06
PLGRKT	9.55423749785831e-06
ZBED10P	9.54612357184015e-06
HLA-DRB1	9.53078943384684e-06
TJP2	9.52594841611803e-06
ANKRD34A	9.50647119940043e-06
NDUFA2	9.5022436701082e-06
GRM2	9.49728295165503e-06
GTF2E2	9.48544496219054e-06
FPGS	9.47593496817376e-06
EBPL	9.46661559080613e-06
TM7SF3	9.45677482170819e-06
RBPMS	9.4328932567011e-06
ABHD13	9.4271391014523e-06
PAXIP1-DT	9.41947868359999e-06
AOC1	9.40671202313253e-06
PBX1	9.40651228312803e-06
MAP3K12	9.39851970880846e-06
CCT3	9.38964290431828e-06
PPP1R2	9.38209855491861e-06
PPT2	9.36517253429429e-06
PIGC	9.36339830765496e-06
GFI1B	9.35986759536332e-06
TMEM176A	9.35227470894992e-06
TMEM68	9.33463826670474e-06
TRIM66	9.31163756869333e-06
B4GALNT3	9.30860691246526e-06
CD180	9.29621862865748e-06
NUP107-DT	9.29068558158072e-06
CHST2	9.28932158067154e-06
ZSCAN26	9.28698053224762e-06
ELOVL7	9.28122444808675e-06
LINC01267	9.27670574606727e-06
TMEM39B	9.27056524507126e-06
ZNF775	9.26941219563968e-06
MRPS10	9.26271645322789e-06
LINC01011	9.25913580027453e-06
TAF13	9.25224486342667e-06
TRAM1	9.24518126851462e-06
