GeneNames	Score
LDLRAP1	3.99122321635932e-05
LPL	3.98975397324165e-05
BLK	3.9893546219764e-05
LMNA	3.98706124528748e-05
NNT	3.98544848750022e-05
CEP19	3.98528958026217e-05
AGPAT2	3.98425414181751e-05
LRP6	3.98417350412139e-05
BSCL2	3.98403946198859e-05
PCSK9	3.98380665599791e-05
UQCRB	3.98287059940843e-05
AIP	3.98263863618236e-05
CACNA1D	3.98228419753803e-05
PLAGL1	3.98187757083937e-05
ZFP57	3.98187757083937e-05
PDE8B	3.98186580233731e-05
EPHX2	3.98147268288188e-05
ITIH4	3.98147268288188e-05
PPP1R17	3.98147268288188e-05
CTRC	3.98143501670221e-05
TRPM6	3.98134125148178e-05
DNAJC3	3.98124341900553e-05
BSND	3.98115967249735e-05
SLC25A13	3.93591615360719e-05
MAPK8IP1	3.93586350466497e-05
ITPR3	3.92667531355552e-05
OAS1	3.92667531355552e-05
SDC3	3.91344079631908e-05
GHRL	3.91344079631908e-05
	3.8909644576999e-05
A3GALT2	3.8909644576999e-05
AASS	3.8909644576999e-05
ABCA13	3.8909644576999e-05
ABCA2	3.8909644576999e-05
ABCB8	3.8909644576999e-05
ABCB9	3.8909644576999e-05
ABCC10	3.8909644576999e-05
ABCC2	3.8909644576999e-05
ABCC4	3.8909644576999e-05
ABCC5	3.8909644576999e-05
ABCD3	3.8909644576999e-05
ABCF2	3.8909644576999e-05
ABCF3	3.8909644576999e-05
ABHD10	3.8909644576999e-05
ABHD11	3.8909644576999e-05
ABHD13	3.8909644576999e-05
ABHD14A	3.8909644576999e-05
ABHD14B	3.8909644576999e-05
ABHD16A	3.8909644576999e-05
ABITRAM	3.8909644576999e-05
ABL2	3.8909644576999e-05
ABO	3.8909644576999e-05
ABRACL	3.8909644576999e-05
ABT1	3.8909644576999e-05
ABTB1	3.8909644576999e-05
ABTB2	3.8909644576999e-05
ABTB3	3.8909644576999e-05
ACACB	3.8909644576999e-05
ACAD8	3.8909644576999e-05
ACAD9	3.8909644576999e-05
ACADM	3.8909644576999e-05
ACADS	3.8909644576999e-05
ACADSB	3.8909644576999e-05
ACAP2	3.8909644576999e-05
ACAT1	3.8909644576999e-05
ACBD7	3.8909644576999e-05
ACCS	3.8909644576999e-05
ACP2	3.8909644576999e-05
ACP3	3.8909644576999e-05
ACP6	3.8909644576999e-05
ACSL5	3.8909644576999e-05
ACSL6	3.8909644576999e-05
ACTA2	3.8909644576999e-05
ACTR1A	3.8909644576999e-05
ACTR3C	3.8909644576999e-05
ACTRT3	3.8909644576999e-05
ACVR2B	3.8909644576999e-05
ACY3	3.8909644576999e-05
ADAM12	3.8909644576999e-05
ADAM15	3.8909644576999e-05
ADAM19	3.8909644576999e-05
ADAM28	3.8909644576999e-05
ADAM9	3.8909644576999e-05
ADAMDEC1	3.8909644576999e-05
ADAMTS13	3.8909644576999e-05
ADAMTS2	3.8909644576999e-05
ADAMTS6	3.8909644576999e-05
ADAMTSL4	3.8909644576999e-05
