GeneNames	Score
	7.32039329248305e-05
NA	4.3192039007703e-05
PPP2R5D	1.29019186969133e-05
HLA-DQA2	1.16502889740756e-05
DNPH1	1.1444033544751e-05
SDCBP	1.11612919132854e-05
TAGLN	1.10210060202093e-05
MYBL1	1.10037381396436e-05
HLA-DQB2	1.08638925343571e-05
ABCC2	1.0772345803622e-05
MTARC2	1.07450417435455e-05
LINC02870	1.07143968442097e-05
SLC25A28	1.06357106129627e-05
SLC25A46	1.05527080181357e-05
VAMP3	1.04819973752835e-05
TREM2	1.04393863857574e-05
ATG7	1.03480550648327e-05
HLA-DQB1	1.03260795728314e-05
FNBP1	1.0306837371709e-05
ADAMTSL4	1.02612959558896e-05
ZNF384	1.02567200356162e-05
S100A9	1.02485490583883e-05
PROB1	1.02244285781748e-05
SYNE1	1.01788593846881e-05
H4C12	1.01758643307512e-05
STX6	1.01665202790462e-05
S100A8	1.01443857880402e-05
C4BPA	1.0140611291705e-05
SKIC2	1.01383589129051e-05
SLC29A1	1.00873329488423e-05
C2CD2L	1.00708253086373e-05
HINFP	1.00477735650732e-05
CCND2	1.00439579232056e-05
TMEM258	1.00424214232593e-05
MORN1	9.99207804229763e-06
UBE2R2	9.98991653731102e-06
TGS1	9.97880489494499e-06
NHERF4	9.95010276476707e-06
MATN1	9.93868380157806e-06
TIPARP	9.93619538528115e-06
HLA-DQA1	9.93569139208865e-06
EIF2B1	9.90244892867483e-06
MSR1	9.87392116534162e-06
MINDY3	9.87100098772327e-06
FOXK1	9.83156415102535e-06
SPATA24	9.82037750111892e-06
DPAGT1	9.80369975006123e-06
ZMAT3	9.80074140978646e-06
NUDCD3	9.77991140050759e-06
TEX10	9.7622229499438e-06
EEF1AKMT3	9.73686413156904e-06
LRRC32	9.72841774812903e-06
FAM177B	9.71908418991873e-06
MFN1	9.68587700954138e-06
EEFSEC	9.68218315026772e-06
PCSK7	9.65245055337393e-06
OR51B6	9.63928402663113e-06
TRIM56	9.61685937153644e-06
PLXNA2	9.59902845981232e-06
NT5DC1	9.59584232754967e-06
TMEM45B	9.59267021160341e-06
MCM4	9.58647420607018e-06
TIMM10	9.58309173074774e-06
FBXO42	9.58190124103822e-06
MTARC1	9.58096882605841e-06
GATC	9.580566809314e-06
FADS1	9.58052239702668e-06
SUPT3H	9.57481995944986e-06
