GeneNames	Score
LDLRAP1	5.79765276070944e-06
LPL	5.7544388059812e-06
BLK	5.74225400539963e-06
LMNA	5.67449751263639e-06
NNT	5.62606086877628e-06
CEP19	5.62128780209811e-06
AGPAT2	5.5899813537735e-06
LRP6	5.58753299930991e-06
BSCL2	5.58346818831957e-06
PCSK9	5.57638999451912e-06
UQCRB	5.54786199626782e-06
AIP	5.54078778900662e-06
CACNA1D	5.52993446384285e-06
PLAGL1	5.51746293065569e-06
ZFP57	5.51746293065569e-06
PDE8B	5.51709931984729e-06
EPHX2	5.50502645474436e-06
ITIH4	5.50502645474436e-06
PPP1R17	5.50502645474436e-06
CTRC	5.50374008546857e-06
TRPM6	5.50097827583423e-06
DNAJC3	5.49796228183079e-06
BSND	5.49537879726832e-06
SLC25A13	3.87068705446724e-06
MAPK8IP1	3.86815181201374e-06
ITPR3	3.45020951433044e-06
OAS1	3.45020951433044e-06
GHRL	2.74058552877593e-06
SDC3	2.74058552877593e-06
tyr	4.75872924559653e-07
	4.46502254192379e-07
A3GALT2	4.46502254192379e-07
AASS	4.46502254192379e-07
ABCA13	4.46502254192379e-07
ABCA2	4.46502254192379e-07
ABCB8	4.46502254192379e-07
ABCB9	4.46502254192379e-07
ABCC10	4.46502254192379e-07
ABCC2	4.46502254192379e-07
ABCC4	4.46502254192379e-07
ABCC5	4.46502254192379e-07
ABCD3	4.46502254192379e-07
ABCF2	4.46502254192379e-07
ABCF3	4.46502254192379e-07
ABHD10	4.46502254192379e-07
ABHD11	4.46502254192379e-07
ABHD13	4.46502254192379e-07
ABHD14A	4.46502254192379e-07
ABHD14B	4.46502254192379e-07
ABHD16A	4.46502254192379e-07
ABITRAM	4.46502254192379e-07
ABL2	4.46502254192379e-07
ABO	4.46502254192379e-07
ABRACL	4.46502254192379e-07
ABT1	4.46502254192379e-07
ABTB1	4.46502254192379e-07
ABTB2	4.46502254192379e-07
ABTB3	4.46502254192379e-07
ACACB	4.46502254192379e-07
ACAD8	4.46502254192379e-07
ACAD9	4.46502254192379e-07
ACADM	4.46502254192379e-07
ACADS	4.46502254192379e-07
ACADSB	4.46502254192379e-07
ACAP2	4.46502254192379e-07
ACAT1	4.46502254192379e-07
ACBD7	4.46502254192379e-07
ACCS	4.46502254192379e-07
ACP2	4.46502254192379e-07
ACP3	4.46502254192379e-07
ACP6	4.46502254192379e-07
ACSL5	4.46502254192379e-07
ACSL6	4.46502254192379e-07
ACTA2	4.46502254192379e-07
ACTR1A	4.46502254192379e-07
ACTR3C	4.46502254192379e-07
ACTRT3	4.46502254192379e-07
ACVR2B	4.46502254192379e-07
ACY3	4.46502254192379e-07
ADAM12	4.46502254192379e-07
ADAM15	4.46502254192379e-07
ADAM19	4.46502254192379e-07
ADAM28	4.46502254192379e-07
ADAM9	4.46502254192379e-07
ADAMDEC1	4.46502254192379e-07
ADAMTS13	4.46502254192379e-07
ADAMTS2	4.46502254192379e-07
ADAMTS6	4.46502254192379e-07
ADAMTSL4	4.46502254192379e-07
ADAP1	4.46502254192379e-07
ADAR	4.46502254192379e-07
ADARB2	4.46502254192379e-07
ADAT2	4.46502254192379e-07
ADCK2	4.46502254192379e-07
ADD3	4.46502254192379e-07
ADGRA2	4.46502254192379e-07
ADGRB1	4.46502254192379e-07
ADGRD1	4.46502254192379e-07
ADHFE1	4.46502254192379e-07
ADIPOR2	4.46502254192379e-07
ADK	4.46502254192379e-07
ADM	4.46502254192379e-07
ADO	4.46502254192379e-07
ADORA1	4.46502254192379e-07
ADORA3	4.46502254192379e-07
ADPRH	4.46502254192379e-07
ADRA2A	4.46502254192379e-07
ADRB1	4.46502254192379e-07
ADSS2	4.46502254192379e-07
ADTRP	4.46502254192379e-07
AFDN	4.46502254192379e-07
AFF4	4.46502254192379e-07
AGAP3	4.46502254192379e-07
AGAP4	4.46502254192379e-07
AGAP6	4.46502254192379e-07
AGAP9	4.46502254192379e-07
AGER	4.46502254192379e-07
AGPAT4	4.46502254192379e-07
AGTPBP1	4.46502254192379e-07
AHCTF1	4.46502254192379e-07
AHI1	4.46502254192379e-07
AHR	4.46502254192379e-07
AHRR	4.46502254192379e-07
AICDA	4.46502254192379e-07
AIF1	4.46502254192379e-07
AIFM2	4.46502254192379e-07
