GeneNames	Score
	6.26072879871172e-05
NA	3.87598807540832e-05
PPP2R5D	8.26899336068777e-06
TAGLN	8.15339666996758e-06
HLA-DQA2	8.03906886901291e-06
DNPH1	7.84132138160564e-06
HLA-DQB2	7.73148807672662e-06
TREM2	7.60744870635191e-06
NHERF4	7.58586475785999e-06
LINC02870	7.56617971005851e-06
SDCBP	7.56446951259343e-06
HLA-DQB1	7.47640504941986e-06
C2CD2L	7.46340847594491e-06
ZNF384	7.44910511693143e-06
MYBL1	7.44336575108269e-06
HLA-DQA1	7.43334686694107e-06
FNBP1	7.43018808200812e-06
HINFP	7.4170456610995e-06
SPATA24	7.40819858301406e-06
TMEM258	7.40795102624765e-06
VAMP3	7.40787148653224e-06
SVBP	7.40002678675562e-06
SLC25A28	7.39666315911148e-06
H4C12	7.38526140326937e-06
SLC25A46	7.36740407740431e-06
PROB1	7.36549173465494e-06
FADS1	7.33283535204017e-06
ADAMTSL4	7.32581894619956e-06
CCND2	7.32383338353003e-06
MTARC2	7.30177514965989e-06
S100A9	7.29334407807979e-06
C4BPA	7.28856858455837e-06
ABCC2	7.2698191368917e-06
TEX10	7.26270463681881e-06
ANKRD34A	7.25302662616313e-06
KIAA1191	7.25086092452375e-06
MINDY3	7.24935749207238e-06
S100A8	7.24099313858799e-06
PCSK7	7.2075869979126e-06
DPAGT1	7.20680817943588e-06
HLA-DRB1	7.19517723546365e-06
ATP6V0A2	7.18037137386291e-06
SKIC2	7.16967858578808e-06
TGS1	7.16290990337968e-06
TIMM10	7.16014100343957e-06
TRIM66	7.15955583700834e-06
EEF1AKMT3	7.15461649640588e-06
DENND2B	7.15356244978311e-06
AOC1	7.14402538198513e-06
MTARC1	7.14377678449835e-06
IPMK	7.13998540642099e-06
EIF2B1	7.1362005160978e-06
ZBED10P	7.13546730450928e-06
ATG7	7.1338110861898e-06
FADS2	7.13252856357221e-06
TMEM39B	7.1279236088449e-06
S100A12	7.12007673666817e-06
EBPL	7.11770993671587e-06
TMEM45B	7.11681404168705e-06
TMEM176A	7.11670217633549e-06
MRPS10	7.11096133636636e-06
ERMAP	7.11066772336469e-06
CCT3	7.10104113408036e-06
FAM177B	7.10000072425417e-06
SYNE1	7.09665297576023e-06
MSR1	7.0930285933008e-06
NDUFA2	7.09181812098362e-06
FPGS	7.07922899391441e-06
ABHD13	7.0777923450892e-06
STX6	7.06868231056614e-06
P3H1	7.06772510122585e-06
BUD13	7.06612198328413e-06
PWP1	7.06096732540703e-06
GATC	7.05888264733916e-06
EEFSEC	7.05679180896682e-06
GFI1B	7.05576158177774e-06
CISD1	7.05428560108954e-06
MLLT11	7.05095487603284e-06
SLC29A1	7.04990995061874e-06
