DiseaseID	Score	DiseaseName
143890	2.70614538907275e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.19075432168331e-06	TYPE 1 DIABETES MELLITUS 2
601665	1.15798074482114e-06	NA
222100	1.08276853696504e-06	TYPE 1 DIABETES MELLITUS
602522	9.51997384558266e-07	NA
610947	6.81997202519874e-07	NA
613375	6.38368514542483e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	6.28252463275542e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
151660	6.0751313240109e-07	NA
603776	6.01927160103304e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	5.97731537561498e-07	NA
269700	5.91290318640861e-07	NA
615703	5.86199785424008e-07	NA
615158	5.78290371783833e-07	NA
608594	5.72549083567935e-07	NA
219090	5.67835950071666e-07	NA
614190	5.64031977799806e-07	NA
616192	5.5741417706437e-07	NA
615474	5.56805685813177e-07	NA
167800	5.54414727583455e-07	NA
602014	5.43280011977648e-07	NA
605814	5.42594054878142e-07	NA
125853	5.32617978884829e-07	TYPE 2 DIABETES MELLITUS
144250	3.36742742235921e-07	NA
238600	2.87117659995932e-07	NA
602247	7.09173671762984e-08	NA
125852	7.06010047840301e-08	NA
616214	6.58217836252738e-08	NA
144300	6.27959336781324e-08	NA
107741	6.21752871693002e-08	NA
144400	6.18368625492596e-08	NA
144010	5.85359412694489e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
614028	5.81847620636196e-08	NA
136120	5.64566239103924e-08	NA
240900	5.64111017365589e-08	NA
207750	5.35303707462883e-08	NA
144650	5.08048773373105e-08	NA
277460	4.88623210302349e-08	NA
304900	4.83215822811922e-08	NA
602025	4.7591173776166e-08	NA
615457	4.68687122684862e-08	NA
190430	4.60002994186556e-08	NA
613677	4.57353578733976e-08	NA
612780	4.51972773711096e-08	NA
612520	4.35448941615151e-08	NA
203800	4.35282770616673e-08	NA
616511	4.08750220784715e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
108725	3.93190300707506e-08	NA
616329	3.72910212901323e-08	NA
605019	3.72558203105214e-08	NA
145750	3.56625525358053e-08	NA
262190	3.56459160822156e-08	NA
607364	3.50428364403415e-08	NA
147630	3.47509423284969e-08	NA
601666	3.4610631856459e-08	NA
613877	3.29937744173535e-08	NA
240600	3.29487837645621e-08	NA
608600	3.17350225577239e-08	NA
608320	3.13401970101579e-08	NA
615954	3.07927157732677e-08	NA
612526	3.03779047976357e-08	NA
215720	3.02577149397957e-08	NA
223500	2.98968017405336e-08	NA
604367	2.97853408708167e-08	NA
610600	2.81455759738141e-08	NA
613090	2.68617442468212e-08	NA
610374	2.67829028881862e-08	NA
601678	2.65251494966361e-08	NA
144600	2.63709255509276e-08	NA
125800	2.60913183039458e-08	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
246200	2.59822867857398e-08	NA
241200	2.5524551992967e-08	NA
615238	2.33225790290678e-08	NA
263800	2.32265691469141e-08	NA
306000	2.29623350422918e-08	NA
615830	2.2742113858905e-08	NA
614496	2.26643289738516e-08	NA
260370	2.25873384589868e-08	NA
614492	2.19461784954299e-08	NA
219080	2.1043859160173e-08	NA
610475	2.1043859160173e-08	NA
610489	2.1043859160173e-08	NA
614495	2.09395940558415e-08	NA
601198	2.09378321966497e-08	NA
260350	2.02571775524706e-08	NA
615962	2.01441937471447e-08	NA
601942	1.90958433669375e-08	NA
154020	1.89951747606783e-08	NA
611718	1.89091522387782e-08	NA
601820	1.77805342710438e-08	NA
614491	1.75455048923934e-08	NA
615160	1.74729331075788e-08	NA
300200	1.71219942975011e-08	NA
610508	1.69761017985938e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608709	1.69675634292642e-08	NA
125851	1.55958228369736e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.54597688802414e-08	MATURITY-ONSET DIABETES OF THE YOUNG
152200	1.52403034499173e-08	NA
103900	1.52253316858605e-08	NA
606824	1.38375734931514e-08	NA
118830	1.36895073989917e-08	NA
615812	1.34646920563884e-08	NA
143470	1.32954350351024e-08	NA
615947	1.29900429863678e-08	NA
191540	1.23097732609873e-08	NA
177200	1.16424397974935e-08	NA
614025	1.16367194257504e-08	NA
606392	1.15618250366086e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
300539	1.1289282593994e-08	NA
606721	1.11311607575041e-08	NA
613327	1.09176376286572e-08	NA
608189	1.08814324022838e-08	NA
145260	1.08107982260522e-08	NA
600496	1.07695162007842e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
143860	1.01606140032793e-08	NA
613743	1.00656270193233e-08	NA
612227	9.98542208747209e-09	NA
600089	9.85695230453929e-09	NA
612671	9.85119949574729e-09	NA
229500	9.76762289396378e-09	NA
610582	9.67899248296968e-09	NA
167755	9.2873534174384e-09	NA
232220	9.27068425498693e-09	NA
613370	9.25833555229318e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
605115	9.23350220909944e-09	NA
616095	8.60149248689649e-09	NA
614662	8.53399899119997e-09	NA
612225	8.51763349396999e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
208300	8.50864087135862e-09	NA
103230	8.43617156659502e-09	NA
609812	8.27882176184115e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
605911	8.09375431003017e-09	NA
126900	8.06518830865944e-09	NA
191530	8.02472030254021e-09	NA
126150	8.01479460007089e-09	NA
276700	8.01358181951375e-09	NA
613347	7.99412472347023e-09	NA
171200	7.9088955218529e-09	NA
615751	7.89865546925551e-09	NA
606394	7.77809712052003e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
615026	7.73603792586762e-09	NA
614033	7.7310318830086e-09	NA
151800	7.71965857245207e-09	NA
167770	7.71571525728293e-09	NA
268040	7.42649893894014e-09	NA
609975	7.25348548540777e-09	NA
609734	7.25005327107587e-09	NA
269200	7.05658920039292e-09	NA
260450	7.04153175242649e-09	NA
229800	6.98912843959178e-09	NA
209300	6.77984782805208e-09	NA
232200	6.77261891644809e-09	NA
609197	6.52907712714654e-09	NA
263600	6.52673499783924e-09	NA
174050	6.15885662239935e-09	NA
613886	6.09333910220986e-09	NA
205400	5.74439143440034e-09	NA
138900	5.20926471068902e-09	NA
177735	4.99891978567999e-09	NA
601941	4.70420631014468e-09	NA
203400	4.5469272398932e-09	NA
304800	4.34778700973961e-09	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
557000	4.34053470269092e-09	NA
240150	4.15564614538729e-09	NA
241150	4.12900404963082e-09	NA
610021	4.04981792422517e-09	NA
232240	3.97865018563368e-09	NA
256450	3.82183515185934e-09	NA
264350	3.74505357201463e-09	NA
245900	3.71929500009012e-09	NA
609968	3.49731297672764e-09	NA
305700	3.32315112786419e-09	NA
615961	3.20010430862616e-09	NA
218030	2.88574946093143e-09	NA
251120	2.84313836451631e-09	NA
610199	2.58637634286326e-09	NA
109160	2.5797605236495e-09	NA
214700	2.53782888911917e-09	NA
239350	2.53394651429137e-09	NA
129840	2.49168810594423e-09	NA
207780	2.49091058356988e-09	NA
607616	2.48255904345415e-09	NA
138040	2.43819323412187e-09	NA
615361	2.28185610974227e-09	NA
615517	2.26369948757459e-09	NA
109600	2.22022767823087e-09	NA
602485	2.20957812183976e-09	NA
240200	2.18904483854881e-09	NA
606528	1.96411318797738e-09	NA
179820	1.92558604109579e-09	NA
601223	1.85054313111212e-09	NA
602475	1.81989870916285e-09	NA
194470	1.80402394215457e-09	NA
240300	1.80077959529935e-09	NA
606762	1.68403652884344e-09	NA
600955	1.63932634442511e-09	NA
200100	1.58221926953276e-09	NA
615558	1.58221926953276e-09	NA
210740	1.48906404109511e-09	NA
249599	1.48906404109511e-09	NA
239199	1.45435948688562e-09	NA
166700	1.37738513273918e-09	NA
209010	1.37738513273918e-09	NA
241080	1.37738513273918e-09	NA
560000	1.37738513273918e-09	NA
600952	1.35886891777818e-09	NA
168820	1.33086325634236e-09	NA
143880	1.32365189897246e-09	NA
150170	1.22865686296801e-09	NA
145270	1.22316591483903e-09	NA
177600	1.18263046051552e-09	NA
124060	9.4729704409567e-10	NA
602722	9.10129545264193e-10	NA
232900	8.49245513981092e-10	NA
132810	8.19177878317767e-10	NA
600166	7.26709839522262e-10	NA
240800	5.75052892206296e-10	NA
212067	5.05222555635401e-10	NA
source	0	NA
target	0	NA
