DiseaseID	Score	DiseaseName
601410	1.94573240339333e-06	TYPE 1 DIABETES MELLITUS 2
143890	1.77798718425711e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601665	1.16214821033676e-06	NA
222100	1.08635290589741e-06	TYPE 1 DIABETES MELLITUS
608594	6.89871035950662e-07	NA
613375	6.40839657835949e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	6.11811316137138e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
151660	6.10062897422184e-07	NA
614736	6.09576526306491e-07	NA
610947	6.08595778842158e-07	NA
603776	6.01450772761642e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
269700	5.95942805916118e-07	NA
615703	5.86604506114266e-07	NA
615158	5.8042624688202e-07	NA
219090	5.69456878203812e-07	NA
614190	5.64526759670398e-07	NA
602522	5.62727990635867e-07	NA
616192	5.60445331251391e-07	NA
615474	5.58480533732369e-07	NA
167800	5.56664947521988e-07	NA
602014	5.44910054908146e-07	NA
605814	5.44446962763023e-07	NA
125853	5.34784384873172e-07	TYPE 2 DIABETES MELLITUS
144250	3.2127233427819e-07	NA
238600	2.86616206708611e-07	NA
125852	8.16154264452239e-08	NA
616214	7.78414686026678e-08	NA
240900	5.67925156910679e-08	NA
614028	5.47694462810988e-08	NA
602247	5.46382706090252e-08	NA
612520	5.31810786237937e-08	NA
144650	4.85364266804439e-08	NA
602025	4.77489005804029e-08	NA
144300	4.73571406864413e-08	NA
262190	4.70592800723656e-08	NA
615457	4.70232818727172e-08	NA
107741	4.68231405354115e-08	NA
144400	4.62234749799701e-08	NA
190430	4.6170964860669e-08	NA
203800	4.5794472290381e-08	NA
601666	4.50126935073777e-08	NA
613677	4.45692677620671e-08	NA
616511	4.24583978548146e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144010	4.23532143935898e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
615954	4.04647916603866e-08	NA
136120	4.0314349077258e-08	NA
223500	3.95916549452877e-08	NA
304900	3.93027011156803e-08	NA
616329	3.88193647830062e-08	NA
207750	3.86258555192934e-08	NA
605019	3.69964688350119e-08	NA
610374	3.6638982012218e-08	NA
108725	3.60375549840282e-08	NA
612780	3.5596797813378e-08	NA
147630	3.55766052214439e-08	NA
613877	3.50283894526297e-08	NA
277460	3.43985452436431e-08	NA
240600	3.3694020426549e-08	NA
608600	3.36225625854041e-08	NA
145750	3.23106756560856e-08	NA
260370	3.21394058941373e-08	NA
612526	3.20346162491644e-08	NA
604367	3.18027035983013e-08	NA
215720	3.04920226163237e-08	NA
608320	2.97765411417017e-08	NA
601942	2.90775155298316e-08	NA
246200	2.8291956526778e-08	NA
300200	2.62564899294795e-08	NA
607364	2.58032842670541e-08	NA
125800	2.56809370317434e-08	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
615238	2.52381845332203e-08	NA
144600	2.34799733021747e-08	NA
615830	2.31776600348569e-08	NA
306000	2.26403196554611e-08	NA
614496	2.25200496480098e-08	NA
263800	2.21620435491649e-08	NA
614492	2.16671083821544e-08	NA
219080	2.14583282764847e-08	NA
610475	2.14583282764847e-08	NA
610489	2.14583282764847e-08	NA
614495	2.09447664611832e-08	NA
260350	2.06222393920403e-08	NA
615962	2.03024562815522e-08	NA
601198	2.02219787261975e-08	NA
610600	1.92199797956144e-08	NA
154020	1.89820943399311e-08	NA
611718	1.87557283768973e-08	NA
601820	1.84387550848184e-08	NA
615160	1.77689364633132e-08	NA
610508	1.73951982354777e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
613090	1.73317146038282e-08	NA
608709	1.71853855534096e-08	NA
614491	1.71173628610518e-08	NA
601678	1.70089012410324e-08	NA
241200	1.61588334271996e-08	NA
125851	1.58026347488237e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.56709141120965e-08	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.52459356457238e-08	NA
606824	1.40333814710207e-08	NA
152200	1.39153715682247e-08	NA
615812	1.30445823585407e-08	NA
118830	1.30344238675154e-08	NA
613327	1.27207898015197e-08	NA
143470	1.25248496215419e-08	NA
615947	1.25116875742276e-08	NA
606392	1.2244551338146e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
191540	1.14115997438392e-08	NA
600496	1.13991408437123e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
177200	1.13691070252039e-08	NA
608189	1.12277719514812e-08	NA
614025	1.07887264986287e-08	NA
145260	1.07515556368853e-08	NA
300539	1.07232974539302e-08	NA
612227	1.06262902902117e-08	NA
606721	1.04715462159282e-08	NA
600089	1.04595508725431e-08	NA
229500	1.00469831150363e-08	NA
610582	1.00358452645515e-08	NA
143860	9.98520960187153e-09	NA
613743	9.8315829037973e-09	NA
167755	9.7342986888929e-09	NA
613370	9.5583604215551e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
614662	9.24561035226734e-09	NA
605115	9.22457077456875e-09	NA
612671	8.90655640806549e-09	NA
103230	8.82005136007133e-09	NA
616095	8.76028967219421e-09	NA
612225	8.72388670917305e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
605911	8.59634954565601e-09	NA
232220	8.55870806367609e-09	NA
609812	8.34580332207128e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
126900	8.22956765489716e-09	NA
208300	8.1848296763961e-09	NA
171200	8.07193992683722e-09	NA
615751	8.05447650488416e-09	NA
614033	8.03617022195138e-09	NA
613347	8.03205112145558e-09	NA
126150	8.01545414562175e-09	NA
191530	8.00136406432502e-09	NA
606394	7.98588123425983e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
276700	7.97815499645053e-09	NA
615026	7.83943136306739e-09	NA
151800	7.76069582766272e-09	NA
167770	7.73622112480398e-09	NA
268040	7.50734343066937e-09	NA
609734	7.46047160072178e-09	NA
269200	7.40195908720583e-09	NA
609975	7.39950045057898e-09	NA
229800	7.25641265511362e-09	NA
260450	7.08282919331685e-09	NA
209300	6.81917591634936e-09	NA
609197	6.7902071638657e-09	NA
263600	6.71157492539884e-09	NA
232200	6.30056865008643e-09	NA
174050	6.16820018361037e-09	NA
613886	6.11441154429867e-09	NA
601941	5.42412327839296e-09	NA
138900	5.1524150425035e-09	NA
557000	4.94037810727825e-09	NA
205400	4.60461937877094e-09	NA
177735	4.6015225391241e-09	NA
610021	4.4020546113207e-09	NA
203400	4.30718014189675e-09	NA
256450	4.18404334347748e-09	NA
240150	4.14774535485264e-09	NA
615961	3.84080117036273e-09	NA
609968	3.81712618708518e-09	NA
304800	3.54441216726816e-09	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
241150	3.43122641456357e-09	NA
305700	3.33946808430264e-09	NA
232240	3.23047603659341e-09	NA
264350	3.18993471324583e-09	NA
610199	3.11778260374495e-09	NA
245900	3.03096935013687e-09	NA
207780	2.8887927393228e-09	NA
251120	2.88400159053896e-09	NA
218030	2.67484142901879e-09	NA
129840	2.65779281866498e-09	NA
602485	2.5610291219552e-09	NA
109160	2.51713148382771e-09	NA
138040	2.41960148050986e-09	NA
615517	2.22083875676082e-09	NA
109600	2.18602471807177e-09	NA
240200	2.14806196764739e-09	NA
239350	2.13360857801906e-09	NA
240300	2.1203980885379e-09	NA
607616	2.10650115833069e-09	NA
179820	2.09394135486431e-09	NA
606528	2.0883512740657e-09	NA
600955	2.03921638093955e-09	NA
602475	2.0360930390987e-09	NA
214700	2.01128766051654e-09	NA
615361	1.88676863076759e-09	NA
601223	1.82508865354016e-09	NA
210740	1.81219517712307e-09	NA
249599	1.81219517712307e-09	NA
606762	1.80979507709601e-09	NA
194470	1.78056126755301e-09	NA
166700	1.6762814292359e-09	NA
209010	1.6762814292359e-09	NA
241080	1.6762814292359e-09	NA
560000	1.6762814292359e-09	NA
200100	1.5006745946873e-09	NA
615558	1.5006745946873e-09	NA
600952	1.47494616008108e-09	NA
168820	1.29552270010339e-09	NA
150170	1.18915392692585e-09	NA
145270	1.1863013613432e-09	NA
177600	1.17068339006656e-09	NA
143880	1.11917113995771e-09	NA
239199	1.06791080244701e-09	NA
124060	9.44962148696589e-10	NA
602722	9.09735521140301e-10	NA
600166	8.7025934228806e-10	NA
132810	8.30101464332304e-10	NA
232900	7.76744491665094e-10	NA
240800	6.15393286581176e-10	NA
212067	5.22860619505736e-10	NA
source	0	NA
target	0	NA
