DiseaseID	Score	DiseaseName
601410	8.370369628544e-06	TYPE 1 DIABETES MELLITUS 2
143890	1.77694034217257e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
219090	1.22329145859224e-06	NA
601665	1.16138650755366e-06	NA
222100	1.0877055132307e-06	TYPE 1 DIABETES MELLITUS
614736	6.93149477121656e-07	NA
613375	6.42615256074012e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	6.21416602026225e-07	NA
603813	6.11435274738989e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	6.09060963857188e-07	NA
603776	6.01193221403924e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
269700	5.97756256578505e-07	NA
615703	5.86693276035213e-07	NA
608594	5.83716940736156e-07	NA
615158	5.83021082342347e-07	NA
616192	5.69375974318294e-07	NA
614190	5.68041648208457e-07	NA
602522	5.62591343957513e-07	NA
167800	5.59468311863383e-07	NA
615474	5.58773584012894e-07	NA
602014	5.44588524435078e-07	NA
605814	5.44118239609074e-07	NA
125853	5.36881257910219e-07	TYPE 2 DIABETES MELLITUS
144250	3.21199262038832e-07	NA
238600	2.86447518935281e-07	NA
616214	1.77949819040712e-07	NA
125852	1.77025840912996e-07	NA
612520	1.425616710037e-07	NA
615954	1.37408773826304e-07	NA
601666	1.33186031024509e-07	NA
262190	1.27615055858753e-07	NA
223500	1.21666456661083e-07	NA
610374	1.20300491927186e-07	NA
601942	1.14066802949273e-07	NA
260370	1.132271758104e-07	NA
300200	1.07328242246434e-07	NA
203800	5.99624270231875e-08	NA
240900	5.83123928242828e-08	NA
616511	5.59391069460182e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
614028	5.47728736390324e-08	NA
602247	5.46194956474574e-08	NA
616329	5.15600165554357e-08	NA
144650	4.85236762635462e-08	NA
602025	4.78222107472807e-08	NA
107741	4.75889824287695e-08	NA
144300	4.73374835825144e-08	NA
615457	4.70898579291689e-08	NA
190430	4.62107227152403e-08	NA
144400	4.6206929665696e-08	NA
613677	4.53682725764508e-08	NA
144010	4.23529482588286e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
147630	4.18845291878452e-08	NA
615830	4.17054595347644e-08	NA
136120	4.03244486621043e-08	NA
304900	3.94554368892172e-08	NA
219080	3.94016778688641e-08	NA
610475	3.94016778688641e-08	NA
610489	3.94016778688641e-08	NA
207750	3.86439392888085e-08	NA
240600	3.85981049692087e-08	NA
605019	3.69838613584626e-08	NA
108725	3.60769435224411e-08	NA
612780	3.59586753090713e-08	NA
277460	3.43842428400084e-08	NA
613877	3.38163672517369e-08	NA
608600	3.37332027383816e-08	NA
615962	3.36810928909172e-08	NA
145750	3.24469920077409e-08	NA
604367	3.16988537640838e-08	NA
215720	3.16633178783487e-08	NA
246200	3.13896721854961e-08	NA
612526	3.06025005320884e-08	NA
608320	2.98078352336545e-08	NA
607364	2.95943300771267e-08	NA
125800	2.59426703213123e-08	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
615238	2.37447182975514e-08	NA
601820	2.35610279974183e-08	NA
144600	2.35038101308443e-08	NA
260350	2.33110646045477e-08	NA
614496	2.32674699413357e-08	NA
610600	2.29477293655336e-08	NA
306000	2.26725103909844e-08	NA
263800	2.22680975281122e-08	NA
614492	2.18334114083576e-08	NA
614495	2.11047751991394e-08	NA
610508	2.05983305726936e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
615160	2.02946747539205e-08	NA
601198	2.0294511435325e-08	NA
154020	1.89800435487948e-08	NA
611718	1.87894105398425e-08	NA
606392	1.78614881242181e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
613090	1.76933050122301e-08	NA
125851	1.74073314256468e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
614491	1.73144150210385e-08	NA
608709	1.72928916284268e-08	NA
601678	1.72845681969094e-08	NA
125850	1.71543583890642e-08	MATURITY-ONSET DIABETES OF THE YOUNG
600496	1.64918657549197e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
241200	1.63636743675097e-08	NA
612227	1.5949011146398e-08	NA
103900	1.55325143658884e-08	NA
600089	1.53739740584659e-08	NA
606824	1.53536725206967e-08	NA
614662	1.44939463990552e-08	NA
608189	1.42592260552276e-08	NA
152200	1.39249964707143e-08	NA
615812	1.36905329909889e-08	NA
613743	1.36266312450959e-08	NA
167755	1.35313276877696e-08	NA
118830	1.3247863694965e-08	NA
610582	1.29126128874449e-08	NA
