DiseaseID	Score	DiseaseName
601410	8.72973677166982e-06	TYPE 1 DIABETES MELLITUS 2
143890	3.5024365009674e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601665	1.16583334192459e-06	NA
222100	1.09199214952213e-06	TYPE 1 DIABETES MELLITUS
614736	7.00094666229498e-07	NA
603813	6.45982629180526e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
613375	6.45191973119649e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
610947	6.12028323548238e-07	NA
151660	6.11669292527205e-07	NA
603776	6.06156208193313e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
269700	5.99451441157936e-07	NA
615703	5.89969512775219e-07	NA
615158	5.85540671958763e-07	NA
608594	5.80695001103337e-07	NA
219090	5.75092858666766e-07	NA
616192	5.72022264645431e-07	NA
614190	5.699473145813e-07	NA
602522	5.64822183559137e-07	NA
167800	5.61982251731029e-07	NA
615474	5.60459171198552e-07	NA
602014	5.4665900955236e-07	NA
605814	5.46372884207316e-07	NA
125853	5.39077843574729e-07	TYPE 2 DIABETES MELLITUS
144250	3.52619750911542e-07	NA
238600	2.90298224008827e-07	NA
125852	1.83267272375152e-07	NA
616214	1.82640248643075e-07	NA
612520	1.47624142107555e-07	NA
601666	1.38149446765152e-07	NA
262190	1.31810422988589e-07	NA
615954	1.27121019987984e-07	NA
223500	1.26311007322931e-07	NA
610374	1.24988587028484e-07	NA
601942	1.1879169994101e-07	NA
260370	1.17798021185622e-07	NA
300200	1.11868455112211e-07	NA
602247	8.5103621532823e-08	NA
107741	7.63261707536723e-08	NA
144300	7.60749529985121e-08	NA
144400	7.51436941214104e-08	NA
144010	7.24375299326744e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	7.03543077245078e-08	NA
207750	6.63966793244833e-08	NA
277460	6.1301511117263e-08	NA
614028	5.9805891483207e-08	NA
240900	5.86156028984393e-08	NA
616511	5.52690332137334e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144650	5.29636558514713e-08	NA
616329	5.08136784759619e-08	NA
602025	4.80229971842412e-08	NA
203800	4.78796939983381e-08	NA
615457	4.72873404868103e-08	NA
190430	4.639237034178e-08	NA
613677	4.50681310922368e-08	NA
