DiseaseID	Score	DiseaseName
601410	2.02969009374382e-06	TYPE 1 DIABETES MELLITUS 2
143890	1.78334965776959e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
602014	1.741953030207e-06	NA
601665	1.16338598513629e-06	NA
222100	1.08793307892421e-06	TYPE 1 DIABETES MELLITUS
613375	6.4165717754701e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	6.12566191435687e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
614736	6.11450178034913e-07	NA
610947	6.09766846442907e-07	NA
151660	6.08839627623425e-07	NA
603776	6.02423243198387e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
269700	5.94462152500154e-07	NA
615703	5.87296005495547e-07	NA
615158	5.81400507855378e-07	NA
608594	5.75585162441223e-07	NA
219090	5.70197457842319e-07	NA
614190	5.65228197836542e-07	NA
602522	5.6476893920262e-07	NA
616192	5.61223815184557e-07	NA
615474	5.5930161389629e-07	NA
167800	5.57710154148486e-07	NA
605814	5.45013425369329e-07	NA
125853	5.35420332855031e-07	TYPE 2 DIABETES MELLITUS
144250	3.21698643657711e-07	NA
238600	2.86967170059226e-07	NA
125852	8.2887341244379e-08	NA
616214	7.9077764926316e-08	NA
612780	7.74503479142741e-08	NA
263800	6.4075152643437e-08	NA
601198	6.16056705516362e-08	NA
154020	6.03206553365688e-08	NA
611718	5.87555521027162e-08	NA
240900	5.68777993620615e-08	NA
614028	5.47961386848114e-08	NA
602247	5.46759506339719e-08	NA
612520	5.43762079356478e-08	NA
144650	4.86003524256611e-08	NA
602025	4.7802089191608e-08	NA
144300	4.74684758102315e-08	NA
615457	4.70755758161356e-08	NA
107741	4.69391995153736e-08	NA
262190	4.6421854570123e-08	NA
144400	4.63342661373756e-08	NA
190430	4.6222151928398e-08	NA
601666	4.61846922191873e-08	NA
613677	4.58734463469199e-08	NA
203800	4.40793234959284e-08	NA
616511	4.2607959451593e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144010	4.24578107848594e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
615954	4.155303639661e-08	NA
304900	4.15364112392367e-08	NA
223500	4.06803898312638e-08	NA
136120	4.04177861814735e-08	NA
616329	3.89159014647436e-08	NA
207750	3.87202994986623e-08	NA
610374	3.7744224791812e-08	NA
605019	3.70408148544356e-08	NA
108725	3.60534430564013e-08	NA
147630	3.57095419911468e-08	NA
277460	3.44821827587257e-08	NA
240600	3.37422221741985e-08	NA
260370	3.3215095932187e-08	NA
613877	3.31453844065535e-08	NA
145750	3.23409709955878e-08	NA
608600	3.17176221041068e-08	NA
215720	3.05450334539725e-08	NA
601942	3.01900590315579e-08	NA
612526	3.01211640031425e-08	NA
604367	2.99601300380503e-08	NA
608320	2.9821684995918e-08	NA
607364	2.82850124407435e-08	NA
300200	2.74672747445265e-08	NA
246200	2.66354518865781e-08	NA
125800	2.59235169056535e-08	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
144600	2.35176697489916e-08	NA
615238	2.33926162688181e-08	NA
615830	2.32494378395343e-08	NA
306000	2.26661619167946e-08	NA
614496	2.26392882652482e-08	NA
610600	2.18813868202114e-08	NA
614492	2.17815601314632e-08	NA
219080	2.15257135691204e-08	NA
610475	2.15257135691204e-08	NA
610489	2.15257135691204e-08	NA
614495	2.1011503094324e-08	NA
