DiseaseID	Score	DiseaseName
269700	0.00243353750715202	NA
151660	4.877931924982e-05	NA
608594	4.76125600253168e-05	NA
604367	4.45298550470626e-05	NA
608600	4.40243644523781e-05	NA
612526	4.37186022938405e-05	NA
203800	4.21652206071344e-05	NA
613877	4.10641915844659e-05	NA
246200	4.04734025592622e-05	NA
262190	4.02279165169542e-05	NA
608709	3.99078459844035e-05	NA
616214	5.49917883146752e-06	NA
615238	5.4383002464834e-06	NA
613327	3.8625090770932e-06	NA
615703	3.25716418853592e-06	NA
601410	2.79998848703953e-06	TYPE 1 DIABETES MELLITUS 2
606721	2.51635920690394e-06	NA
616329	2.3739735503015e-06	NA
143890	2.33268133718165e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
191540	2.26315276135446e-06	NA
219090	2.25221580317649e-06	NA
602247	2.05365163705166e-06	NA
207780	1.75150056222662e-06	NA
240600	1.61263122947659e-06	NA
614662	1.60210082982808e-06	NA
151800	1.49632480037928e-06	NA
616511	1.35766989841902e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
614028	1.31732709812894e-06	NA
125852	1.28612419381438e-06	NA
232220	1.262912795115e-06	NA
268040	1.18633826533224e-06	NA
222100	1.16795129373155e-06	TYPE 1 DIABETES MELLITUS
108725	1.14858695137657e-06	NA
601665	1.1467967126932e-06	NA
609734	1.07101357034146e-06	NA
126900	9.00493514045595e-07	NA
144250	8.96125817440241e-07	NA
615474	8.65956597040824e-07	NA
613375	7.9199737972111e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.41820329430613e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	7.31095803920962e-07	NA
614736	7.0436556388561e-07	NA
615158	7.01051937237273e-07	NA
603776	6.74670671702204e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
125853	6.16171256670991e-07	TYPE 2 DIABETES MELLITUS
616192	6.10738789659667e-07	NA
145750	6.09724926581691e-07	NA
614190	5.67010332067514e-07	NA
605814	5.55866131557184e-07	NA
167800	5.54747759402834e-07	NA
602522	5.53628934672601e-07	NA
602014	5.35979007585709e-07	NA
238600	3.87168186435907e-07	NA
612520	3.29434041684451e-07	NA
601666	3.13039057306323e-07	NA
277460	2.23112038894099e-07	NA
615160	1.96260526152283e-07	NA
610374	1.89746401851348e-07	NA
615751	1.81001101502933e-07	NA
615954	1.72649104318149e-07	NA
147630	1.70686614542504e-07	NA
107741	1.70187007549904e-07	NA
207750	1.60549325713135e-07	NA
610508	1.58036458993019e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
601942	1.53393288609385e-07	NA
609968	1.5091560504535e-07	NA
144650	1.49344509189106e-07	NA
232240	1.45345845252961e-07	NA
615962	1.37230012231764e-07	NA
610021	1.3500839307662e-07	NA
606392	1.28142309984095e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
144010	1.24350710536563e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
601820	1.19444894130456e-07	NA
610582	1.19440232862406e-07	NA
605911	1.1883457420061e-07	NA
229500	1.17516334559843e-07	NA
601941	1.17095006391674e-07	NA
144400	1.12845778665072e-07	NA
144300	1.12013393845248e-07	NA
232200	1.11753902313986e-07	NA
606762	1.10883456844346e-07	NA
612227	1.09771712411788e-07	NA
240900	1.08912687638341e-07	NA
144600	1.08083591796159e-07	NA
600496	1.07523518555653e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
615947	1.06782700786289e-07	NA
613370	1.06514573184411e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
615830	1.05247132258343e-07	NA
615961	1.04575449488008e-07	NA
223500	1.03836504358259e-07	NA
614033	1.03517102794271e-07	NA
616095	1.01724383808744e-07	NA
605019	1.01173337325287e-07	NA
136120	1.01029930502928e-07	NA
608320	9.36864471373252e-08	NA
615026	8.12646252902156e-08	NA
109160	7.8016696369455e-08	NA
602485	7.42329830725266e-08	NA
612671	7.27811436516475e-08	NA
138900	6.63610671305985e-08	NA
609975	6.567290631095e-08	NA
219080	6.44829719289831e-08	NA
610475	6.44829719289831e-08	NA
610489	6.44829719289831e-08	NA
256450	6.2969878430727e-08	NA
612225	6.21397617316776e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
276700	6.13505279529082e-08	NA
609197	6.08971397135404e-08	NA
150170	6.03194716427608e-08	NA
232900	6.02021120526041e-08	NA
610199	5.88189810399234e-08	NA
613677	5.72835024706522e-08	NA
152200	5.28320127538371e-08	NA
606528	5.25191818706375e-08	NA
143470	5.24621704735794e-08	NA
602475	5.22729055693483e-08	NA
602025	5.22324501858658e-08	NA
615812	5.18769063678206e-08	NA
615457	5.12551603387029e-08	NA
260370	5.0641691755467e-08	NA
125851	4.95696589181118e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
190430	4.87890625420664e-08	NA
