DiseaseID	Score	DiseaseName
143890	2.08240746729645e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.42777524223798e-06	TYPE 1 DIABETES MELLITUS 2
601665	1.15535829183083e-06	NA
222100	1.07996332929503e-06	TYPE 1 DIABETES MELLITUS
613375	6.36952022836485e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	6.14148095704798e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	6.05832380017197e-07	NA
151660	6.04973023664223e-07	NA
614736	5.99439792609218e-07	NA
603776	5.98440034553284e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
269700	5.90048705902833e-07	NA
615703	5.83228690640884e-07	NA
615158	5.76892740373132e-07	NA
608594	5.71319082061551e-07	NA
219090	5.69868540651575e-07	NA
614190	5.61616064177607e-07	NA
602522	5.5947402320168e-07	NA
616192	5.56457933392377e-07	NA
615474	5.55230149561529e-07	NA
167800	5.53205803795585e-07	NA
602014	5.41738115261907e-07	NA
605814	5.41290917207421e-07	NA
125853	5.3147452223282e-07	TYPE 2 DIABETES MELLITUS
144250	3.24938340027742e-07	NA
238600	2.85452930647624e-07	NA
125852	7.36991413790602e-08	NA
616214	6.93407093294831e-08	NA
602247	5.97776072594339e-08	NA
240900	5.63377055018682e-08	NA
614028	5.52857574332195e-08	NA
144300	5.2310338279793e-08	NA
107741	5.17135250253027e-08	NA
144400	5.12206650225657e-08	NA
144650	4.90289787515635e-08	NA
144010	4.75829751962934e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
602025	4.74705554889531e-08	NA
615457	4.67496521075347e-08	NA
190430	4.58967137522458e-08	NA
612520	4.5828041245983e-08	NA
136120	4.55470010659315e-08	NA
613677	4.42971194994029e-08	NA
203800	4.3545344198541e-08	NA
207750	4.34538099522945e-08	NA
616511	4.1213909813149e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
277460	3.90975573921281e-08	NA
304900	3.90638792966709e-08	NA
262190	3.86152709138172e-08	NA
601666	3.77922072178878e-08	NA
616329	3.76085079392997e-08	NA
605019	3.68774941821855e-08	NA
108725	3.65704478375853e-08	NA
612780	3.53618492866041e-08	NA
147630	3.48774522989017e-08	NA
615954	3.38517989454287e-08	NA
240600	3.30433024303421e-08	NA
145750	3.29101019532478e-08	NA
613877	3.28882883483987e-08	NA
223500	3.28878971688934e-08	NA
608600	3.14625964754873e-08	NA
215720	3.02216765677127e-08	NA
612526	3.00256691738115e-08	NA
610374	2.98268299239925e-08	NA
608320	2.9811414602067e-08	NA
604367	2.96708239027727e-08	NA
246200	2.60675582436965e-08	NA
260370	2.55586071449267e-08	NA
125800	2.55118500957019e-08	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	2.5356211005739e-08	NA
144600	2.39963443177609e-08	NA
615238	2.32293943858377e-08	NA
615830	2.28652458208585e-08	NA
306000	2.26361573485865e-08	NA
614496	2.23809629901647e-08	NA
601942	2.22066343378006e-08	NA
263800	2.20240264988983e-08	NA
614492	2.15405360597803e-08	NA
219080	2.11730914040365e-08	NA
610475	2.11730914040365e-08	NA
610489	2.11730914040365e-08	NA
614495	2.08208555957363e-08	NA
260350	2.02962075992407e-08	NA
615962	2.01692967256521e-08	NA
601198	2.00977980245671e-08	NA
300200	1.97113941218041e-08	NA
154020	1.88708954275089e-08	NA
610600	1.88166357637771e-08	NA
611718	1.86430491103863e-08	NA
601820	1.79245609939908e-08	NA
615160	1.74652158246828e-08	NA
613090	1.7204375582396e-08	NA
610508	1.70397890152006e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
614491	1.70144021927351e-08	NA
608709	1.69073184327047e-08	NA
601678	1.68893369135336e-08	NA
241200	1.60490178997403e-08	NA
125851	1.55911288252199e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.54644643320652e-08	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.5143241690428e-08	NA
152200	1.39559366219221e-08	NA
606824	1.38485438857142e-08	NA
118830	1.31848272594743e-08	NA
615812	1.31054102362552e-08	NA
143470	1.27052051439525e-08	NA
615947	1.26017298381963e-08	NA
606392	1.17286683737647e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
177200	1.12879965941089e-08	NA
191540	1.12685556458527e-08	NA
614025	1.10043673704591e-08	NA
608189	1.09383102755201e-08	NA
600496	1.09286410288495e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
613327	1.08809165476918e-08	NA
145260	1.06859519959305e-08	NA
300539	1.06431386960055e-08	NA
606721	1.05648427351294e-08	NA
612227	1.01454444913569e-08	NA
600089	1.00123892360571e-08	NA
143860	9.90631214372798e-09	NA
229500	9.8186622683911e-09	NA
610582	9.7481166132913e-09	NA
613743	9.48321930229594e-09	NA
167755	9.38722814901524e-09	NA
613370	9.31111736706112e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
605115	9.15912521088219e-09	NA
612671	8.85855348879751e-09	NA
232220	8.71175818188186e-09	NA
614662	8.70926648599884e-09	NA
616095	8.61141471192462e-09	NA
612225	8.54355757576259e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
103230	8.48353979265296e-09	NA
609812	8.26184318110642e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
208300	8.24594642811974e-09	NA
605911	8.22243204207642e-09	NA
126900	8.07308806188676e-09	NA
613347	7.97161207556837e-09	NA
126150	7.96766383788876e-09	NA
191530	7.95508348311078e-09	NA
276700	7.94451574568534e-09	NA
171200	7.92561978738837e-09	NA
615751	7.90060321878952e-09	NA
606394	7.81487488309635e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
614033	7.79568002928466e-09	NA
615026	7.71886841380575e-09	NA
