DiseaseID	Score	DiseaseName
143890	1.76577471685043e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.18805825465229e-06	TYPE 1 DIABETES MELLITUS 2
601665	1.15337672501053e-06	NA
222100	1.07811210572556e-06	TYPE 1 DIABETES MELLITUS
613375	6.35799845259777e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	6.07222855954782e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	6.03853279345482e-07	NA
151660	6.03457816888507e-07	NA
603776	5.9700497258999e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	5.95339809371205e-07	NA
269700	5.88883541300558e-07	NA
615703	5.82021006798578e-07	NA
615158	5.75805539515726e-07	NA
608594	5.7007036060577e-07	NA
219090	5.66866342332228e-07	NA
614190	5.60151926281112e-07	NA
602522	5.58538048624147e-07	NA
616192	5.55171734760389e-07	NA
615474	5.5428145598551e-07	NA
167800	5.52139968908476e-07	NA
602014	5.40816732758389e-07	NA
605814	5.40327175350524e-07	NA
125853	5.30477114114211e-07	TYPE 2 DIABETES MELLITUS
144250	3.18849534161006e-07	NA
238600	2.84455938073968e-07	NA
125852	6.99141776731376e-08	NA
616214	6.55485293567057e-08	NA
240900	5.61835914617827e-08	NA
614028	5.42964302594849e-08	NA
602247	5.41523975846955e-08	NA
144650	4.81684396078425e-08	NA
602025	4.73795800419638e-08	NA
144300	4.70182094501513e-08	NA
615457	4.66602392589842e-08	NA
107741	4.63962330907088e-08	NA
144400	4.58928174599626e-08	NA
190430	4.58150861269037e-08	NA
613677	4.42043094867908e-08	NA
203800	4.32867881061237e-08	NA
612520	4.24357887514584e-08	NA
144010	4.20489337444285e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	4.06916159737501e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
136120	4.00252294679247e-08	NA
304900	3.89929873629648e-08	NA
207750	3.83461636318516e-08	NA
616329	3.71191820416211e-08	NA
605019	3.67149445688324e-08	NA
108725	3.57127520289738e-08	NA
262190	3.55227636069758e-08	NA
612780	3.52881806727507e-08	NA
147630	3.45767880544039e-08	NA
601666	3.44695666412001e-08	NA
277460	3.41494045661675e-08	NA
240600	3.28036896512131e-08	NA
613877	3.27991617010127e-08	NA
145750	3.20412281603732e-08	NA
608600	3.12097629930994e-08	NA
615954	3.07199993659666e-08	NA
215720	3.01253731738013e-08	NA
612526	2.98247469166734e-08	NA
223500	2.97994602738265e-08	NA
604367	2.95484118306627e-08	NA
608320	2.95478663213682e-08	NA
610374	2.66852359667913e-08	NA
246200	2.5856710008117e-08	NA
125800	2.54595408741052e-08	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	2.51733727425889e-08	NA
144600	2.32972576448344e-08	NA
615238	2.31683019598492e-08	NA
615830	2.26385793851481e-08	NA
260370	2.2519122633268e-08	NA
306000	2.24636264168859e-08	NA
614496	2.23271801198101e-08	NA
263800	2.19823094867079e-08	NA
614492	2.14942926174433e-08	NA
219080	2.09673869806652e-08	NA
610475	2.09673869806652e-08	NA
610489	2.09673869806652e-08	NA
614495	2.07753820475826e-08	NA
260350	2.01552668865533e-08	NA
601198	2.00605576324931e-08	NA
615962	2.00578228675496e-08	NA
601942	1.90295897753784e-08	NA
154020	1.8838469021904e-08	NA
610600	1.86475112146848e-08	NA
611718	1.86097069059804e-08	NA
601820	1.77041763793509e-08	NA
615160	1.73411385279343e-08	NA
613090	1.7161857922719e-08	NA
614491	1.69748062113563e-08	NA
610508	1.68923793821023e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608709	1.68621706876774e-08	NA
601678	1.68508369126544e-08	NA
300200	1.66830415139474e-08	NA
241200	1.60143714135701e-08	NA
125851	1.54968624547492e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.53802984903418e-08	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.51022794514093e-08	NA
152200	1.38070146417047e-08	NA
606824	1.37756128775727e-08	NA
615812	1.29295743064435e-08	NA
118830	1.29117794767934e-08	NA
143470	1.24249893060186e-08	NA
615947	1.24122336990621e-08	NA
606392	1.15009139905588e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
177200	1.12604181449697e-08	NA
191540	1.11987969359507e-08	NA
613327	1.08494735221123e-08	NA
608189	1.07923397298788e-08	NA
600496	1.07199714927777e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614025	1.07073193958563e-08	NA
145260	1.06647748013297e-08	NA
300539	1.06163863643434e-08	NA
606721	1.02778317033454e-08	NA
612227	9.93126275860997e-09	NA
143860	9.87958972246343e-09	NA
600089	9.81266009419678e-09	NA
229500	9.72212014956666e-09	NA
610582	9.62470621883208e-09	NA
613743	9.32225142702775e-09	NA
167755	9.22121140548213e-09	NA
613370	9.20565406854116e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
605115	9.13779241109372e-09	NA
612671	8.82523078203394e-09	NA
616095	8.54167110586945e-09	NA
614662	8.49976995120131e-09	NA
612225	8.46768687733274e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
232220	8.43010108443551e-09	NA
103230	8.32569000167175e-09	NA
609812	8.21853000588649e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
208300	8.09573863075141e-09	NA
605911	8.05831379405482e-09	NA
126900	8.02150911993297e-09	NA
126150	7.94401633329175e-09	NA
613347	7.94172478448224e-09	NA
191530	7.93224967939792e-09	NA
276700	7.89911211721243e-09	NA
171200	7.85752826472459e-09	NA
615751	7.83747325969805e-09	NA
606394	7.74243417316115e-09	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
614033	7.6916403997618e-09	NA
615026	7.65529391511961e-09	NA
167770	7.64287216946134e-09	NA
151800	7.62366222356755e-09	NA
268040	7.37620843882182e-09	NA
609734	7.20862477606438e-09	NA
609975	7.2049439559288e-09	NA
269200	7.01421413537851e-09	NA
260450	7.00993819061088e-09	NA
229800	6.95526937231136e-09	NA
209300	6.74997428711674e-09	NA
609197	6.50002705329631e-09	NA
263600	6.49695066366066e-09	NA
232200	6.24745267304559e-09	NA
174050	6.11110672977932e-09	NA
613886	6.06720913082935e-09	NA
138900	5.1055632270567e-09	NA
601941	4.66796980663648e-09	NA
205400	4.5694050526704e-09	NA
177735	4.52307124855756e-09	NA
557000	4.30770766011507e-09	NA
240150	4.11591586884462e-09	NA
610021	4.02793550867368e-09	NA
203400	3.8567863983418e-09	NA
256450	3.80440592921498e-09	NA
304800	3.48992947823889e-09	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
609968	3.48032711949589e-09	NA
241150	3.39364415815880e-09	NA
305700	3.30901154806374e-09	NA
232240	3.19887728738813e-09	NA
615961	3.17406028671442e-09	NA
264350	3.11553318457907e-09	NA
245900	3.00800207423831e-09	NA
251120	2.82734033521765e-09	NA
218030	2.63546253742966e-09	NA
610199	2.56321430758122e-09	NA
207780	2.46744798400197e-09	NA
109160	2.45982580948907e-09	NA
129840	2.4155278406233e-09	NA
138040	2.39598316937523e-09	NA
615517	2.20022839037674e-09	NA
602485	2.19541745064469e-09	NA
109600	2.13411400070301e-09	NA
240200	2.1209061256359e-09	NA
239350	2.106255923025e-09	NA
607616	2.09014702873833e-09	NA
214700	1.97658448860620e-09	NA
606528	1.93340893988472e-09	NA
179820	1.91604722283288e-09	NA
615361	1.87088131194059e-09	NA
602475	1.79962912427547e-09	NA
601223	1.79278005523617e-09	NA
240300	1.78015635150897e-09	NA
194470	1.74818372198367e-09	NA
606762	1.65250785436675e-09	NA
600955	1.59412137070003e-09	NA
200100	1.48852666565216e-09	NA
615558	1.48852666565216e-09	NA
210740	1.46951729530446e-09	NA
249599	1.46951729530446e-09	NA
166700	1.35930438684444e-09	NA
209010	1.35930438684444e-09	NA
241080	1.35930438684444e-09	NA
560000	1.35930438684444e-09	NA
600952	1.34909003229334e-09	NA
168820	1.27702163853084e-09	NA
150170	1.16794297517237e-09	NA
145270	1.16635678778237e-09	NA
177600	1.14764803921451e-09	NA
143880	1.10876903977715e-09	NA
239199	1.04337417636139e-09	NA
124060	9.31564455372321e-10	NA
602722	8.87596687136124e-10	NA
132810	8.06252704118617e-10	NA
232900	7.66808173529718e-10	NA
600166	7.23519256853046e-10	NA
240800	5.71060595305273e-10	NA
212067	5.02927502811171e-10	NA
source	0	NA
target	0	NA
