DiseaseID	Score	DiseaseName
603776	0.00190821687470314	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
603813	2.79322321405239e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
614028	2.71205635576133e-05	NA
108725	2.69097201553876e-05	NA
144650	2.63341557579471e-05	NA
144400	2.57595746733197e-05	NA
610947	2.51992481322345e-05	NA
143470	2.47844167141359e-05	NA
605019	2.46940821066735e-05	NA
608320	2.45110530042343e-05	NA
144300	2.41321313429576e-05	NA
602247	2.30736218369424e-05	NA
126150	2.2978926453016e-05	NA
191530	2.29743539508568e-05	NA
145750	4.22682307061637e-06	NA
615703	3.93125446037392e-06	NA
143890	3.90162052851801e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
136120	3.3106957843311e-06	NA
144010	2.57430786645272e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
144600	2.56028333147792e-06	NA
144250	2.44843333210998e-06	NA
605814	2.12883716367194e-06	NA
601223	2.05098416482717e-06	NA
194470	2.00807662008425e-06	NA
168820	1.99894099740388e-06	NA
205400	1.72769830360913e-06	NA
109600	1.69755493445846e-06	NA
608594	1.65767766645618e-06	NA
152200	1.60625793977971e-06	NA
238600	1.53275380504648e-06	NA
124060	1.47400570716341e-06	NA
107741	1.47074114167724e-06	NA
125850	1.46849581313891e-06	MATURITY-ONSET DIABETES OF THE YOUNG
145270	1.44001882799427e-06	NA
277460	1.43528643631886e-06	NA
125851	1.40979414524035e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
245900	1.27891603161534e-06	NA
219090	1.25104014499227e-06	NA
612671	1.19816742316762e-06	NA
601410	1.18477603729778e-06	TYPE 1 DIABETES MELLITUS 2
601665	1.15547707844749e-06	NA
222100	1.07310061661574e-06	TYPE 1 DIABETES MELLITUS
615517	8.71466405079191e-07	NA
612526	8.59107050689455e-07	NA
177600	8.5823385085447e-07	NA
306000	8.50634302939669e-07	NA
615812	8.40635595371875e-07	NA
151660	8.14820610696191e-07	NA
200100	7.79609990564553e-07	NA
615558	7.79609990564553e-07	NA
607616	7.63724536675544e-07	NA
207750	7.62707525606018e-07	NA
613370	7.61964408008979e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
606394	7.44776978822291e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
613375	7.16100357237811e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
269700	6.53823437611067e-07	NA
118830	6.45328124540847e-07	NA
602522	6.29435767135012e-07	NA
109160	6.12513518601555e-07	NA
614736	5.99182580552499e-07	NA
615158	5.97831960282635e-07	NA
615474	5.88051658447604e-07	NA
125853	5.7663867493818e-07	TYPE 2 DIABETES MELLITUS
167800	5.75388743409711e-07	NA
614190	5.68041776158415e-07	NA
616192	5.57046920217785e-07	NA
608600	5.48600276919156e-07	NA
602014	5.37381704520249e-07	NA
