DiseaseID	Score	DiseaseName
616192	0.00200103970955333	NA
125852	5.79381400630377e-05	NA
612520	5.44014381741739e-05	NA
601666	5.41162511125181e-05	NA
616511	5.33557352646082e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
616329	5.29622823099283e-05	NA
223500	5.06253351625333e-05	NA
616214	6.96058070011499e-06	NA
601410	6.95872669027607e-06	TYPE 1 DIABETES MELLITUS 2
601942	3.2938743064461e-06	NA
601941	3.1425074463448e-06	NA
615961	2.90885635334014e-06	NA
610199	2.79105425066236e-06	NA
610374	2.55356089338933e-06	NA
613375	2.48519598376818e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
602475	2.12388508236567e-06	NA
612227	1.98077561720618e-06	NA
613370	1.93337575257523e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
614736	1.92304367658796e-06	NA
612225	1.85915202269884e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
143890	1.77435181357256e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
269200	1.73816348497106e-06	NA
210740	1.73266209504847e-06	NA
249599	1.73266209504847e-06	NA
240300	1.70700224618635e-06	NA
222100	1.63758976622281e-06	TYPE 1 DIABETES MELLITUS
557000	1.63350234690857e-06	NA
207780	1.61184907569944e-06	NA
166700	1.60271243548793e-06	NA
209010	1.60271243548793e-06	NA
241080	1.60271243548793e-06	NA
560000	1.60271243548793e-06	NA
606392	1.56315766332196e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
615158	1.44383135388629e-06	NA
600496	1.42000132253479e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
610508	1.41661088041608e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
610582	1.39737487011791e-06	NA
614033	1.34510204953134e-06	NA
615954	1.33555462121028e-06	NA
614662	1.26678976664861e-06	NA
616095	1.26438995908414e-06	NA
600089	1.2609063935528e-06	NA
125853	1.22924137020125e-06	TYPE 2 DIABETES MELLITUS
602485	1.22127820348895e-06	NA
615830	1.20797090183742e-06	NA
615962	1.20445544772592e-06	NA
613877	1.19242035067442e-06	NA
601665	1.17221184125565e-06	NA
610947	1.16628826876594e-06	NA
129840	1.14881722175105e-06	NA
600952	1.08568665952586e-06	NA
147630	9.48244997809605e-07	NA
605911	9.21195128191609e-07	NA
125851	8.08355227476255e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
610021	7.81270661957407e-07	NA
615751	7.62567783778004e-07	NA
167800	7.42588006203675e-07	NA
125850	7.40489078633695e-07	MATURITY-ONSET DIABETES OF THE YOUNG
615160	7.16842022471956e-07	NA
219090	7.10994765502622e-07	NA
151660	6.86547608538716e-07	NA
269700	6.70765419249127e-07	NA
604367	6.69507678774129e-07	NA
608594	6.5576721211638e-07	NA
615703	6.44202195573806e-07	NA
608600	6.42375660808709e-07	NA
240600	6.39990015306182e-07	NA
603813	6.29191433032033e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
615474	6.28424126383062e-07	NA
614190	6.26525450450945e-07	NA
229500	6.17565314952756e-07	NA
603776	6.08138485466364e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
167755	5.86858480530839e-07	NA
229800	5.83066308785604e-07	NA
602522	5.58458664986373e-07	NA
605115	5.44197920941755e-07	NA
605814	5.43957845237015e-07	NA
602014	5.40035537914055e-07	NA
126900	5.14019426289084e-07	NA
107741	5.09421520758659e-07	NA
144250	3.34304906947956e-07	NA
238600	2.88806962669841e-07	NA
262190	2.44144692427827e-07	NA
606394	2.31168482457981e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
609968	2.18537544734496e-07	NA
246200	2.13188287226778e-07	NA
260370	2.09312403718818e-07	NA
609812	1.77436826489604e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
601820	1.68603060115035e-07	NA
615026	1.565926773469e-07	NA
606762	1.530076004884e-07	NA
609197	1.48785328519117e-07	NA
179820	1.44540264481231e-07	NA
263600	1.42609980088976e-07	NA
609975	1.42501579084291e-07	NA
613677	1.32634228501681e-07	NA
240900	1.2976723010705e-07	NA
219080	1.17049411930333e-07	NA
610475	1.17049411930333e-07	NA
610489	1.17049411930333e-07	NA
194470	1.12363997033032e-07	NA
608189	1.10026583826149e-07	NA
612526	1.04152929270757e-07	NA
171200	1.03521741521318e-07	NA
609734	1.02646662465896e-07	NA
614496	9.58301276002519e-08	NA
606824	9.26770234359297e-08	NA
256450	9.26462296249672e-08	NA
300200	9.06690528274525e-08	NA
601223	8.97591120164972e-08	NA
615238	8.9074793349613e-08	NA
125800	8.59898490056757e-08	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
203800	8.51764715034635e-08	NA
602247	8.24380900807394e-08	NA
177600	8.17177755397241e-08	NA
191540	7.85496438531405e-08	NA
108725	7.61519607407241e-08	NA
614028	7.52027126265813e-08	NA
600166	7.33457756352646e-08	NA
132810	7.26420095786565e-08	NA
602025	7.03590736434563e-08	NA
606528	6.9508362705908e-08	NA
615457	6.91090875631578e-08	NA
215720	6.73730547259215e-08	NA
615812	6.69757652786174e-08	NA
190430	6.59052545906679e-08	NA
306000	6.51516034934658e-08	NA
240800	6.24037004092795e-08	NA
191530	6.23754451477223e-08	NA
613327	6.00541762136668e-08	NA
109600	5.88064066883649e-08	NA
136120	5.68577557210746e-08	NA
144010	5.64070508499132e-08	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
304900	5.61037861094788e-08	NA
145750	5.49834772133306e-08	NA
251120	5.48569119953491e-08	NA
144650	5.45826468029004e-08	NA
260350	5.30764950769243e-08	NA
304800	5.23798415468622e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
276700	5.08767477417917e-08	NA
138040	5.06820125954251e-08	NA
103900	5.02482512750971e-08	NA
144400	4.99036049375258e-08	NA
144300	4.97322477362223e-08	NA
268040	4.88034734143289e-08	NA
239350	4.87015678261857e-08	NA
608709	4.76281706070502e-08	NA
614495	4.68169614396136e-08	NA
109160	4.64756090752612e-08	NA
