DiseaseID	Score	DiseaseName
238600	0.000890378070416188	NA
144250	0.000888706659721764	NA
603813	2.71633245023638e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
207750	2.59052288129825e-05	NA
602247	2.55217148774311e-05	NA
143890	1.70482400305127e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
136120	1.57524820655547e-05	NA
144650	1.49471684314193e-05	NA
232220	1.46974586973673e-05	NA
145750	1.4515896813395e-05	NA
232200	1.40857029134803e-05	NA
615947	1.39942729565831e-05	NA
144600	1.36020544054453e-05	NA
144010	1.34729154588015e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
108725	1.32725361084705e-05	NA
118830	1.32147508969087e-05	NA
306000	1.27619217678945e-05	NA
107741	1.27066125426055e-05	NA
240150	1.22331426071469e-05	NA
144300	1.21573856387484e-05	NA
151660	1.15214089094485e-05	NA
614025	1.14178022296759e-05	NA
152200	1.11288197561867e-05	NA
614028	3.77424681366315e-06	NA
276700	3.05411534930469e-06	NA
144400	2.69322079565233e-06	NA
610947	2.3675112242378e-06	NA
615703	2.36488160350254e-06	NA
232240	2.3503299487119e-06	NA
603776	2.27570321177133e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
605814	1.4812847554349e-06	NA
608320	1.43620548175036e-06	NA
191540	1.26571025598527e-06	NA
143470	1.25894517865373e-06	NA
277460	1.22067946800576e-06	NA
601410	1.19384647045407e-06	TYPE 1 DIABETES MELLITUS 2
601665	1.17325482502878e-06	NA
205400	1.13447594294541e-06	NA
167800	1.09350363408667e-06	NA
222100	1.08890445865888e-06	TYPE 1 DIABETES MELLITUS
615812	9.93884179066414e-07	NA
605019	8.27285930770213e-07	NA
269700	7.83229888894604e-07	NA
608594	7.64814372041445e-07	NA
612526	7.25851667087848e-07	NA
203800	7.13751037689536e-07	NA
608600	6.99386408735158e-07	NA
219090	6.97878564681725e-07	NA
208300	6.92800652160172e-07	NA
616095	6.53493003677448e-07	NA
613375	6.46176002850094e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
245900	6.08045396284165e-07	NA
615158	6.05576895037048e-07	NA
614736	6.01171422851931e-07	NA
