DiseaseID	Score	DiseaseName
143890	2.19206449613587e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.38726756942223e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.35966982561662e-05	NA
222100	1.35494730359195e-05	TYPE 1 DIABETES MELLITUS
613375	7.83857012893134e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
610947	7.54113853897206e-06	NA
603813	7.50515721092721e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
151660	7.40258326346631e-06	NA
614736	7.39195399171741e-06	NA
602522	7.37014384704477e-06	NA
219090	7.32703897711383e-06	NA
603776	7.21724132091403e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615158	7.21721669457819e-06	NA
269700	7.20559351665123e-06	NA
125853	7.17992970685789e-06	TYPE 2 DIABETES MELLITUS
608594	7.15177860113842e-06	NA
616192	7.09415125833611e-06	NA
615474	7.07794515851848e-06	NA
614190	7.0753958986738e-06	NA
605814	7.03901830611274e-06	NA
615703	6.96037098038238e-06	NA
602014	6.67990507664186e-06	NA
167800	6.47124991575202e-06	NA
144250	4.02501058192527e-06	NA
238600	3.59964417815508e-06	NA
125852	8.7300430291307e-07	NA
616214	8.0593950542665e-07	NA
614028	6.79942356753537e-07	NA
240900	6.71824860748673e-07	NA
602247	6.71499032392078e-07	NA
144650	6.04403258022684e-07	NA
144300	5.82061394653116e-07	NA
107741	5.73668407451125e-07	NA
144400	5.67185196464238e-07	NA
602025	5.62236781971994e-07	NA
613677	5.59281974595456e-07	NA
615457	5.53680736156911e-07	NA
190430	5.43556071390259e-07	NA
203800	5.38013583236344e-07	NA
144010	5.22385168014196e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
612520	5.2117395681466e-07	NA
616511	5.10485628363343e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
136120	4.98246789453199e-07	NA
304900	4.98139233931769e-07	NA
207750	4.77443582247309e-07	NA
616329	4.65676960937803e-07	NA
605019	4.60504081721264e-07	NA
612780	4.48260672617835e-07	NA
108725	4.39861543419986e-07	NA
262190	4.29406252698651e-07	NA
147630	4.27394614221807e-07	NA
277460	4.23775331212203e-07	NA
601666	4.21797635476294e-07	NA
240600	4.10298593849358e-07	NA
613877	4.03016869826195e-07	NA
145750	3.97904318797449e-07	NA
608600	3.8599930731515e-07	NA
215720	3.83806622123769e-07	NA
615954	3.7731191988268e-07	NA
612526	3.68390894167132e-07	NA
604367	3.64903143449024e-07	NA
223500	3.64016675878119e-07	NA
608320	3.62136925043288e-07	NA
610374	3.28672925312555e-07	NA
607364	3.25858957631854e-07	NA
125800	3.20659684138769e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
246200	3.19056560393458e-07	NA
144600	2.90307708381462e-07	NA
306000	2.89965304874351e-07	NA
615830	2.88806308413332e-07	NA
615238	2.84911630967158e-07	NA
614496	2.8288899691908e-07	NA
