DiseaseID	Score	DiseaseName
602522	0.00167676061989941	NA
612780	4.21175536766013e-05	NA
607364	4.20049916473915e-05	NA
613090	4.13116924662682e-05	NA
601678	4.12107125665774e-05	NA
241200	4.05153360579192e-05	NA
610600	4.04504312918366e-05	NA
304900	3.9631545397335e-05	NA
143890	2.12462120958427e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
222100	1.480942500317e-05	TYPE 1 DIABETES MELLITUS
601410	1.41879722316592e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.39017717288082e-05	NA
615474	8.19645788526567e-06	NA
602014	7.8186666993875e-06	NA
603813	7.58361976651005e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
603776	7.57014865984621e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
613375	7.55231478803073e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
615703	7.23497844178159e-06	NA
615158	7.21312569743973e-06	NA
616192	7.18262874744981e-06	NA
608594	7.1684584002571e-06	NA
614190	7.13743487006561e-06	NA
219090	7.13332595010735e-06	NA
269700	7.10756962931899e-06	NA
610947	7.07582147692442e-06	NA
151660	7.01040845276135e-06	NA
614736	6.96069485999785e-06	NA
167800	6.84344427725756e-06	NA
605814	6.7959179228065e-06	NA
125853	6.5898262116014e-06	TYPE 2 DIABETES MELLITUS
613677	6.24048780587413e-06	NA
263800	5.20168522426301e-06	NA
144250	3.96026236447849e-06	NA
601198	3.64455138336055e-06	NA
304800	3.64410024817847e-06	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
238600	3.54974917473695e-06	NA
241150	3.12193070399564e-06	NA
613743	3.04921583321681e-06	NA
203400	2.93023629179594e-06	NA
300539	2.82009069631752e-06	NA
264350	2.66631894344616e-06	NA
125800	2.57591652528999e-06	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
214700	2.38513314661275e-06	NA
614491	2.26811387464318e-06	NA
177735	1.99939285392503e-06	NA
300200	1.88945682919961e-06	NA
239350	1.81465976138077e-06	NA
239199	1.74871073062302e-06	NA
615361	1.7440292553688e-06	NA
614492	1.73389615122486e-06	NA
177200	1.56675555496725e-06	NA
614496	1.23974468072691e-06	NA
611718	1.18507351135454e-06	NA
143860	1.15073978004741e-06	NA
218030	1.05041075859552e-06	NA
143880	9.11884791985963e-07	NA
125852	9.10494126176257e-07	NA
616214	8.44420011429496e-07	NA
240900	6.74809618487039e-07	NA
614028	6.7215817105771e-07	NA
602247	6.62520692016113e-07	NA
144650	6.01836083033116e-07	NA
154020	5.74967699046299e-07	NA
144300	5.74875212235504e-07	NA
602025	5.7008879572124e-07	NA
107741	5.65497423607758e-07	NA
615457	5.6143836530088e-07	NA
144400	5.60549130403793e-07	NA
145260	5.60050625873951e-07	NA
190430	5.51131649497967e-07	NA
203800	5.31763002033139e-07	NA
612520	5.23180732643363e-07	NA
144010	5.10918017019932e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	5.09786070662151e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
614495	5.06712474576076e-07	NA
136120	4.85862085969845e-07	NA
616329	4.75285287717491e-07	NA
207750	4.65549865126466e-07	NA
605019	4.60631255937867e-07	NA
147630	4.59846682720272e-07	NA
601666	4.40073519992915e-07	NA
108725	4.38772900153964e-07	NA
240600	4.38629816046456e-07	NA
262190	4.32713280375891e-07	NA
277460	4.13725636916966e-07	NA
215720	4.02683637733102e-07	NA
613877	4.00212639607213e-07	NA
145750	3.86344061412468e-07	NA
608600	3.79402491307802e-07	NA
615954	3.77403273737419e-07	NA
615962	3.75502794035753e-07	NA
223500	3.70769548560827e-07	NA
103900	3.67934849874872e-07	NA
608320	3.63185429326845e-07	NA
612526	3.62199275964732e-07	NA
605115	3.60104738030033e-07	NA
