DiseaseID	Score	DiseaseName
143890	2.11861449034714e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.52909510324679e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.39478362799267e-05	NA
222100	1.35688240916545e-05	TYPE 1 DIABETES MELLITUS
613375	7.67765078446359e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.59618602385045e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
608594	7.39808822727729e-06	NA
610947	7.38083677463514e-06	NA
603776	7.32583005704466e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	7.25156766552862e-06	NA
151660	7.21801086510345e-06	NA
602014	7.14953678840299e-06	NA
615703	7.10719201670448e-06	NA
615474	7.10238852803791e-06	NA
219090	7.04309489032614e-06	NA
602522	6.9994017562488e-06	NA
615158	6.97494160054342e-06	NA
269700	6.97197827831201e-06	NA
614190	6.9256848206032e-06	NA
616192	6.92373928172272e-06	NA
605814	6.64388190345734e-06	NA
125853	6.60779667270531e-06	TYPE 2 DIABETES MELLITUS
167800	6.54356141799362e-06	NA
144250	3.85471886783393e-06	NA
238600	3.4419400689484e-06	NA
125852	8.8014712510137e-07	NA
616214	8.21524114634391e-07	NA
240900	6.80472740007004e-07	NA
614028	6.65750946897135e-07	NA
602247	6.560130829285e-07	NA
144650	5.90608130240144e-07	NA
602025	5.72946201288954e-07	NA
144300	5.69611856021394e-07	NA
615457	5.64243452084101e-07	NA
107741	5.61729909825136e-07	NA
613677	5.56720799496089e-07	NA
144400	5.56331573345412e-07	NA
190430	5.53976895517121e-07	NA
612520	5.33223408397914e-07	NA
203800	5.32618627080256e-07	NA
144010	5.08309222199441e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	5.01290791460591e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
304900	4.90698597689973e-07	NA
136120	4.82039766418648e-07	NA
207750	4.61207051500635e-07	NA
616329	4.58145399926534e-07	NA
612780	4.55373251859768e-07	NA
605019	4.51677938089739e-07	NA
262190	4.46853698414352e-07	NA
601666	4.35849510784231e-07	NA
108725	4.35821683918382e-07	NA
147630	4.29135389338464e-07	NA
277460	4.12676255999467e-07	NA
240600	4.09515027086639e-07	NA
613877	4.02441808542786e-07	NA
145750	3.90395557915256e-07	NA
615954	3.88238276230732e-07	NA
