DiseaseID	Score	DiseaseName
143890	2.10653033407143e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.41730508041453e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.39816727805026e-05	NA
222100	1.3763047916336e-05	TYPE 1 DIABETES MELLITUS
219090	7.77335496902984e-06	NA
603813	7.74573119392514e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
613375	7.61760165478543e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
608594	7.54942258172184e-06	NA
615474	7.48460027921237e-06	NA
151660	7.34905487153378e-06	NA
269700	7.30236938647554e-06	NA
610947	7.28152679935391e-06	NA
602522	7.18475398592386e-06	NA
605814	7.11250756389322e-06	NA
614736	7.10983924518095e-06	NA
615703	7.09897328305923e-06	NA
616192	7.06606613971723e-06	NA
615158	7.01074038838699e-06	NA
614190	6.97841489421691e-06	NA
603776	6.86852297572699e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
602014	6.85373448128631e-06	NA
125853	6.56413654683054e-06	TYPE 2 DIABETES MELLITUS
167800	6.51061948420706e-06	NA
144250	3.92188595757734e-06	NA
238600	3.51093008998163e-06	NA
125852	8.71629789479177e-07	NA
616214	8.10022290078971e-07	NA
240900	6.79154865967756e-07	NA
614028	6.75648770506149e-07	NA
602247	6.52453444798501e-07	NA
144650	6.0234082352372e-07	NA
602025	5.73497569734017e-07	NA
613677	5.68814857671716e-07	NA
615457	5.64794183886803e-07	NA
144300	5.64592974201566e-07	NA
107741	5.61641935328291e-07	NA
203800	5.55019343209638e-07	NA
190430	5.54506996893693e-07	NA
144400	5.50292123531693e-07	NA
612520	5.20397499670816e-07	NA
144010	5.08185736419849e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	5.03268172711209e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
304900	4.99139040033855e-07	NA
136120	4.8182957821416e-07	NA
605019	4.61502383782895e-07	NA
207750	4.61225727729119e-07	NA
616329	4.60330657490834e-07	NA
612780	4.50303966908074e-07	NA
262190	4.40856680008002e-07	NA
147630	4.31974947930622e-07	NA
108725	4.30319802221002e-07	NA
601666	4.24551138239818e-07	NA
240600	4.13532693769921e-07	NA
277460	4.12361898258144e-07	NA
613877	4.1172701500108e-07	NA
608600	3.92653891510016e-07	NA
145750	3.922499097602e-07	NA
615954	3.90967570106698e-07	NA
215720	3.80026937247676e-07	NA
612526	3.75485936954861e-07	NA
604367	3.72376134374371e-07	NA
223500	3.67090618100912e-07	NA
608320	3.57451352287862e-07	NA
607364	3.27427362305066e-07	NA
246200	3.26345077441488e-07	NA
125800	3.24948454340515e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610374	3.23122027653163e-07	NA
615830	2.97802603878619e-07	NA
615238	2.9226557114532e-07	NA
306000	2.90498697075566e-07	NA
614496	2.86128688728373e-07	NA
144600	2.85911432809457e-07	NA
263800	2.79308826069407e-07	NA
219080	2.76921035550759e-07	NA
610475	2.76921035550759e-07	NA
610489	2.76921035550759e-07	NA
614492	2.75177292584522e-07	NA
615962	2.70826799366004e-07	NA
260370	2.68445784677632e-07	NA
614495	2.65597835008472e-07	NA
601198	2.54479566911093e-07	NA
260350	2.45886282541642e-07	NA
610600	2.39056625935089e-07	NA
154020	2.38763874641155e-07	NA
611718	2.35825247575336e-07	NA
601942	2.2880432046845e-07	NA
613090	2.20502762301292e-07	NA
614491	2.20260531442255e-07	NA
601678	2.16461534844919e-07	NA
