DiseaseID	Score	DiseaseName
143890	2.13974317847241e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.52325809048513e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.35903320975471e-05	NA
222100	1.35192343115496e-05	TYPE 1 DIABETES MELLITUS
613375	7.73764737864501e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.47698469370756e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
167800	7.45536179049004e-06	NA
602014	7.36876279598214e-06	NA
151660	7.26245263096965e-06	NA
616192	7.22887655646668e-06	NA
219090	7.21128926699927e-06	NA
603776	7.16701825790076e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
608594	7.15416609337504e-06	NA
615474	7.1430664493606e-06	NA
269700	7.1249116536597e-06	NA
614736	7.11993165379264e-06	NA
610947	7.10827206247005e-06	NA
125853	7.01007076189587e-06	TYPE 2 DIABETES MELLITUS
615158	6.99307302845815e-06	NA
602522	6.95369630774018e-06	NA
615703	6.92375150688797e-06	NA
605814	6.89608587046454e-06	NA
614190	6.88974024026325e-06	NA
144250	4.02861235031349e-06	NA
238600	3.61389288182537e-06	NA
125852	8.93988340968076e-07	NA
616214	8.19468923217765e-07	NA
240900	6.6673573427413e-07	NA
614028	6.66421493994682e-07	NA
602247	6.61291369474343e-07	NA
144650	5.9674900391489e-07	NA
144300	5.72260168942128e-07	NA
107741	5.64306616531211e-07	NA
602025	5.60849062721058e-07	NA
144400	5.56746369131638e-07	NA
613677	5.56227622045854e-07	NA
615457	5.52327594620421e-07	NA
190430	5.4225774194601e-07	NA
612520	5.38580120713565e-07	NA
203800	5.33134287118078e-07	NA
144010	5.1287532822189e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	5.0910256932075e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
136120	4.89020681418647e-07	NA
304900	4.88934844482182e-07	NA
207750	4.7006845539546e-07	NA
616329	4.65705615511026e-07	NA
612780	4.61853269848678e-07	NA
605019	4.5439116135449e-07	NA
262190	4.45060949062018e-07	NA
601666	4.44341337382118e-07	NA
147630	4.40628900188721e-07	NA
108725	4.30878590130229e-07	NA
277460	4.15129140238967e-07	NA
240600	4.08267060144645e-07	NA
613877	3.99734438691977e-07	NA
615954	3.91413987068276e-07	NA
145750	3.88665135289184e-07	NA
223500	3.84656100058895e-07	NA
608600	3.82614971848294e-07	NA
215720	3.74820050334682e-07	NA
612526	3.64816159264095e-07	NA
604367	3.61552500015183e-07	NA
608320	3.54491953764733e-07	NA
610374	3.43674262389257e-07	NA
125800	3.19480955298498e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.18272792353462e-07	NA
246200	3.17076274080609e-07	NA
263800	2.96205205353404e-07	NA
260370	2.92343372097578e-07	NA
306000	2.85354635451223e-07	NA
615830	2.84235121662674e-07	NA
144600	2.83082759108106e-07	NA
615238	2.82842577200374e-07	NA
614496	2.79110660363338e-07	NA
601198	2.71766532647162e-07	NA
614492	2.68628178848502e-07	NA
219080	2.6358850816002e-07	NA
610475	2.6358850816002e-07	NA
610489	2.6358850816002e-07	NA
614495	2.59422653790006e-07	NA
154020	2.56493489689268e-07	NA
615962	2.55849623335467e-07	NA
260350	2.55049506211781e-07	NA
611718	2.52893516394395e-07	NA
601942	2.4359306580876e-07	NA
610600	2.34415705344491e-07	NA
601820	2.14860121265831e-07	NA
