DiseaseID	Score	DiseaseName
143890	2.10612531160322e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.39569917977949e-05	TYPE 1 DIABETES MELLITUS 2
222100	1.35713874666621e-05	TYPE 1 DIABETES MELLITUS
601665	1.31471398077989e-05	NA
613375	8.05297576032887e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	7.74278711222479e-06	NA
603813	7.4978809870449e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
167800	7.28002723120329e-06	NA
610947	7.26329778530697e-06	NA
269700	7.24482853597229e-06	NA
608594	7.18141892181262e-06	NA
615703	7.13614405575743e-06	NA
603776	7.11529853791308e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	7.11005548225743e-06	NA
616192	7.06688614417068e-06	NA
615474	7.03335492810868e-06	NA
602014	7.02222900549521e-06	NA
125853	6.99560987155017e-06	TYPE 2 DIABETES MELLITUS
602522	6.94102239922709e-06	NA
219090	6.83857711568747e-06	NA
614190	6.79454435654078e-06	NA
605814	6.68860399201299e-06	NA
615158	6.59771532950357e-06	NA
144250	3.98126933913278e-06	NA
238600	3.56617261673211e-06	NA
125852	8.71092553080417e-07	NA
616214	7.96607459388309e-07	NA
614028	6.62808602062915e-07	NA
602247	6.54387084646001e-07	NA
240900	6.54006980169239e-07	NA
144650	5.90374990861132e-07	NA
144300	5.65847042756438e-07	NA
107741	5.60621709859064e-07	NA
613677	5.5335928185708e-07	NA
144400	5.50881121900071e-07	NA
602025	5.48457585271212e-07	NA
615457	5.40116542441241e-07	NA
203800	5.35367368459421e-07	NA
190430	5.30094933137474e-07	NA
612520	5.18432042219509e-07	NA
144010	5.0682063486258e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	5.01180600363473e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
304900	4.89064350050781e-07	NA
136120	4.81960500157389e-07	NA
207750	4.63453397155398e-07	NA
616329	4.61195922128921e-07	NA
605019	4.49842742394336e-07	NA
612780	4.49196389713096e-07	NA
147630	4.38493870546853e-07	NA
108725	4.33308917351448e-07	NA
262190	4.31402491120316e-07	NA
601666	4.22438310466215e-07	NA
277460	4.10251446594687e-07	NA
613877	4.09647474070058e-07	NA
240600	4.04525646837558e-07	NA
145750	3.94444287047229e-07	NA
608600	3.91213629466097e-07	NA
612526	3.73427834041882e-07	NA
215720	3.71038824114095e-07	NA
604367	3.69815713930269e-07	NA
615954	3.6626870349935e-07	NA
223500	3.64300232513314e-07	NA
608320	3.58116272304541e-07	NA
610374	3.26369284085646e-07	NA
246200	3.23391606337228e-07	NA
125800	3.20486661906596e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.14963421905759e-07	NA
615238	2.91052462823871e-07	NA
144600	2.84261006292373e-07	NA
263800	2.83959370031253e-07	NA
306000	2.78064092991711e-07	NA
260370	2.7429491695808e-07	NA
615830	2.73667420913313e-07	NA
614496	2.72331722554137e-07	NA
614492	2.62261212069604e-07	NA
601198	2.59730335956545e-07	NA
219080	2.5328050399632e-07	NA
610475	2.5328050399632e-07	NA
610489	2.5328050399632e-07	NA
614495	2.53132690167397e-07	NA
260350	2.49054338022226e-07	NA
615962	2.469826004261e-07	NA
154020	2.44512614128109e-07	NA
611718	2.41193423193582e-07	NA
610600	2.32303579887393e-07	NA
601942	2.2642513608337e-07	NA
601820	2.16107356042067e-07	NA
610508	2.15933264928229e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
613090	2.13579350050808e-07	NA
608709	2.11075774170183e-07	NA
614491	2.10668760680264e-07	NA
601678	2.1050812919331e-07	NA
