DiseaseID	Score	DiseaseName
125853	0.00169070129863509	TYPE 2 DIABETES MELLITUS
125852	2.62855070819511e-05	NA
600496	2.48441692212493e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
610374	2.44101634778003e-05	NA
610508	2.41403568518103e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
606392	2.40215975532831e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
125851	2.34864869973593e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	2.33764341507162e-05	MATURITY-ONSET DIABETES OF THE YOUNG
610582	2.30937997907532e-05	NA
600089	2.22778519671965e-05	NA
126900	2.18831862323765e-05	NA
103900	2.14133874286399e-05	NA
143860	2.13706399122968e-05	NA
143890	2.13532502053288e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.42375133345816e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.39307077246299e-05	NA
222100	1.38123260996283e-05	TYPE 1 DIABETES MELLITUS
605911	1.05886594596664e-05	NA
613375	9.07787323909748e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
614190	8.03450558632129e-06	NA
151660	7.86293810499775e-06	NA
603813	7.66512298431832e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	7.41752177270696e-06	NA
269700	7.24604839985841e-06	NA
614736	7.23588413895677e-06	NA
616192	7.21269586330615e-06	NA
608594	7.17046731682618e-06	NA
615474	7.16915891961638e-06	NA
615158	7.13824416668263e-06	NA
603776	7.08096483766695e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615703	7.07540499292963e-06	NA
602522	6.93272014540299e-06	NA
602014	6.82874432105766e-06	NA
219090	6.81384199743125e-06	NA
167800	6.78552952477105e-06	NA
605814	6.68453144843243e-06	NA
144250	4.11296860668564e-06	NA
238600	3.68770943633014e-06	NA
612520	2.59992572162696e-06	NA
612225	2.57756491930452e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
613370	2.5475141898475e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
606394	2.38138651029104e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
608600	2.25098401253018e-06	NA
601941	2.23473512686627e-06	NA
616511	2.09843977180912e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
601666	2.02938976205917e-06	NA
147630	1.99283990278754e-06	NA
616329	1.95355558882148e-06	NA
229800	1.94033542972151e-06	NA
177735	1.72298122834443e-06	NA
179820	1.7172783024192e-06	NA
612227	1.69518570574552e-06	NA
614033	1.64247229671085e-06	NA
601942	1.60846650753527e-06	NA
613677	1.49014651271939e-06	NA
616214	1.45334383393901e-06	NA
263600	1.41785724853892e-06	NA
171200	1.41596163534738e-06	NA
229500	1.27053710567599e-06	NA
125800	1.16347580031246e-06	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610600	1.11819798764476e-06	NA
177200	1.1061413916024e-06	NA
215720	1.09246020339198e-06	NA
167755	1.08921651466899e-06	NA
145260	1.03914573754368e-06	NA
260370	1.00095675566497e-06	NA
610021	9.71387180187199e-07	NA
605115	9.69316033689988e-07	NA
129840	9.69201333735348e-07	NA
600166	9.63313410248125e-07	NA
103230	9.57914420362e-07	NA
203400	9.3505562605191e-07	NA
194470	9.23846210056407e-07	NA
614662	8.99673135915232e-07	NA
609968	8.93655693269001e-07	NA
126150	8.87404928147575e-07	NA
264350	8.80550052815844e-07	NA
304800	8.72308871240729e-07	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
214700	8.59693358018751e-07	NA
132810	8.55469822081081e-07	NA
