DiseaseID	Score	DiseaseName
238600	0.000920092725463969	NA
144250	0.000918712518621075	NA
603813	3.46349536371802e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
143890	3.46315867452512e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
207750	2.70628923351568e-05	NA
602247	2.68338548833458e-05	NA
151660	1.86158139726433e-05	NA
136120	1.66220420042813e-05	NA
144650	1.59160631500997e-05	NA
145750	1.52943172892924e-05	NA
232220	1.52274246693214e-05	NA
232200	1.45738295071605e-05	NA
601410	1.45660373467493e-05	TYPE 1 DIABETES MELLITUS 2
615947	1.45463953332083e-05	NA
144010	1.42965795709634e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
144600	1.42574118864626e-05	NA
108725	1.40476203533262e-05	NA
118830	1.37516423474924e-05	NA
601665	1.36868791484879e-05	NA
222100	1.35634708582514e-05	TYPE 1 DIABETES MELLITUS
107741	1.35565076342916e-05	NA
306000	1.33933163110993e-05	NA
144300	1.29940614471683e-05	NA
240150	1.26437069896558e-05	NA
614025	1.18745810213759e-05	NA
152200	1.16097805304481e-05	NA
610947	8.92153121599742e-06	NA
615703	8.73754737839031e-06	NA
603776	8.52385395026477e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
219090	7.73316118336706e-06	NA
613375	7.72688257738996e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
605814	7.60768976556159e-06	NA
167800	7.36885826685947e-06	NA
269700	7.28291938617028e-06	NA
615158	7.15712448076765e-06	NA
608594	7.08237777869048e-06	NA
614736	6.97414230334149e-06	NA
615474	6.96814082732143e-06	NA
125853	6.90047325588635e-06	TYPE 2 DIABETES MELLITUS
614190	6.81466891834453e-06	NA
616192	6.80910646811176e-06	NA
602014	6.7841697099977e-06	NA
602522	6.65546582378923e-06	NA
614028	4.47423361640836e-06	NA
144400	3.23416846600565e-06	NA
276700	3.23293391463678e-06	NA
232240	2.45377384328136e-06	NA
608320	1.79495084031106e-06	NA
277460	1.59627170100644e-06	NA
143470	1.42666981608011e-06	NA
191540	1.42501803290077e-06	NA
605019	1.25355508688398e-06	NA
125852	1.23309107594964e-06	NA
203800	1.22644990239615e-06	NA
205400	1.21550426861696e-06	NA
615812	1.1635047756318e-06	NA
612526	1.07626223850376e-06	NA
608600	1.06529357191525e-06	NA
616214	8.73967064904137e-07	NA
208300	8.03787930098679e-07	NA
604367	7.69370679483152e-07	NA
616095	7.69214557829242e-07	NA
240900	6.73209804671361e-07	NA
608189	6.71786942613761e-07	NA
245900	6.57409579638255e-07	NA
602025	6.10267225482592e-07	NA
615457	6.01199955565532e-07	NA
607616	5.92726262780063e-07	NA
613877	5.81994732516549e-07	NA
167755	5.75184697779885e-07	NA
167770	5.74980946711113e-07	NA
609812	5.60302553913982e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
612520	5.53765795160466e-07	NA
613677	5.52307269826269e-07	NA
190430	5.49620271196608e-07	NA
147630	5.38787066762963e-07	NA
616511	5.34371662211373e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
174050	4.98833621146305e-07	NA
616329	4.98799375815099e-07	NA
304900	4.8178441215187e-07	NA
262190	4.63591232423888e-07	NA
615238	4.60432188229791e-07	NA
246200	4.5267637877869e-07	NA
601666	4.36564692039277e-07	NA
612780	4.33819617756851e-07	NA
240600	4.17323491502289e-07	NA
615954	3.97560804992082e-07	NA
215720	3.9451537605111e-07	NA
606721	3.83329021306844e-07	NA
223500	3.68937395181324e-07	NA
608709	3.59298820604782e-07	NA
610374	3.41283434924529e-07	NA
615830	3.39031861597272e-07	NA
260350	3.23054910702733e-07	NA
125800	3.2008466867286e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
615558	3.12292164273214e-07	NA
200100	3.12292164273214e-07	NA
260370	3.10525703920906e-07	NA
607364	3.0695441114754e-07	NA
614496	2.78234011487698e-07	NA
219080	2.75755530310969e-07	NA
610475	2.75755530310969e-07	NA
610489	2.75755530310969e-07	NA
263800	2.74772431152855e-07	NA
109160	2.70997478361506e-07	NA
614492	2.66572058302441e-07	NA
615962	2.64500201787329e-07	NA
614495	2.58363421469227e-07	NA
109600	2.58263722807178e-07	NA
615160	2.51874317042891e-07	NA
601198	2.50946926734125e-07	NA
125851	2.44022780473033e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
601942	2.42128565593149e-07	NA
601820	2.38242790918218e-07	NA
154020	2.36257083720339e-07	NA
151800	2.33657718626505e-07	NA
611718	2.33309691333294e-07	NA
610508	2.30772685107454e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
610600	2.25401346727697e-07	NA
125850	2.12683370783195e-07	MATURITY-ONSET DIABETES OF THE YOUNG
614491	2.10297129652032e-07	NA
138900	2.08114764513782e-07	NA
613090	2.0644787787825e-07	NA
300200	2.05101707674966e-07	NA
601678	2.0278719247346e-07	NA
241200	1.92459581646017e-07	NA
606824	1.90632385020724e-07	NA
103900	1.90515077304272e-07	NA
612227	1.88284595303816e-07	NA
612671	1.79560733793447e-07	NA
613327	1.75858813940255e-07	NA
613347	1.67598263446598e-07	NA
615026	1.67085212417813e-07	NA
557000	1.53600093535928e-07	NA
606392	1.53052691627725e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
615751	1.52552393859053e-07	NA
600496	1.45378740963606e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
600089	1.44646130636031e-07	NA
177200	1.41180865101328e-07	NA
232900	1.3543428974733e-07	NA
145260	1.33835655156883e-07	NA
300539	1.328153123146e-07	NA
610582	1.30980818427468e-07	NA
613370	1.29624660333376e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
143860	1.27841967944212e-07	NA
268040	1.2589484838737e-07	NA
229500	1.2521147204271e-07	NA
126150	1.22752564307175e-07	NA
612225	1.20333485503962e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
126900	1.20203877468154e-07	NA
260450	1.18908054261909e-07	NA
191530	1.18676602538798e-07	NA
605115	1.15133106991321e-07	NA
613743	1.14164359286553e-07	NA
103230	1.135701358625e-07	NA
614662	1.06507191548258e-07	NA
614033	1.06276620338291e-07	NA
609734	1.06209284303755e-07	NA
605911	1.06137898842943e-07	NA
209300	1.04571692512142e-07	NA
606394	1.00024328219366e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
171200	9.82187975252685e-08	NA
269200	9.57514620705456e-08	NA
609975	9.23206697621887e-08	NA
229800	9.09846798473006e-08	NA
610021	8.96431775231415e-08	NA
263600	8.28597553439845e-08	NA
609197	8.24534698664431e-08	NA
613886	7.61312478002117e-08	NA
601941	6.61368356299663e-08	NA
145270	5.93490981333561e-08	NA
150170	5.82146111709797e-08	NA
601223	5.6966363438645e-08	NA
177735	5.64474215673991e-08	NA
194470	5.58566630468805e-08	NA
256450	5.19763033325604e-08	NA
606762	5.15165482687153e-08	NA
168820	4.90244397905398e-08	NA
203400	4.78173132255807e-08	NA
609968	4.76236525850944e-08	NA
615961	4.41129100428223e-08	NA
304800	4.33812837762787e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
251120	4.21851491400761e-08	NA
241150	4.19711996118246e-08	NA
305700	4.12449760688077e-08	NA
207780	3.95232775658705e-08	NA
264350	3.85966813980058e-08	NA
610199	3.58906603215248e-08	NA
129840	3.42122312819849e-08	NA
602485	3.295873261406e-08	NA
218030	3.27852909920062e-08	NA
138040	3.22627747246868e-08	NA
615517	3.17604901269186e-08	NA
606528	2.82819331231742e-08	NA
124060	2.74148492900903e-08	NA
179820	2.70698339439043e-08	NA
240200	2.63807038860737e-08	NA
239350	2.62427842214027e-08	NA
602475	2.61975944845418e-08	NA
240300	2.58679526046999e-08	NA
132810	2.50352505167718e-08	NA
214700	2.44454760478843e-08	NA
615361	2.32148718332095e-08	NA
210740	2.17544400936311e-08	NA
249599	2.17544400936311e-08	NA
600952	2.16958865809093e-08	NA
177600	2.09621548048268e-08	NA
600955	2.09127315877346e-08	NA
166700	2.01229726504363e-08	NA
209010	2.01229726504363e-08	NA
241080	2.01229726504363e-08	NA
560000	2.01229726504363e-08	NA
143880	1.37682263055686e-08	NA
239199	1.30062010420607e-08	NA
602722	1.24701248123106e-08	NA
600166	9.5223172127631e-09	NA
240800	9.14541189496358e-09	NA
212067	6.42299502572865e-09	NA
source	0	NA
target	0	NA
