DiseaseID	Score	DiseaseName
603776	0.00180470584732973	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
603813	3.33198785422492e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	3.01300073043953e-05	NA
614028	2.61587750323643e-05	NA
108725	2.57520865770387e-05	NA
144650	2.53552815723951e-05	NA
144400	2.47815428021152e-05	NA
605019	2.36800408816088e-05	NA
143470	2.34923116861157e-05	NA
608320	2.34230032611479e-05	NA
144300	2.32624444970363e-05	NA
143890	2.30805812867589e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
602247	2.23472369669043e-05	NA
126150	2.17412309677766e-05	NA
191530	2.17365463023975e-05	NA
601410	1.39599255482866e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.35661417274201e-05	NA
222100	1.3349192367184e-05	TYPE 1 DIABETES MELLITUS
615703	1.02187502796406e-05	NA
613375	8.19459226579182e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
605814	8.03885375085419e-06	NA
608594	7.98633131571656e-06	NA
151660	7.81585918402126e-06	NA
269700	7.53143900337157e-06	NA
219090	7.22266242727865e-06	NA
616192	6.93398911011804e-06	NA
615474	6.84274528384893e-06	NA
125853	6.83900018447159e-06	TYPE 2 DIABETES MELLITUS
615158	6.83686479141124e-06	NA
167800	6.81955771933745e-06	NA
614736	6.78523524186389e-06	NA
614190	6.71015568172577e-06	NA
602014	6.70529045027701e-06	NA
602522	6.69706649751039e-06	NA
144250	6.01655923796396e-06	NA
238600	4.77214051499346e-06	NA
145750	4.3424721676287e-06	NA
136120	3.56385407520435e-06	NA
144010	2.89394515994487e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
144600	2.67160823984411e-06	NA
601223	1.95276656762893e-06	NA
194470	1.91193550499366e-06	NA
107741	1.90278587524489e-06	NA
168820	1.89780383782893e-06	NA
277460	1.73101384179976e-06	NA
205400	1.67881204582463e-06	NA
152200	1.66483528140224e-06	NA
109600	1.62351460663489e-06	NA
125850	1.56435069504246e-06	MATURITY-ONSET DIABETES OF THE YOUNG
125851	1.51034549025699e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
124060	1.39945370529856e-06	NA
145270	1.36991498054738e-06	NA
245900	1.23857655891251e-06	NA
612671	1.22279706460167e-06	NA
612526	1.15342935589073e-06	NA
207750	1.14638624510051e-06	NA
306000	1.05433141936135e-06	NA
125852	9.55331276130833e-07	NA
615812	9.35543342667056e-07	NA
608600	8.76932828177494e-07	NA
616214	8.49304324797906e-07	NA
615517	8.45702532605067e-07	NA
612520	8.29520582170399e-07	NA
613370	8.25079156083993e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
177600	8.21589637152953e-07	NA
604367	7.95082138597045e-07	NA
606394	7.92577721307146e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
118830	7.55675018934273e-07	NA
200100	7.51248322429447e-07	NA
615558	7.51248322429447e-07	NA
607616	7.42945734466495e-07	NA
240900	6.69845708343853e-07	NA
203800	6.28142957075849e-07	NA
109160	6.04397212052922e-07	NA
602025	6.00056552321532e-07	NA
232220	5.96085043431692e-07	NA
615457	5.9111000943463e-07	NA
615947	5.77180275142014e-07	NA
614025	5.53033450459851e-07	NA
190430	5.48903522032608e-07	NA
613677	5.45667875189107e-07	NA
606721	5.32389969590562e-07	NA
616511	5.29264692958233e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
191540	5.21050458431497e-07	NA
616329	5.02400517974783e-07	NA
613877	5.00588954370931e-07	NA
232240	4.98157121663912e-07	NA
304900	4.77856924066197e-07	NA
147630	4.55878352655486e-07	NA
262190	4.50877159720029e-07	NA
601666	4.32565037286252e-07	NA
612780	4.31933020022937e-07	NA
215720	4.09113437292142e-07	NA
240600	4.07063921659867e-07	NA
615026	4.03094969528583e-07	NA
615954	3.77383410635478e-07	NA
615238	3.76255810738987e-07	NA
223500	3.62095509629602e-07	NA
610374	3.61996253173076e-07	NA
246200	3.43430128297621e-07	NA
125800	3.16753622256386e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
615830	3.15753240584589e-07	NA
610508	3.05882123503359e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
607364	3.05876742673118e-07	NA
612225	3.02601525169895e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
610582	2.96420010963664e-07	NA
614496	2.94207172097362e-07	NA
614492	2.82633778590803e-07	NA
614495	2.7454174075032e-07	NA
263800	2.73283678506907e-07	NA
260370	2.71025666412162e-07	NA
615160	2.7047946373729e-07	NA
219080	2.62170714026226e-07	NA
610475	2.62170714026226e-07	NA
610489	2.62170714026226e-07	NA
608709	2.53633924879552e-07	NA
615962	2.53394941343583e-07	NA
260350	2.51561340624193e-07	NA
601198	2.49616583791016e-07	NA
601942	2.35539331604974e-07	NA
606392	2.35299794446138e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
154020	2.33603287677249e-07	NA
614033	2.32916249460393e-07	NA
611718	2.30565072462406e-07	NA
614491	2.28959634922095e-07	NA
610600	2.26529901798518e-07	NA
132810	2.17452962841612e-07	NA
601820	2.16100012440668e-07	NA
600496	2.1010920409691e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
613090	2.07865685297057e-07	NA
601678	2.04886771541356e-07	NA
300200	1.99719988629425e-07	NA
241200	1.94628536440989e-07	NA
103900	1.90545011776816e-07	NA
613327	1.80822211989563e-07	NA
606824	1.73365919337233e-07	NA
232200	1.7242329846965e-07	NA
103230	1.57098540155571e-07	NA
608189	1.56800047533187e-07	NA
229500	1.56759104488965e-07	NA
616095	1.5436955066381e-07	NA
276700	1.41255156987987e-07	NA
177200	1.40415007004613e-07	NA
609812	1.39226915802139e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
167755	1.35425281497885e-07	NA
612227	1.34850485927744e-07	NA
145260	1.3360376922895e-07	NA
600089	1.31034181321409e-07	NA
300539	1.30972280576967e-07	NA
138900	1.29845669762182e-07	NA
151800	1.28262547505469e-07	NA
143860	1.2794808644262e-07	NA
268040	1.26503250926589e-07	NA
229800	1.25039536779974e-07	NA
208300	1.18562400844903e-07	NA
171200	1.1762502783441e-07	NA
615751	1.16893045667113e-07	NA
167770	1.15473432125669e-07	NA
613743	1.14880905090957e-07	NA
126900	1.14770020490449e-07	NA
605115	1.13447320734131e-07	NA
614662	1.13084731082194e-07	NA
609734	1.10518856097983e-07	NA
605911	1.0330644389179e-07	NA
613347	1.00658631653647e-07	NA
263600	1.00616047385164e-07	NA
174050	9.38055249644185e-08	NA
269200	9.07954233581831e-08	NA
260450	8.81490507623896e-08	NA
609975	8.76950685413417e-08	NA
601941	8.42862317825829e-08	NA
209300	8.40339072123176e-08	NA
179820	8.27095814571164e-08	NA
150170	8.26615794733692e-08	NA
609197	8.19820317902288e-08	NA
613886	7.52800760499106e-08	NA
240150	6.93121005163747e-08	NA
129840	6.74741531325191e-08	NA
232900	6.55021811372715e-08	NA
557000	5.91644072744924e-08	NA
177735	5.75462443367571e-08	NA
610021	5.59206724029282e-08	NA
251120	4.781880056852e-08	NA
256450	4.77637493068661e-08	NA
203400	4.76765255382027e-08	NA
609968	4.70897805413673e-08	NA
615961	4.46489410605954e-08	NA
304800	4.45921655132729e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
615361	4.35596097166012e-08	NA
241150	4.18662726042767e-08	NA
305700	4.07703228410846e-08	NA
264350	3.97018104832933e-08	NA
610199	3.62584098076266e-08	NA
207780	3.53615508360607e-08	NA
606528	3.47345642939321e-08	NA
138040	3.38306345031775e-08	NA
218030	3.32443748466494e-08	NA
606762	2.98367126871559e-08	NA
