DiseaseID	Score	DiseaseName
610947	0.00229829277128229	NA
603813	4.09846918459818e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
603776	3.90058490721212e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615703	3.8842297045824e-05	NA
108725	3.48011975123617e-05	NA
145750	3.40335203237573e-05	NA
608320	3.28881119643549e-05	NA
144600	3.23561615670653e-05	NA
614028	3.21860908018694e-05	NA
152200	3.17533578834091e-05	NA
191540	2.99244412321801e-05	NA
612671	2.98018685306109e-05	NA
612520	2.95521281589452e-05	NA
143890	2.15402592178616e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.47941053262708e-05	TYPE 1 DIABETES MELLITUS 2
222100	1.33346359067823e-05	TYPE 1 DIABETES MELLITUS
601665	1.3282051485682e-05	NA
151660	8.28582068587609e-06	NA
144250	8.13473768232774e-06	NA
613375	7.76387695401317e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
614736	7.39076594701985e-06	NA
615474	7.30919463970229e-06	NA
616192	7.30107536428371e-06	NA
269700	7.24312768688983e-06	NA
608594	7.234354636438e-06	NA
602522	7.11281274189996e-06	NA
605814	7.10175418173294e-06	NA
602014	7.00519758339754e-06	NA
614190	6.92468779828359e-06	NA
219090	6.92128056046957e-06	NA
615158	6.79578089644573e-06	NA
167800	6.56004850619341e-06	NA
125853	6.55152671056198e-06	TYPE 2 DIABETES MELLITUS
144400	4.79787434738249e-06	NA
144650	4.47109600795488e-06	NA
238600	4.11871151674638e-06	NA
602247	3.42051941305158e-06	NA
605019	3.3468586201985e-06	NA
107741	3.31716377674342e-06	NA
144300	2.9724022286459e-06	NA
144010	2.57956520840122e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
109160	2.04318776837587e-06	NA
614025	1.92894724688774e-06	NA
136120	1.9181114669082e-06	NA
143470	1.76601868081718e-06	NA
615160	1.70036404058006e-06	NA
203800	1.5862946614707e-06	NA
604367	1.5861854268613e-06	NA
125852	1.58434676245723e-06	NA
