DiseaseID	Score	DiseaseName
143890	1.77552808536132e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.54779175275005e-05	TYPE 1 DIABETES MELLITUS 2
222100	1.38469453200687e-05	TYPE 1 DIABETES MELLITUS
601665	1.2431888713201e-05	NA
608594	8.82453328093503e-06	NA
269700	8.11583209884131e-06	NA
602522	8.03842894094305e-06	NA
613375	7.93492466609386e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
615474	7.13647348519201e-06	NA
603776	6.9207835722459e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615703	6.86623091093671e-06	NA
614736	6.74453773759371e-06	NA
614190	6.74151673544528e-06	NA
610947	6.70929657917332e-06	NA
616192	6.6983261677504e-06	NA
603813	6.49132676451409e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
219090	6.45638863940412e-06	NA
615158	6.35325586125819e-06	NA
167800	6.00643143865255e-06	NA
125853	5.92307159493464e-06	TYPE 2 DIABETES MELLITUS
605814	5.75508323075248e-06	NA
151660	5.54729000521148e-06	NA
602014	4.81810504915997e-06	NA
144250	3.43294057382907e-06	NA
238600	3.09217087636009e-06	NA
125852	8.69377542634208e-07	NA
616214	8.17198990430586e-07	NA
240900	6.2273985149445e-07	NA
614028	5.96408851938714e-07	NA
602247	5.70495028286862e-07	NA
613677	5.60933934050738e-07	NA
203800	5.41335180044293e-07	NA
144650	5.27070024956069e-07	NA
602025	5.21773702161021e-07	NA
612520	5.19737816539967e-07	NA
304900	5.1705831289109e-07	NA
615457	5.13836312654065e-07	NA
190430	5.04332473502834e-07	NA
144300	4.91868432255085e-07	NA
262190	4.87056898377032e-07	NA
107741	4.86554521170024e-07	NA
616511	4.83476973650101e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144400	4.80174048209703e-07	NA
616329	4.45551842098663e-07	NA
144010	4.32062489081521e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
601666	4.30921303378393e-07	NA
147630	4.25456574986513e-07	NA
613877	4.22285065105024e-07	NA
136120	4.1100109572016e-07	NA
240600	4.09382115474025e-07	NA
605019	4.05793549700172e-07	NA
608600	4.01022630119408e-07	NA
612780	4.00022351313101e-07	NA
108725	3.99680325336573e-07	NA
207750	3.94104554424461e-07	NA
612526	3.84953171827793e-07	NA
604367	3.83178455002804e-07	NA
615954	3.76315875460225e-07	NA
223500	3.74246840236181e-07	NA
277460	3.48084044308832e-07	NA
607364	3.40484955922013e-07	NA
246200	3.39378595753904e-07	NA
145750	3.37049358122638e-07	NA
215720	3.36418694401893e-07	NA
608320	3.32687414437551e-07	NA
610374	3.29259545484544e-07	NA
125800	3.27179847256325e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
615238	2.9131303009519e-07	NA
260370	2.78561965570137e-07	NA
614496	2.71122410332666e-07	NA
615830	2.6422239267045e-07	NA
614492	2.61741208919726e-07	NA
610600	2.54658214036377e-07	NA
144600	2.5199359663027e-07	NA
614495	2.51754200033942e-07	NA
219080	2.4466071552061e-07	NA
610475	2.4466071552061e-07	NA
