DiseaseID	Score	DiseaseName
143890	1.79173818955849e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
222100	1.40208952706326e-05	TYPE 1 DIABETES MELLITUS
601410	1.31550089386406e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.28714884524393e-05	NA
608594	8.96727487153733e-06	NA
219090	8.86974138813968e-06	NA
615474	7.8770760148854e-06	NA
269700	7.87608156989706e-06	NA
603813	7.77235331465943e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
602522	7.46500269472416e-06	NA
615158	7.43689528249038e-06	NA
151660	7.42712896732708e-06	NA
613375	7.22230101608403e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
610947	7.00376871562791e-06	NA
616192	6.95937888816406e-06	NA
614190	6.70576456073662e-06	NA
614736	6.63340842255283e-06	NA
605814	6.60657614402684e-06	NA
615703	6.59705521034279e-06	NA
602014	6.06285778628886e-06	NA
125853	5.76584010519859e-06	TYPE 2 DIABETES MELLITUS
603776	5.27078588130002e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
167800	5.01395562324459e-06	NA
144250	3.48918978220186e-06	NA
238600	3.12627780781925e-06	NA
125852	8.44815056000802e-07	NA
616214	8.018074585026e-07	NA
240900	6.29956358168366e-07	NA
614028	6.18776079745327e-07	NA
203800	6.01366176802882e-07	NA
613677	5.7805545252418e-07	NA
602247	5.68949227866407e-07	NA
144650	5.44792364199504e-07	NA
602025	5.30160688566006e-07	NA
615457	5.22106668004701e-07	NA
190430	5.12555718034859e-07	NA
304900	5.10240557368956e-07	NA
107741	4.98122763069147e-07	NA
612520	4.97377816464664e-07	NA
616511	4.94420311407964e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144300	4.87321487714107e-07	NA
144400	4.7483210370316e-07	NA
262190	4.58657169563699e-07	NA
616329	4.49093326613796e-07	NA
144010	4.46337431690215e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
613877	4.39364894594369e-07	NA
612780	4.30103136198416e-07	NA
608600	4.23797783120767e-07	NA
240600	4.21681374771923e-07	NA
605019	4.19418595182106e-07	NA
136120	4.15417223293023e-07	NA
147630	4.1504755702029e-07	NA
612526	4.06662053230511e-07	NA
601666	4.05782868667647e-07	NA
604367	4.04990594563415e-07	NA
615954	4.02273498476224e-07	NA
207750	3.97563818373523e-07	NA
108725	3.8495047311238e-07	NA
145750	3.71907046451619e-07	NA
277460	3.62233933772796e-07	NA
246200	3.56982237113674e-07	NA
215720	3.54586101965681e-07	NA
223500	3.51421371640261e-07	NA
607364	3.37632608461833e-07	NA
125800	3.3049397820778e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
608320	3.25781453312939e-07	NA
615830	3.17988796054561e-07	NA
615238	3.11539432137896e-07	NA
610374	2.97769477927609e-07	NA
219080	2.97433301678308e-07	NA
610475	2.97433301678308e-07	NA
610489	2.97433301678308e-07	NA
615962	2.96341098248139e-07	NA
614496	2.9321866736916e-07	NA
614492	2.81461414754567e-07	NA
614495	2.71435927185879e-07	NA
144600	2.68623888438765e-07	NA
306000	2.67386529937013e-07	NA
263800	2.52922642300746e-07	NA
610600	2.43935311850764e-07	NA
260370	2.38247850346612e-07	NA
601198	2.27742472727866e-07	NA
613090	2.26967243490771e-07	NA
614491	2.23108142800293e-07	NA
601678	2.21048352130422e-07	NA
608709	2.19618360810912e-07	NA
260350	2.18044323696572e-07	NA
601942	2.13890186407113e-07	NA
154020	2.11524394143498e-07	NA
241200	2.10089286834362e-07	NA
611718	2.09661156925088e-07	NA
615160	2.08021445657213e-07	NA
601820	1.9878629963166e-07	NA
610508	1.89949220064544e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
300200	1.87441495844536e-07	NA
103900	1.75807286570098e-07	NA
125851	1.72966360411554e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.71445341718209e-07	MATURITY-ONSET DIABETES OF THE YOUNG
613327	1.6380631990043e-07	NA
606824	1.6299060679782e-07	NA
152200	1.56767878291479e-07	NA
177200	1.55158630003879e-07	NA
615812	1.46983789897919e-07	NA
145260	1.469564774947e-07	NA
300539	1.45915022796562e-07	NA
615947	1.38389630493215e-07	NA
191540	1.34135987514083e-07	NA
606392	1.28559383925571e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
118830	1.27507120502573e-07	NA
605115	1.2655006933992e-07	NA
614025	1.26467259740691e-07	NA
606721	1.2474788318547e-07	NA
143470	1.21031233541239e-07	NA
229500	1.20909896767738e-07	NA
600496	1.19034439380171e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
613743	1.12511480731384e-07	NA
143860	1.12022082389717e-07	NA
600089	1.08037925778652e-07	NA
616095	1.06852245005714e-07	NA
610582	1.06244307717823e-07	NA
613370	1.04817235295548e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
608189	1.03188414505021e-07	NA
612671	1.0185808430931e-07	NA
612227	1.00700415008033e-07	NA
615751	9.96735175028044e-08	NA
614662	9.95753738250023e-08	NA
103230	9.89096825239272e-08	NA
612225	9.62570531661075e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
615026	9.61684014094064e-08	NA
614033	9.58855474065837e-08	NA
605911	9.5496300759167e-08	NA
232220	9.54833728134332e-08	NA
151800	9.43978558121233e-08	NA
171200	9.33314051716085e-08	NA
276700	9.31857629594608e-08	NA
167755	9.00470396865449e-08	NA
609975	8.98332420568696e-08	NA
126900	8.95988520933624e-08	NA
606394	8.7456416146999e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
229800	8.72078349650008e-08	NA
268040	8.65819767052138e-08	NA
609734	8.39127872514883e-08	NA
609197	8.21994065398027e-08	NA
263600	8.18279032120059e-08	NA
609812	7.81807004821442e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
208300	7.69948147744334e-08	NA
613347	7.45242167601283e-08	NA
191530	7.20492760723444e-08	NA
126150	7.2030353657208e-08	NA
167770	7.16125367956116e-08	NA
232200	6.86553252435786e-08	NA
613886	6.78843365442141e-08	NA
269200	6.78076565423387e-08	NA
260450	6.46425644207521e-08	NA
209300	6.21889392788586e-08	NA
138900	5.97521575171344e-08	NA
177735	5.78223134117078e-08	NA
174050	5.58992600963104e-08	NA
601941	5.50212567051124e-08	NA
557000	5.22223963821775e-08	NA
205400	4.91507166345643e-08	NA
203400	4.87350634400004e-08	NA
610021	4.57893689680349e-08	NA
240150	4.54264154696337e-08	NA
304800	4.48538358880779e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
256450	4.31679133344686e-08	NA
241150	4.24781582665014e-08	NA
609968	4.18869084185676e-08	NA
264350	4.02058761257778e-08	NA
615961	3.78440456846393e-08	NA
305700	3.70613608513056e-08	NA
218030	3.48688527637014e-08	NA
232240	3.47284396761206e-08	NA
251120	3.35632487657357e-08	NA
138040	3.29216124652052e-08	NA
245900	3.24932479202381e-08	NA
207780	3.14509000900144e-08	NA
610199	3.04137634805965e-08	NA
129840	2.94760680328107e-08	NA
109160	2.81574320419572e-08	NA
240200	2.78861745700438e-08	NA
615517	2.73021541273118e-08	NA
239350	2.65282663826228e-08	NA
602485	2.63884362865646e-08	NA
214700	2.55670350246611e-08	NA
109600	2.32725683953248e-08	NA
606528	2.30614652532398e-08	NA
607616	2.29967389946234e-08	NA
615361	2.24365535258559e-08	NA
179820	2.18359533512051e-08	NA
602475	2.16274595810178e-08	NA
240300	2.02201319598575e-08	NA
606762	2.00913050899234e-08	NA
601223	1.90492718080086e-08	NA
194470	1.83454124431696e-08	NA
600955	1.83093226848048e-08	NA
210740	1.74612627088356e-08	NA
249599	1.74612627088356e-08	NA
200100	1.68973979106414e-08	NA
615558	1.68973979106414e-08	NA
600952	1.64552045915262e-08	NA
166700	1.61517698067728e-08	NA
209010	1.61517698067728e-08	NA
241080	1.61517698067728e-08	NA
560000	1.61517698067728e-08	NA
143880	1.44276372319423e-08	NA
150170	1.38822611260541e-08	NA
239199	1.33922139712505e-08	NA
168820	1.30151894121039e-08	NA
177600	1.26676928509673e-08	NA
145270	1.21600990248239e-08	NA
602722	1.0561003705339e-08	NA
124060	9.50073923094901e-09	NA
132810	9.20341129835745e-09	NA
232900	8.91421481925835e-09	NA
600166	8.09459198608683e-09	NA
240800	6.85485752091926e-09	NA
212067	6.31286835364506e-09	NA
source	0	NA
target	0	NA
