DiseaseID	Score	DiseaseName
143890	1.99609002910041e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
222100	1.3117781568813e-05	TYPE 1 DIABETES MELLITUS
601410	1.24814352257865e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.05255676613277e-05	NA
613375	8.22189756595554e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	7.81230770516224e-06	NA
167800	7.80522593209915e-06	NA
610947	7.27542222526291e-06	NA
269700	7.23665702795144e-06	NA
608594	7.05562635360114e-06	NA
616192	7.03923686238155e-06	NA
615474	6.99323973847644e-06	NA
603776	6.82433163076096e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	6.75685337540259e-06	NA
602522	6.72984829882777e-06	NA
602014	6.56170362796147e-06	NA
603813	6.3667005805518e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
605814	6.11239314867939e-06	NA
125853	6.01179008723211e-06	TYPE 2 DIABETES MELLITUS
219090	5.96056448291004e-06	NA
614190	5.92058541724237e-06	NA
615703	5.84955408389402e-06	NA
615158	4.73311169009249e-06	NA
144250	3.67887304562308e-06	NA
238600	3.28052584525556e-06	NA
125852	8.20480112044236e-07	NA
616214	7.35663996688269e-07	NA
602247	6.12064842629994e-07	NA
614028	6.09040714410819e-07	NA
240900	5.57705507121644e-07	NA
144650	5.347031409325e-07	NA
144300	5.29204742653154e-07	NA
613677	5.27334088411629e-07	NA
144400	5.15514846542545e-07	NA
107741	5.13926378714508e-07	NA
203800	5.02403493644261e-07	NA
612520	4.95464545626549e-07	NA
616511	4.73517964644334e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
304900	4.72647149191309e-07	NA
144010	4.71761242389982e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
602025	4.57210794582228e-07	NA
136120	4.53345229584039e-07	NA
615457	4.50208426182716e-07	NA
616329	4.48047099737992e-07	NA
190430	4.41785041922124e-07	NA
207750	4.36629086106048e-07	NA
147630	4.32038438920942e-07	NA
612780	4.26279263483745e-07	NA
262190	4.08687116153684e-07	NA
605019	4.04484903872415e-07	NA
108725	4.03918253238034e-07	NA
601666	3.9972714808987e-07	NA
613877	3.94178616848876e-07	NA
608600	3.86046978051016e-07	NA
277460	3.82506741092725e-07	NA
145750	3.74207481191615e-07	NA
240600	3.7309827647119e-07	NA
612526	3.69451327395571e-07	NA
604367	3.65523381755807e-07	NA
215720	3.49683257571327e-07	NA
223500	3.44283844797213e-07	NA
608320	3.28785778690055e-07	NA
615954	3.24452299520127e-07	NA
246200	3.19939708842225e-07	NA
125800	3.09300560435783e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.05809889672925e-07	NA
610374	2.89744372865962e-07	NA
615238	2.76277217284203e-07	NA
263800	2.66687970895726e-07	NA
144600	2.65731368977247e-07	NA
260370	2.60248149208936e-07	NA
306000	2.54246285660799e-07	NA
601198	2.43235704615717e-07	NA
614496	2.42399472350124e-07	NA
615830	2.3940473766266e-07	NA
260350	2.36181771141491e-07	NA
614492	2.33403421383103e-07	NA
154020	2.28512302223472e-07	NA
615962	2.2808278478934e-07	NA
611718	2.25153868919289e-07	NA
614495	2.24462476224325e-07	NA
610600	2.2292442568401e-07	NA
219080	2.2096622697314e-07	NA
610475	2.20966226973139e-07	NA
610489	2.20966226973139e-07	NA
608709	2.11354264182242e-07	NA
601820	2.08937500068845e-07	NA
613090	2.05647020098425e-07	NA
601942	2.05166084463438e-07	NA
601678	2.03006276121485e-07	NA
610508	1.9867496791601e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
614491	1.96993464984719e-07	NA
241200	1.9303451521531e-07	NA
125851	1.83722351101147e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.82750155261491e-07	MATURITY-ONSET DIABETES OF THE YOUNG
615160	1.79079663670781e-07	NA
300200	1.76889627877912e-07	NA
103900	1.67177478128962e-07	NA
118830	1.66469239289999e-07	NA
152200	1.62684121944935e-07	NA
608189	1.46660442259852e-07	NA
143470	1.41489673565829e-07	NA
606824	1.40054653969427e-07	NA
177200	1.38075337771317e-07	NA
613327	1.33569963609953e-07	NA
615947	1.33349410243732e-07	NA
191540	1.32513924790679e-07	NA
300539	1.32067740545889e-07	NA
615812	1.31341533296555e-07	NA
145260	1.30042158011996e-07	NA
612227	1.29697469432355e-07	NA
606392	1.29011658979344e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
606721	1.28144373332202e-07	NA
167755	1.23788182226495e-07	NA
600496	1.22925807507659e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614025	1.18165073232457e-07	NA
613370	1.1427522469451e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
605115	1.13549151812447e-07	NA
143860	1.13437478824084e-07	NA
609812	1.13171137832799e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
600089	1.12948258994381e-07	NA
610582	1.10239456521235e-07	NA
613347	1.10104157381485e-07	NA
208300	1.09891988763728e-07	NA
612225	1.06300820387976e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
167770	1.06193261108772e-07	NA
614662	1.05236801430065e-07	NA
612671	1.05124065527654e-07	NA
613743	1.01179580055311e-07	NA
151800	9.78860694572224e-08	NA
260450	9.78432005697245e-08	NA
606394	9.73335662084695e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
232220	9.63315456958038e-08	NA
269200	9.55457595742917e-08	NA
209300	9.4251113590569e-08	NA
126900	9.18039196627468e-08	NA
605911	9.17700380696505e-08	NA
229500	9.15250977094732e-08	NA
126150	9.12116223926076e-08	NA
191530	9.10506464794864e-08	NA
609734	9.10035033249553e-08	NA
103230	8.8508501796671e-08	NA
174050	8.57959364710273e-08	NA
171200	8.46656206897552e-08	NA
276700	8.46109136206365e-08	NA
616095	8.08022703209899e-08	NA
268040	7.65235130275344e-08	NA
615751	7.27885942675951e-08	NA
614033	7.23581609976495e-08	NA
232200	7.13086238732095e-08	NA
615026	6.95597762790133e-08	NA
609975	6.76725562118517e-08	NA
229800	6.31976040659302e-08	NA
613886	5.8528816674503e-08	NA
609197	5.76699064120816e-08	NA
263600	5.74205673189033e-08	NA
601941	5.42705576882605e-08	NA
138900	5.26762351933649e-08	NA
177735	5.23985313589408e-08	NA
205400	5.13211343101598e-08	NA
557000	5.06867030993628e-08	NA
