DiseaseID	Score	DiseaseName
125853	0.0016967434768847	TYPE 2 DIABETES MELLITUS
125852	2.6327662388863e-05	NA
600496	2.49302544119071e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
610374	2.44656905418062e-05	NA
610508	2.4222400967813e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
606392	2.41043164957627e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
125851	2.35666324998822e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	2.3456775690245e-05	MATURITY-ONSET DIABETES OF THE YOUNG
610582	2.31745012705465e-05	NA
600089	2.23539861132543e-05	NA
126900	2.19612398475398e-05	NA
103900	2.14959256801144e-05	NA
143860	2.14438957915811e-05	NA
143890	2.12662025549646e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601665	1.36458776852761e-05	NA
222100	1.31418640036352e-05	TYPE 1 DIABETES MELLITUS
601410	1.19672466334604e-05	TYPE 1 DIABETES MELLITUS 2
605911	1.06224036361762e-05	NA
613375	8.95672467295627e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
614190	8.60214798738946e-06	NA
151660	8.22881567031248e-06	NA
610947	8.17883046824352e-06	NA
269700	7.62929112741143e-06	NA
608594	7.60559547471721e-06	NA
603813	7.51904834792308e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
616192	7.25793112548699e-06	NA
615474	7.01472037876212e-06	NA
602014	6.65737241543886e-06	NA
615158	6.56277812412653e-06	NA
614736	6.55164737629163e-06	NA
602522	6.44991137995439e-06	NA
615703	6.40497140836945e-06	NA
219090	6.22357897054979e-06	NA
603776	5.88539249320289e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
605814	5.88384558626677e-06	NA
167800	5.77949079770786e-06	NA
144250	4.1979784454399e-06	NA
238600	3.76792183195507e-06	NA
612520	2.5846740573357e-06	NA
612225	2.58396536776263e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
613370	2.55282961975618e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
606394	2.38695079481983e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
608600	2.27457690550576e-06	NA
601941	2.23923002931653e-06	NA
616511	2.08409463676535e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
601666	2.00339213871039e-06	NA
147630	1.96840125115727e-06	NA
616329	1.94376285694019e-06	NA
229800	1.94082183311555e-06	NA
177735	1.72781750529747e-06	NA
179820	1.72228199760055e-06	NA
612227	1.6867418990957e-06	NA
614033	1.64136325480471e-06	NA
601942	1.58209511405887e-06	NA
613677	1.48076136844006e-06	NA
171200	1.42627186618791e-06	NA
263600	1.41663523218366e-06	NA
616214	1.39007408705598e-06	NA
229500	1.26680479199957e-06	NA
125800	1.15065301622331e-06	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610600	1.10723934000894e-06	NA
177200	1.10695035733247e-06	NA
167755	1.07841379714542e-06	NA
215720	1.06036457541694e-06	NA
145260	1.04027069271938e-06	NA
129840	9.71074411901145e-07	NA
610021	9.7103668580398e-07	NA
605115	9.70162017933912e-07	NA
103230	9.66700688595722e-07	NA
600166	9.66244939627738e-07	NA
260370	9.63085282684205e-07	NA
203400	9.353328987841e-07	NA
194470	9.25846275941297e-07	NA
614662	8.99498466629152e-07	NA
609968	8.94101437210761e-07	NA
264350	8.82436980161888e-07	NA
126150	8.75751767120537e-07	NA
304800	8.73020019491743e-07	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
214700	8.61684912982496e-07	NA
132810	8.58176165073667e-07	NA
109600	8.34974054438963e-07	NA
109160	8.04414684211796e-07	NA
240600	7.97614355623833e-07	NA
107741	7.63230922078411e-07	NA
609197	7.33082905848543e-07	NA
268040	7.27202640449712e-07	NA
240900	7.15552689191163e-07	NA
602247	6.95307845753162e-07	NA
614028	6.40456392578028e-07	NA
145270	6.05408712200868e-07	NA
203800	5.87614753428772e-07	NA
602025	5.75917722728872e-07	NA
609812	5.74627801760537e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
191530	5.67426271807912e-07	NA
615457	5.6704609026796e-07	NA
601223	5.62834747949576e-07	NA
144300	5.58434531764651e-07	NA
190430	5.56802552457719e-07	NA
168820	5.5634685715095e-07	NA
144650	5.54902763815391e-07	NA
223500	5.49862797600137e-07	NA
144400	5.48941579412383e-07	NA
304900	5.38340257521186e-07	NA
177600	5.24423307357891e-07	NA
144010	5.20003644818142e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
143470	5.17175711534261e-07	NA
136120	5.01029913236784e-07	NA
613877	4.97300888786014e-07	NA
602485	4.89347286625682e-07	NA
124060	4.88278125610424e-07	NA
108725	4.80568735812863e-07	NA
207750	4.75580562287127e-07	NA
262190	4.70707718138193e-07	NA
612780	4.70417706452673e-07	NA
604367	4.55940181584457e-07	NA
