DiseaseID	Score	DiseaseName
143890	0.00188021068970994	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
616192	0.00186948800762369	NA
125852	5.55026877607596e-05	NA
612520	5.11081377189445e-05	NA
601666	5.07612481547038e-05	NA
616511	5.01369060006637e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
616329	4.97257327943448e-05	NA
223500	4.74521951863919e-05	NA
603813	4.08305708124288e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
144250	3.75270413788428e-05	NA
602247	3.34439756032229e-05	NA
144010	3.28830590695302e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	3.28186745094306e-05	NA
107741	3.18512431288701e-05	NA
144400	3.16279006843024e-05	NA
144300	3.14339375650273e-05	NA
207750	3.03657800567314e-05	NA
277460	2.93812014807099e-05	NA
601410	1.76065004743844e-05	TYPE 1 DIABETES MELLITUS 2
222100	1.27006756309595e-05	TYPE 1 DIABETES MELLITUS
601665	1.18669997449008e-05	NA
614190	8.85526348667703e-06	NA
151660	8.69609799836465e-06	NA
269700	8.69025627173127e-06	NA
125853	8.56453909359443e-06	TYPE 2 DIABETES MELLITUS
613375	8.54441153794665e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
608594	8.35822092488416e-06	NA
219090	8.2147742265979e-06	NA
603776	8.14112212619377e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615158	8.09910288967683e-06	NA
614736	7.60450597757308e-06	NA
615703	7.36580320358888e-06	NA
238600	7.29871064649285e-06	NA
610947	7.245924233637e-06	NA
616214	7.18636746816392e-06	NA
615474	6.79800921957974e-06	NA
602522	6.79531653958763e-06	NA
602014	6.41770547949353e-06	NA
167800	6.37559475227775e-06	NA
605814	6.0321860216038e-06	NA
614028	5.82667511727251e-06	NA
144650	5.13415084763012e-06	NA
145750	5.11722564100556e-06	NA
108725	5.06048741047142e-06	NA
144600	4.11405886059149e-06	NA
601942	3.26033787585145e-06	NA
601941	2.98677124901026e-06	NA
615961	2.74928477429645e-06	NA
610374	2.67783788182243e-06	NA
610199	2.63281498639002e-06	NA
205400	2.28554225927617e-06	NA
602475	2.00359441189332e-06	NA
612227	1.9566112452177e-06	NA
613370	1.90057317753535e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
612225	1.82390154260601e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
614025	1.77622679598786e-06	NA
608600	1.74814753844567e-06	NA
606721	1.70709896753672e-06	NA
269200	1.69816750656594e-06	NA
232220	1.67145160717746e-06	NA
143470	1.66808406426337e-06	NA
210740	1.63597224784364e-06	NA
249599	1.63597224784364e-06	NA
118830	1.62365072169274e-06	NA
240300	1.61516435272352e-06	NA
606392	1.60692117586132e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
615954	1.59384661268448e-06	NA
613877	1.57968375616562e-06	NA
557000	1.57734303250167e-06	NA
207780	1.53670361486475e-06	NA
610508	1.5251894830513e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
166700	1.51327430048067e-06	NA
209010	1.51327430048067e-06	NA
241080	1.51327430048067e-06	NA
560000	1.51327430048067e-06	NA
232240	1.51090223597785e-06	NA
608320	1.50084042302518e-06	NA
600496	1.47138454200573e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
615830	1.4686807421533e-06	NA
610582	1.4316677812918e-06	NA
245900	1.39117314722435e-06	NA
615962	1.36927560315264e-06	NA
614033	1.34591891953935e-06	NA
616095	1.31604684199719e-06	NA
600089	1.30989399986486e-06	NA
147630	1.29518074035155e-06	NA
612526	1.27323701348908e-06	NA
614662	1.26819814480481e-06	NA
602485	1.16795244998871e-06	NA
615947	1.14768474477322e-06	NA
604367	1.12616306278443e-06	NA
129840	1.10337487889154e-06	NA
306000	1.08297666563274e-06	NA
615812	1.0570384187632e-06	NA
232200	1.03641981816225e-06	NA
600952	1.0325067758207e-06	NA
125851	9.85617138522041e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
605019	9.67233433143349e-07	NA
605911	9.55565701384716e-07	NA
240600	9.51232011085616e-07	NA
125850	8.88647872345256e-07	MATURITY-ONSET DIABETES OF THE YOUNG
208300	8.63973732452291e-07	NA
615160	8.61885927432129e-07	NA
152200	8.39695494040849e-07	NA
615751	8.0735665230806e-07	NA
610021	7.77156733773784e-07	NA
607616	7.5861515039028e-07	NA
203800	7.05996101541413e-07	NA
167755	6.99508193505742e-07	NA
229500	6.91407785264154e-07	NA
240900	6.57978119311739e-07	NA
262190	6.44122548216272e-07	NA
229800	6.31463130837737e-07	NA
613677	6.26898777323815e-07	NA
605115	6.10950525576966e-07	NA
126900	6.09626245207527e-07	NA
602025	5.51184625690422e-07	NA
246200	5.46686281008804e-07	NA
615457	5.42799317013401e-07	NA
190430	4.95962490410787e-07	NA
304900	4.6947662508735e-07	NA
612780	4.28070262145306e-07	NA
615238	4.22244187885313e-07	NA
260370	4.18699588330463e-07	NA
610475	3.98096452835542e-07	NA
610489	3.98096452835542e-07	NA
219080	3.98096452835542e-07	NA
614496	3.68340958545151e-07	NA
215720	3.65829447482481e-07	NA
191540	3.55325452658639e-07	NA
125800	3.46111011675969e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
601820	3.36137517005802e-07	NA
607364	3.13334905209418e-07	NA
608709	3.07648049120989e-07	NA
614492	3.04837432739064e-07	NA
614495	3.04039654907716e-07	NA
608189	3.03319306510954e-07	NA
609812	3.01654472481152e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
606394	2.98462310298461e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
615026	2.97199189860457e-07	NA
260350	2.88885445612439e-07	NA
276700	2.85782441898896e-07	NA
263800	2.65126618791175e-07	NA
103900	2.59387388117757e-07	NA
300200	2.46630508627228e-07	NA
609968	2.42805458524002e-07	NA
614491	2.40253641746167e-07	NA
601198	2.39152475613949e-07	NA
610600	2.38243771443563e-07	NA
613327	2.37237009160481e-07	NA
606824	2.35153725784301e-07	NA
611718	2.24977039606743e-07	NA
151800	2.24172181624548e-07	NA
154020	2.2400388625801e-07	NA
609975	2.15769913729046e-07	NA
609197	2.14105234049922e-07	NA
613090	2.13323832127445e-07	NA
601678	2.10791172304391e-07	NA
263600	2.09925987432137e-07	NA
171200	2.08713454819361e-07	NA
167770	2.02581765243162e-07	NA
241200	1.99273301064854e-07	NA
609734	1.87658371200153e-07	NA
109600	1.83029376915186e-07	NA
177200	1.71005470721726e-07	NA
606762	1.64768956783554e-07	NA
191530	1.62597866338876e-07	NA
194470	1.60903861575279e-07	NA
200100	1.5918329427038e-07	NA
615558	1.5918329427038e-07	NA
179820	1.57931464638618e-07	NA
300539	1.53940529133614e-07	NA
143860	1.49796449511634e-07	NA
126150	1.49260144563422e-07	NA
109160	1.49218032338505e-07	NA
612671	1.47988919288368e-07	NA
613347	1.46125018835252e-07	NA
145260	1.43013449393159e-07	NA
601223	1.41053906090975e-07	NA
613743	1.40900508869585e-07	NA
103230	1.37952606581494e-07	NA
268040	1.34933022821375e-07	NA
