DiseaseID	Score	DiseaseName
601410	0.00211123558044506	TYPE 1 DIABETES MELLITUS 2
616214	3.30118085000677e-05	NA
125852	3.1820649933702e-05	NA
614736	3.12898830973367e-05	NA
612520	2.95988055701919e-05	NA
601666	2.91417172892953e-05	NA
601942	2.79430569655936e-05	NA
610374	2.75585267043465e-05	NA
223500	2.71181129507488e-05	NA
615954	2.70745734744054e-05	NA
262190	2.70170178004661e-05	NA
260370	2.67118574309657e-05	NA
300200	2.66562252472927e-05	NA
143890	1.29162864862004e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
222100	1.01831908070572e-05	TYPE 1 DIABETES MELLITUS
616192	8.63331819434907e-06	NA
601665	7.47706570119006e-06	NA
605814	6.11690877851614e-06	NA
614190	6.10106422833051e-06	NA
613375	5.92911639687073e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
167800	5.83188265846734e-06	NA
219090	5.51872424059105e-06	NA
615158	5.49866765330533e-06	NA
608594	5.27818679442769e-06	NA
602522	5.19757678437178e-06	NA
615474	5.03261943220605e-06	NA
610947	5.02043638099648e-06	NA
603813	4.84329948290846e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
615703	4.74307983107987e-06	NA
151660	4.39342079888751e-06	NA
616511	4.28649656577951e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
616329	4.02246248433045e-06	NA
269700	3.96624147026383e-06	NA
125853	3.92490388403972e-06	TYPE 2 DIABETES MELLITUS
603776	3.84681113467384e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
602014	3.20802292972099e-06	NA
147630	2.36658242472445e-06	NA
601941	2.04871441383508e-06	NA
606392	1.90746218079115e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
240600	1.90104843296187e-06	NA
144250	1.87514441156517e-06	NA
615961	1.81930786397981e-06	NA
612227	1.81326021220049e-06	NA
601820	1.80553868563934e-06	NA
614662	1.7892112500543e-06	NA
600496	1.73789790366032e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
557000	1.72028988535289e-06	NA
600089	1.66858801100992e-06	NA
238600	1.623830248712e-06	NA
246200	1.55865367230822e-06	NA
610199	1.51771405202557e-06	NA
607364	1.46429016600368e-06	NA
203800	1.43579204134757e-06	NA
605911	1.38707564736286e-06	NA
610600	1.38121441635875e-06	NA
615830	1.35739673934804e-06	NA
613743	1.32238642842142e-06	NA
167755	1.3211116046498e-06	NA
103230	1.29251105159313e-06	NA
610475	1.24622805851201e-06	NA
610489	1.24622805851201e-06	NA
219080	1.24622805851201e-06	NA
600955	1.22286635582443e-06	NA
203400	1.215888908107e-06	NA
610508	1.15879393923113e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608189	1.0851192137851e-06	NA
260350	1.04782410171296e-06	NA
256450	1.00649995907139e-06	NA
269200	9.99140551458888e-07	NA
610582	9.99088315856098e-07	NA
602485	9.89459677887405e-07	NA
610021	9.81734957374899e-07	NA
615160	9.42935724040289e-07	NA
210740	9.4162223579736e-07	NA
249599	9.4162223579736e-07	NA
207780	9.37799997307398e-07	NA
240300	9.30948997518466e-07	NA
240900	8.85642961532209e-07	NA
609968	8.81785349022367e-07	NA
166700	8.71000568441957e-07	NA
209010	8.71000568441957e-07	NA
241080	8.71000568441957e-07	NA
560000	8.71000568441957e-07	NA
613370	8.5801779881817e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
614033	8.54951573446915e-07	NA
608600	7.85267632605833e-07	NA
229500	7.70637945948057e-07	NA
229800	7.51815248726552e-07	NA
609197	7.23166154596319e-07	NA
215720	6.7218535573855e-07	NA
129840	6.47670868886572e-07	NA
125851	6.36035286732268e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
602475	6.35056054359608e-07	NA
612225	6.02101055805015e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
125850	5.96313877636985e-07	MATURITY-ONSET DIABETES OF THE YOUNG
107741	5.92978645997512e-07	NA
606394	5.80034783943221e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
604367	5.7149377360079e-07	NA
606824	5.30984529629281e-07	NA
615962	5.28950648101581e-07	NA
263600	5.1549048627844e-07	NA
171200	5.10977471306726e-07	NA
613677	4.99601232594783e-07	NA
614028	4.95346665637185e-07	NA
