DiseaseID	Score	DiseaseName
143890	1.67882365736568e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	9.27414686410832e-06	TYPE 1 DIABETES MELLITUS 2
601665	8.55082128832008e-06	NA
222100	7.6921766825976e-06	TYPE 1 DIABETES MELLITUS
613375	6.81017344657474e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
269700	5.34047896487499e-06	NA
614190	4.95082252991894e-06	NA
603813	4.77809253593657e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
151660	4.34772324835942e-06	NA
616192	4.32288468561773e-06	NA
605814	4.0525374704099e-06	NA
610947	4.02541700506499e-06	NA
615158	3.86127650265785e-06	NA
615703	3.8506244044236e-06	NA
125853	3.75797792288588e-06	TYPE 2 DIABETES MELLITUS
608594	3.51992008069892e-06	NA
603776	3.46908454539228e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	3.46350684234238e-06	NA
219090	3.45751109678235e-06	NA
602014	3.43080760442133e-06	NA
602522	2.92166242412181e-06	NA
167800	2.84431354856116e-06	NA
615474	2.68595641166056e-06	NA
144250	2.34685970519468e-06	NA
238600	2.0339999294859e-06	NA
125852	5.22153048862339e-07	NA
616214	4.69358902514412e-07	NA
602247	4.54346720998787e-07	NA
240900	4.23472489100237e-07	NA
107741	4.00185745667793e-07	NA
144300	3.98224277651876e-07	NA
614028	3.9141988292585e-07	NA
144400	3.89966668406183e-07	NA
144010	3.75225090628971e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
602025	3.7101269273438e-07	NA
615457	3.65444469524517e-07	NA
190430	3.59153284730345e-07	NA
136120	3.5722763817685e-07	NA
144650	3.49776338992326e-07	NA
207750	3.39579133978298e-07	NA
612520	3.202539614171e-07	NA
277460	3.11649166417389e-07	NA
616511	3.07394784766234e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
203800	3.06188142934819e-07	NA
613677	3.02799686508371e-07	NA
