DiseaseID	Score	DiseaseName
143890	1.24246763129257e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601665	8.26675950654614e-06	NA
601410	7.7950829107083e-06	TYPE 1 DIABETES MELLITUS 2
222100	6.75534336981559e-06	TYPE 1 DIABETES MELLITUS
605814	6.07717792256708e-06	NA
269700	5.54225176974723e-06	NA
151660	5.18524579898533e-06	NA
219090	5.12223223418673e-06	NA
608594	4.88906138409379e-06	NA
616192	4.85485549567755e-06	NA
615474	4.80132266411212e-06	NA
603776	4.70420522628253e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
613375	4.29686873840752e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
602014	4.22378622183867e-06	NA
615158	4.14801634258832e-06	NA
614736	3.97503415568074e-06	NA
602522	3.89094331188672e-06	NA
610947	3.88884549541066e-06	NA
615703	3.85109159953281e-06	NA
614190	3.61887891891679e-06	NA
125853	3.6146597472182e-06	TYPE 2 DIABETES MELLITUS
603813	3.30322552121042e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
167800	2.72142108198589e-06	NA
144250	1.76466451608863e-06	NA
238600	1.5178707006698e-06	NA
125852	4.90061726300212e-07	NA
614028	4.49142708092377e-07	NA
616214	4.4247960805967e-07	NA
144650	4.02114176616326e-07	NA
240900	3.95314645133917e-07	NA
203800	3.69616155089035e-07	NA
602247	3.67681827215931e-07	NA
602025	3.36705369781574e-07	NA
615457	3.31608889100324e-07	NA
190430	3.25741939862641e-07	NA
144300	3.24458031134466e-07	NA
605019	3.23927814216314e-07	NA
144400	3.21575329386111e-07	NA
612520	3.1027196643858e-07	NA
616511	3.10245603508068e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
107741	3.09288824662334e-07	NA
613677	3.04026117198777e-07	NA
616329	2.85954154551544e-07	NA
144010	2.80412374514718e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
262190	2.78960985938238e-07	NA
136120	2.783675051495e-07	NA
613877	2.76453145053692e-07	NA
215720	2.76128364400114e-07	NA
608600	2.7044011313337e-07	NA
612780	2.61654040497069e-07	NA
612526	2.60721725888221e-07	NA
601666	2.58580286830863e-07	NA
604367	2.58400796232536e-07	NA
304900	2.5589928146229e-07	NA
207750	2.54985851491326e-07	NA
108725	2.47396045752686e-07	NA
277460	2.34737513943899e-07	NA
615954	2.34588299940567e-07	NA
246200	2.27158332207378e-07	NA
223500	2.26172008985773e-07	NA
306000	2.21506543444834e-07	NA
145750	2.15447968695578e-07	NA
240600	2.14671820873462e-07	NA
147630	2.1012131897224e-07	NA
608320	2.00381657174798e-07	NA
607364	1.87696307328768e-07	NA
615238	1.87520339095141e-07	NA
615830	1.80991059528543e-07	NA
610374	1.79046407218793e-07	NA
615962	1.74202881428876e-07	NA
263800	1.69202885378701e-07	NA
219080	1.68500725956133e-07	NA
610475	1.68500725956133e-07	NA
610489	1.68500725956133e-07	NA
614496	1.6788009780852e-07	NA
614492	1.60816631633234e-07	NA
125800	1.60743948737189e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
601198	1.55527053104759e-07	NA
614495	1.55297255510915e-07	NA
608709	1.52374665122437e-07	NA
154020	1.46996278517049e-07	NA
611718	1.44912953360663e-07	NA
144600	1.44410644741373e-07	NA
260370	1.38096464381169e-07	NA
260350	1.31478739323977e-07	NA
610600	1.31232765860029e-07	NA
614491	1.28185140007924e-07	NA
601942	1.26733653407412e-07	NA
615160	1.1994384903806e-07	NA
613090	1.19939532257792e-07	NA
601678	1.19018407010263e-07	NA
601820	1.18097594281506e-07	NA
610508	1.15194550292547e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
241200	1.1317338303786e-07	NA
300200	1.10110073176926e-07	NA
125851	1.06149139958303e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.05071284668789e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.01800066829996e-07	NA
143470	9.63441593461587e-08	NA
606824	9.52348172438268e-08	NA
613327	9.26659942621067e-08	NA
177200	9.23526684247245e-08	NA
615812	8.8472812722564e-08	NA
300539	8.77672829053478e-08	NA
145260	8.76143637706493e-08	NA
152200	8.61675177056919e-08	NA
606721	8.52240765714568e-08	NA
606392	7.89130544183818e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
615947	7.80996536868309e-08	NA
191540	7.64776386023366e-08	NA
605115	7.62068674980334e-08	NA
600496	7.31282609497432e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
143860	7.13565654356214e-08	NA
118830	6.9435347681846e-08	NA
229500	6.85327542026927e-08	NA
610582	6.60588060728038e-08	NA
600089	6.5991882199886e-08	NA
151800	6.42630788428298e-08	NA
616095	6.41858531758218e-08	NA
613370	6.32832690686954e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
613743	6.18160421989041e-08	NA
126150	6.17779856902988e-08	NA
191530	6.16819012965944e-08	NA
614025	6.10996982501745e-08	NA
276700	5.99663847146743e-08	NA
614662	5.96420894608917e-08	NA
612225	5.80413838997278e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
612671	5.76472881326158e-08	NA
612227	5.68973994406445e-08	NA
608189	5.67213227912319e-08	NA
126900	5.59234383705351e-08	NA
615751	5.5724439949306e-08	NA
615026	5.55831109290208e-08	NA
614033	5.50156281375304e-08	NA
103230	5.41798851569704e-08	NA
605911	5.40770529362111e-08	NA
232220	5.319611837748e-08	NA
606394	5.2342682282439e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
609975	5.22619707333263e-08	NA
268040	5.11585288399797e-08	NA
171200	5.09005517223576e-08	NA
609734	5.00231936829577e-08	NA
167755	4.97209022597828e-08	NA
229800	4.94829370625694e-08	NA
263600	4.62760575656142e-08	NA
609197	4.61999333870008e-08	NA
613886	4.31252605573805e-08	NA
208300	4.28339310552235e-08	NA
609812	4.27233186263339e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
613347	4.05838616112056e-08	NA
167770	3.87700719905722e-08	NA
269200	3.79680530641521e-08	NA
232200	3.64334660701086e-08	NA
260450	3.5374814286974e-08	NA
138900	3.50834675952701e-08	NA
209300	3.40334848172213e-08	NA
205400	3.33294637425993e-08	NA
601941	3.27098330325279e-08	NA
177735	3.24024438894915e-08	NA
174050	3.03607310962922e-08	NA
557000	2.89806059089127e-08	NA
203400	2.70991063696024e-08	NA
610021	2.62515343981181e-08	NA
256450	2.55387775634143e-08	NA
241150	2.44386256002097e-08	NA
251120	2.37053965017183e-08	NA
304800	2.3516615144507e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
609968	2.35087686696491e-08	NA
305700	2.34076993807859e-08	NA
615961	2.28334119133096e-08	NA
264350	2.2795814507061e-08	NA
245900	2.27849828104701e-08	NA
240150	2.24971794947201e-08	NA
232240	2.14035993164192e-08	NA
218030	1.96136906021655e-08	NA
207780	1.95800103428375e-08	NA
138040	1.91731106107255e-08	NA
610199	1.86859990996525e-08	NA
109160	1.67445561080253e-08	NA
615517	1.65084255907108e-08	NA
129840	1.6481654802507e-08	NA
607616	1.63535055984532e-08	NA
240200	1.60141382166851e-08	NA
602485	1.53715255029612e-08	NA
109600	1.50331564471907e-08	NA
239350	1.45981462892433e-08	NA
214700	1.4583052872734e-08	NA
615361	1.40492355109782e-08	NA
606528	1.32884909709098e-08	NA
602475	1.32782549957515e-08	NA
601223	1.29850024926622e-08	NA
179820	1.27032454160546e-08	NA
194470	1.26395847108697e-08	NA
200100	1.23712379687423e-08	NA
615558	1.23712379687423e-08	NA
240300	1.21227388536271e-08	NA
606762	1.13641642948427e-08	NA
600955	1.07551992900577e-08	NA
210740	1.06428701896105e-08	NA
249599	1.06428701896105e-08	NA
166700	9.84467710933764e-09	NA
209010	9.84467710933764e-09	NA
241080	9.84467710933764e-09	NA
560000	9.84467710933764e-09	NA
600952	9.72514789748751e-09	NA
168820	9.41572339396526e-09	NA
145270	8.4424980092488e-09	NA
177600	8.13278796518382e-09	NA
150170	8.06308812718337e-09	NA
239199	7.31922081517287e-09	NA
143880	7.25793490292609e-09	NA
124060	6.86404721185848e-09	NA
602722	6.38691747074242e-09	NA
132810	5.65634237601534e-09	NA
232900	5.16971286111298e-09	NA
600166	4.90258674534094e-09	NA
240800	3.9656749304811e-09	NA
212067	3.56148060827393e-09	NA
source	0	NA
target	0	NA
