DiseaseID	Score	DiseaseName
614190	0.00250612734617315	NA
615830	3.45278015407364e-05	NA
219080	3.3891718537967e-05	NA
610475	3.3891718537967e-05	NA
610489	3.3891718537967e-05	NA
613677	3.37196312601704e-05	NA
614492	3.23124592783281e-05	NA
614496	3.23096433602533e-05	NA
614491	3.21797413099447e-05	NA
103230	3.18696475456699e-05	NA
614495	3.17816160590158e-05	NA
103900	3.14104265055042e-05	NA
613743	3.08653011274444e-05	NA
171200	2.90332322257892e-05	NA
143890	1.43150936999881e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
219090	1.1404278087476e-05	NA
601410	1.06481200548379e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.00610780183899e-05	NA
222100	9.66072372816587e-06	TYPE 1 DIABETES MELLITUS
615158	8.77652206206304e-06	NA
615474	6.94225392899932e-06	NA
615954	6.62806090827787e-06	NA
610947	4.99306216353814e-06	NA
151660	4.80578769876707e-06	NA
145260	4.76793620295346e-06	NA
602522	4.60545385537228e-06	NA
125853	4.5702139671201e-06	TYPE 2 DIABETES MELLITUS
614736	4.28811798765564e-06	NA
613375	4.26971768738585e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
602014	4.19215850494487e-06	NA
177200	4.11969655201076e-06	NA
616192	3.83725355918631e-06	NA
603813	3.80772508133087e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
615703	3.78806869008951e-06	NA
177735	3.73843389469967e-06	NA
603776	3.66181697826045e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
613090	3.6049199849902e-06	NA
269700	3.55838394664757e-06	NA
167800	3.43270101504705e-06	NA
300200	3.39001751629743e-06	NA
608594	3.37765968934899e-06	NA
605814	3.28593471149202e-06	NA
240200	2.84985147643223e-06	NA
607364	2.79488550109462e-06	NA
615517	2.6498214352273e-06	NA
612780	2.58834278080489e-06	NA
610600	2.45613929448837e-06	NA
144250	2.23075503296177e-06	NA
264350	2.21815858249389e-06	NA
138040	2.07095732616169e-06	NA
218030	2.02084070827251e-06	NA
605115	1.95817769018088e-06	NA
238600	1.95121396140206e-06	NA
616329	1.87894197937271e-06	NA
616511	1.8118416706983e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
610374	1.80204417064731e-06	NA
147630	1.76381295653254e-06	NA
109160	1.73729141216586e-06	NA
125850	1.7358074826357e-06	MATURITY-ONSET DIABETES OF THE YOUNG
610508	1.71353813928231e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
109600	1.69618492169215e-06	NA
606392	1.65554144055611e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
615160	1.61660792094274e-06	NA
615962	1.51177277484265e-06	NA
615812	1.24839919332313e-06	NA
304900	1.05481031746932e-06	NA
300539	1.03516994626613e-06	NA
601678	9.77927472076684e-07	NA
616214	9.52967892171008e-07	NA
125852	6.80012232817788e-07	NA
203400	6.48202822242021e-07	NA
240900	4.74802296846741e-07	NA
241200	4.62591275701634e-07	NA
612520	4.60991358793269e-07	NA
602025	4.52638110331584e-07	NA
214700	4.47065702823323e-07	NA
615457	4.46008952335623e-07	NA
203800	4.35457393218521e-07	NA
602247	4.04135745733941e-07	NA
107741	4.02778188065436e-07	NA
190430	3.92019827636179e-07	NA
125800	3.76976644826217e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
614028	3.72260701770131e-07	NA
601666	3.68627035304036e-07	NA
263800	3.64188129774343e-07	NA
240600	3.57946410338131e-07	NA
144300	3.52240468642227e-07	NA
144400	3.47609542259853e-07	NA
108725	3.44081701403242e-07	NA
144010	3.26049756548789e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
125851	3.21472294222326e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
136120	3.15411161624537e-07	NA
144650	3.1435401516526e-07	NA
207750	3.02320323317459e-07	NA
614033	2.83920042003393e-07	NA
601198	2.81395026960223e-07	NA
262190	2.7447741699986e-07	NA
600955	2.66718684282309e-07	NA
277460	2.65356810037498e-07	NA
143860	2.63896329719739e-07	NA
601942	2.56913696151802e-07	NA
608320	2.55810765775369e-07	NA
613877	2.48313416651124e-07	NA
145750	2.43810332040244e-07	NA
223500	2.41924700206617e-07	NA
241150	2.33598358667205e-07	NA
605019	2.33347565423859e-07	NA
604367	2.22883979220354e-07	NA
608600	2.16670429498313e-07	NA
600496	2.10814025931814e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
260370	2.08607535295224e-07	NA
215720	2.02914119630511e-07	NA
612526	1.99319997595663e-07	NA
124060	1.97499762405905e-07	NA
611718	1.96272818943455e-07	NA
613370	1.91445557107689e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
610582	1.89503383435459e-07	NA
229800	1.86614502063711e-07	NA
263600	1.86005441204229e-07	NA
612225	1.84583338285934e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
304800	1.8111270898531e-07	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
132810	1.79778314051438e-07	NA
246200	1.78815225479528e-07	NA
606394	1.78137390837598e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
260350	1.76986583224395e-07	NA
191540	1.75814697211425e-07	NA
144600	1.74799258499858e-07	NA
150170	1.71934029522071e-07	NA
601820	1.70926065438586e-07	NA
612671	1.67450657479959e-07	NA
191530	1.62627292974348e-07	NA
229500	1.62192153092554e-07	NA
609197	1.61237366587025e-07	NA
154020	1.58969642324892e-07	NA
612227	1.58606102596456e-07	NA
615238	1.56904975462132e-07	NA
615751	1.55771586533953e-07	NA
600089	1.47037648144686e-07	NA
616095	1.45359530391059e-07	NA
606824	1.44919390961329e-07	NA
306000	1.44902509123239e-07	NA
126150	1.44462870971464e-07	NA
143470	1.4133886252509e-07	NA
615947	1.34389169372774e-07	NA
615026	1.34291903347714e-07	NA
601941	1.30614886344513e-07	NA
179820	1.27764686463294e-07	NA
177600	1.23044453558421e-07	NA
610021	1.20233851044189e-07	NA
614662	1.19376269697074e-07	NA
145270	1.19231374126646e-07	NA
608709	1.15510069781503e-07	NA
601223	1.1166552151145e-07	NA
615361	1.10661102566232e-07	NA
152200	1.09683787567637e-07	NA
194470	1.08132787892799e-07	NA
609975	1.04031939722159e-07	NA
609812	1.02593846096335e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
168820	1.01169962254849e-07	NA
608189	1.01022649408838e-07	NA
268040	9.48265261693937e-08	NA
167755	9.21239345372833e-08	NA
118830	9.08222486709102e-08	NA
138900	8.93054832694067e-08	NA
605911	8.57642190540192e-08	NA
609968	8.22504912694847e-08	NA
606721	8.06831336521783e-08	NA
151800	7.94315852317286e-08	NA
208300	7.55934707542495e-08	NA
613347	7.35738792792716e-08	NA
614025	7.28929894332026e-08	NA
167770	7.28185806918613e-08	NA
126900	7.10457843355847e-08	NA
609734	7.00380914403853e-08	NA
600166	6.85746767533353e-08	NA
615961	6.82691004671328e-08	NA
232220	6.82424483398726e-08	NA
613327	6.76480663725143e-08	NA
276700	6.3695833173659e-08	NA
129840	6.03368668366594e-08	NA
610199	5.81334193140793e-08	NA
256450	5.75353797226506e-08	NA
613886	5.56894887399509e-08	NA
239350	5.4041013024337e-08	NA
239199	5.05879694873477e-08	NA
269200	4.96802947095076e-08	NA
232200	4.89650906249639e-08	NA
602475	4.88993391726016e-08	NA
260450	4.75439313234197e-08	NA
209300	4.46757621646176e-08	NA
557000	4.05708800014249e-08	NA
174050	3.8945773820438e-08	NA
606528	3.8239822521431e-08	NA
205400	3.48905550600128e-08	NA
600952	3.13426654676405e-08	NA
602485	3.0538523467204e-08	NA
305700	2.99230177413164e-08	NA
232240	2.89920689318561e-08	NA
240150	2.85182819437999e-08	NA
606762	2.69275287729795e-08	NA
251120	2.47388643087881e-08	NA
143880	2.21508720911912e-08	NA
245900	2.18239206449781e-08	NA
207780	2.17376918083863e-08	NA
232900	1.87665519634081e-08	NA
240300	1.70550003890488e-08	NA
210740	1.52153313813361e-08	NA
249599	1.52153313813361e-08	NA
607616	1.4871762188527e-08	NA
166700	1.40742098128036e-08	NA
209010	1.40742098128036e-08	NA
241080	1.40742098128036e-08	NA
560000	1.40742098128036e-08	NA
602722	1.15019586093221e-08	NA
212067	1.0653023354899e-08	NA
240800	1.00970461306481e-08	NA
615558	9.9531120791604e-09	NA
200100	9.9531120791604e-09	NA
source	0	NA
target	0	NA
