DiseaseID	Score	DiseaseName
143890	1.79525956864962e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.16351848712907e-05	TYPE 1 DIABETES MELLITUS 2
601665	8.09452438329645e-06	NA
219090	8.01868698255513e-06	NA
615158	7.90342540922112e-06	NA
610947	6.82414757490225e-06	NA
151660	6.14246733951817e-06	NA
614736	5.55154557467167e-06	NA
222100	5.41948821163243e-06	TYPE 1 DIABETES MELLITUS
613375	5.27237981362542e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
269700	5.15868091715493e-06	NA
616192	4.77460293324841e-06	NA
603813	4.57878987193082e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
608594	4.06640901339767e-06	NA
614190	3.98441430041186e-06	NA
603776	3.82984003098309e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615703	3.73504801995145e-06	NA
615474	3.69568811082324e-06	NA
125853	3.41407857598002e-06	TYPE 2 DIABETES MELLITUS
605814	3.36112702264483e-06	NA
602522	3.28032848045558e-06	NA
602014	2.77277271698362e-06	NA
167800	2.29945080894925e-06	NA
144250	1.97881669902406e-06	NA
238600	1.62230393532486e-06	NA
616214	5.40169483581354e-07	NA
125852	5.19331907241062e-07	NA
602247	4.69634394306652e-07	NA
240900	4.22415508136974e-07	NA
203800	4.17580224877997e-07	NA
144300	4.16656185329565e-07	NA
144400	4.14902524574552e-07	NA
107741	4.14000731828519e-07	NA
614028	4.12012679963903e-07	NA
612520	4.00025353321669e-07	NA
144010	3.90029218508512e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	3.85332364161805e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
136120	3.70158812983502e-07	NA
615954	3.52277115993535e-07	NA
207750	3.47519475922226e-07	NA
602025	3.41232573793732e-07	NA
615457	3.35982106760108e-07	NA
616329	3.31577355144358e-07	NA
190430	3.29856746896185e-07	NA
277460	3.28851501248823e-07	NA
144650	3.28021876820231e-07	NA
262190	3.12669219887993e-07	NA
601666	3.10169808214945e-07	NA
145750	2.9059385188451e-07	NA
108725	2.88971479074511e-07	NA
223500	2.73169288994093e-07	NA
613877	2.68013482401331e-07	NA
608600	2.66129271356461e-07	NA
613677	2.62005234682087e-07	NA
615830	2.55794679715475e-07	NA
612526	2.54824078147196e-07	NA
604367	2.54643788310286e-07	NA
605019	2.41316990253826e-07	NA
610475	2.40659249070296e-07	NA
610489	2.40659249070296e-07	NA
219080	2.40659249070296e-07	NA
608320	2.39444891512286e-07	NA
610374	2.33380971784037e-07	NA
215720	2.24081043323195e-07	NA
240600	2.23670894995353e-07	NA
246200	2.23217374513042e-07	NA
615962	2.16614511200925e-07	NA
304900	2.08381931541768e-07	NA
144600	2.07014449522044e-07	NA
612780	1.9377001300531e-07	NA
614496	1.9161451258521e-07	NA
615238	1.83465589837792e-07	NA
615160	1.83255667457776e-07	NA
260370	1.81858245992327e-07	NA
614492	1.8156978543821e-07	NA
147630	1.81325678828959e-07	NA
601942	1.7874463426039e-07	NA
614495	1.77840641862106e-07	NA
300200	1.57853803577588e-07	NA
608709	1.55884300968463e-07	NA
607364	1.55735219917507e-07	NA
601820	1.51081214896708e-07	NA
606824	1.50901592837686e-07	NA
306000	1.42806634826074e-07	NA
152200	1.30069698410737e-07	NA
125800	1.2970037779489e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610508	1.29166907069529e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
191540	1.18793846036137e-07	NA
614491	1.17985367272682e-07	NA
125851	1.16470113826157e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
263800	1.14765684625385e-07	NA
125850	1.13979954167019e-07	MATURITY-ONSET DIABETES OF THE YOUNG
260350	1.13687433922155e-07	NA
610600	1.13063625850213e-07	NA
229500	1.06579465318855e-07	NA
601198	1.039678864789e-07	NA
613090	1.02059243454526e-07	NA
103900	1.01906459372525e-07	NA
606721	9.95711984593459e-08	NA
616095	9.83997728048993e-08	NA
601678	9.81511540991635e-08	NA
611718	9.70346431580367e-08	NA
154020	9.67954228963343e-08	NA
612671	9.67119041232154e-08	NA
615812	9.40749918302695e-08	NA
615026	9.33214309203871e-08	NA
615751	9.32747835164313e-08	NA
241200	9.30869345135225e-08	NA
614033	9.09512723625638e-08	NA
143470	8.64467778346377e-08	NA
606392	8.45257512335937e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
229800	8.44426005465332e-08	NA
263600	8.18941158699512e-08	NA
609197	8.15738165178748e-08	NA
609975	8.13227603786122e-08	NA
615947	8.09525766510444e-08	NA
613327	8.08434640320137e-08	NA
614025	7.93554368372272e-08	NA
177200	7.60475910794384e-08	NA
613370	7.57745140607683e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
151800	7.4090838486601e-08	NA
600496	7.38660046230348e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
145260	7.34530801186889e-08	NA
614662	7.18367432556701e-08	NA
118830	6.95723996350621e-08	NA
612225	6.93972757859565e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
300539	6.82749345146472e-08	NA
610582	6.77044953395131e-08	NA
600089	6.62813039832248e-08	NA
613743	6.58291492071006e-08	NA
143860	6.42503235395127e-08	NA
606394	6.15717743058538e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
232220	6.12926636141279e-08	NA
605115	6.12899369193528e-08	NA
103230	6.07950039943938e-08	NA
609734	5.99484400420712e-08	NA
612227	5.79922051834815e-08	NA
171200	5.58334872256506e-08	NA
605911	5.56081245494471e-08	NA
126900	5.35757919307974e-08	NA
191530	5.26841524334037e-08	NA
608189	5.2172808531238e-08	NA
126150	5.20771851628919e-08	NA
268040	5.15610403253703e-08	NA
276700	4.97968816605282e-08	NA
167755	4.70834193406984e-08	NA
613886	4.36881946511976e-08	NA
232200	4.13686648138702e-08	NA
208300	3.97158927841898e-08	NA
205400	3.87474324203877e-08	NA
609812	3.82048957314195e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
601941	3.76359699011644e-08	NA
269200	3.55670145602747e-08	NA
138900	3.50950994902077e-08	NA
613347	3.46691468096722e-08	NA
167770	3.35592682207861e-08	NA
177735	3.05503105580846e-08	NA
610021	3.02146001386452e-08	NA
260450	3.00940089463447e-08	NA
256450	2.96191532575152e-08	NA
557000	2.95348504514634e-08	NA
209300	2.89090652971339e-08	NA
609968	2.87114800703758e-08	NA
615961	2.77357533715622e-08	NA
232240	2.68415558283202e-08	NA
174050	2.60598541374241e-08	NA
203400	2.56009214841955e-08	NA
245900	2.48685936720597e-08	NA
251120	2.44377077999013e-08	NA
305700	2.43165842524288e-08	NA
240150	2.3616183663364e-08	NA
610199	2.27185813676096e-08	NA
264350	2.17899282193935e-08	NA
109160	2.11683156150439e-08	NA
207780	2.11129441736735e-08	NA
138040	2.08819655919706e-08	NA
304800	1.96821380535711e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
241150	1.87937408512085e-08	NA
606528	1.87446248640191e-08	NA
602485	1.84196276121648e-08	NA
218030	1.84165289292892e-08	NA
615517	1.73610630269974e-08	NA
240200	1.67725617893579e-08	NA
109600	1.66652054456019e-08	NA
607616	1.65705716544145e-08	NA
129840	1.64367196031619e-08	NA
602475	1.56974001053649e-08	NA
606762	1.5501735820057e-08	NA
601223	1.46066611235786e-08	NA
600955	1.40599435226637e-08	NA
179820	1.39608533128126e-08	NA
240300	1.3680508470024e-08	NA
194470	1.34750525984801e-08	NA
214700	1.25636626437178e-08	NA
210740	1.24826886802825e-08	NA
249599	1.24826886802825e-08	NA
600952	1.19379155203432e-08	NA
166700	1.15465090804065e-08	NA
209010	1.15465090804065e-08	NA
241080	1.15465090804065e-08	NA
560000	1.15465090804065e-08	NA
150170	1.14923588378148e-08	NA
239350	1.14443192586267e-08	NA
200100	1.07001023484679e-08	NA
615558	1.07001023484679e-08	NA
615361	1.02461115264611e-08	NA
177600	9.99682880053255e-09	NA
168820	9.75726841309318e-09	NA
145270	9.22744964678606e-09	NA
602722	9.02198426126896e-09	NA
232900	7.32922138784361e-09	NA
132810	6.82668041812411e-09	NA
124060	6.71940886041853e-09	NA
239199	6.6559272735585e-09	NA
212067	5.95550637020235e-09	NA
143880	5.92157853139922e-09	NA
600166	5.86613458512525e-09	NA
240800	5.33357691138641e-09	NA
source	0	NA
target	0	NA
