DiseaseID	Score	DiseaseName
143890	1.64375316933145e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601665	8.22562406504958e-06	NA
603776	7.1678893853107e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
602522	6.96473794865752e-06	NA
615158	6.94245246913277e-06	NA
613375	6.78311161349772e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
601410	6.73959407215353e-06	TYPE 1 DIABETES MELLITUS 2
222100	6.39715200480026e-06	TYPE 1 DIABETES MELLITUS
269700	6.25351849679405e-06	NA
615474	5.50643025770997e-06	NA
603813	5.21057192247853e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
125853	4.5812520000206e-06	TYPE 2 DIABETES MELLITUS
610947	4.4211739315085e-06	NA
219090	3.98770022438522e-06	NA
151660	3.91773632277477e-06	NA
616192	3.87344512249242e-06	NA
608594	3.47575409597678e-06	NA
167800	3.42754774286113e-06	NA
615703	3.11920030303759e-06	NA
614736	3.0698567469474e-06	NA
614190	2.97305974815961e-06	NA
602014	2.92029624236512e-06	NA
605814	2.87061796551061e-06	NA
144250	1.96603100327002e-06	NA
238600	1.65730212183911e-06	NA
602247	4.85345374836352e-07	NA
125852	4.58706209558194e-07	NA
144300	4.36084142561789e-07	NA
144400	4.34954105473548e-07	NA
616214	4.32452774005023e-07	NA
240900	4.06857660360026e-07	NA
614028	4.0235772118392e-07	NA
107741	3.86884709984317e-07	NA
144010	3.71731474017237e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
602025	3.58835787205584e-07	NA
615457	3.53460973838081e-07	NA
144650	3.49925005246883e-07	NA
136120	3.4785841741083e-07	NA
190430	3.47593686566067e-07	NA
207750	3.24525154911254e-07	NA
304900	3.17756187216894e-07	NA
203800	3.16945331034951e-07	NA
616511	3.15413726412339e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
277460	3.10309184488981e-07	NA
613677	3.09325072634303e-07	NA
612780	2.92615772427228e-07	NA
108725	2.88833594416881e-07	NA
612520	2.7956930483482e-07	NA
607364	2.69900774671384e-07	NA
616329	2.6960665136595e-07	NA
605019	2.65181377056532e-07	NA
262190	2.55940007896121e-07	NA
608320	2.45047226276365e-07	NA
608600	2.45007553109159e-07	NA
613877	2.43076257507096e-07	NA
145750	2.41378295741376e-07	NA
612526	2.36043204051464e-07	NA
604367	2.32344832061821e-07	NA
240600	2.31305714120241e-07	NA
601666	2.19935150419827e-07	NA
147630	2.10876444475471e-07	NA
246200	2.03350616549081e-07	NA
610600	2.02954500912482e-07	NA
614496	1.95969911008124e-07	NA
613090	1.94253586071161e-07	NA
615954	1.93538390094858e-07	NA
601678	1.90439988394236e-07	NA
614492	1.89977646976897e-07	NA
215720	1.88354028661158e-07	NA
223500	1.88116433834085e-07	NA
610374	1.84064031917538e-07	NA
241200	1.83420898926091e-07	NA
614495	1.82079307596594e-07	NA
144600	1.79350365625859e-07	NA
615962	1.62191008828604e-07	NA
125800	1.56952607064846e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610508	1.54083216424486e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608709	1.48689120891395e-07	NA
125851	1.46407741162104e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
615830	1.4542367766426e-07	NA
615238	1.44291312894917e-07	NA
125850	1.44003984218408e-07	MATURITY-ONSET DIABETES OF THE YOUNG
615160	1.36909009326391e-07	NA
614491	1.35490431829307e-07	NA
219080	1.33747223580257e-07	NA
