DiseaseID	Score	DiseaseName
610947	0.00196985443631426	NA
603813	3.28887001812716e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
615703	3.23805729381573e-05	NA
603776	3.0127074059052e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
108725	2.97283496027192e-05	NA
145750	2.90818981769206e-05	NA
608320	2.81125177649636e-05	NA
144600	2.76734569585081e-05	NA
614028	2.75126784800404e-05	NA
152200	2.71929913997318e-05	NA
191540	2.56375962232445e-05	NA
612671	2.55405407862718e-05	NA
612520	2.52688042065212e-05	NA
143890	1.05239241582988e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.0495742690623e-05	TYPE 1 DIABETES MELLITUS 2
614736	8.82209295739263e-06	NA
601665	8.80587414801505e-06	NA
605814	7.10737200049851e-06	NA
602014	6.23619553439068e-06	NA
222100	5.68888669292597e-06	TYPE 1 DIABETES MELLITUS
144250	5.60062880743195e-06	NA
613375	5.49149840863508e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
616192	5.45567480480777e-06	NA
151660	5.00928559852469e-06	NA
167800	4.75895076715162e-06	NA
615474	4.62624256692115e-06	NA
615158	4.35375125033228e-06	NA
608594	4.03553841067228e-06	NA
602522	3.96690122281698e-06	NA
144400	3.91265775897915e-06	NA
219090	3.89512435307786e-06	NA
125853	3.7993709271826e-06	TYPE 2 DIABETES MELLITUS
144650	3.75129036704119e-06	NA
269700	3.67893458671063e-06	NA
614190	2.92315034414189e-06	NA
605019	2.8274147963345e-06	NA
602247	2.69334868744824e-06	NA
107741	2.66182841232592e-06	NA
144300	2.34019939461254e-06	NA
238600	2.3102174363605e-06	NA
144010	2.0304831529397e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
109160	1.74544116956746e-06	NA
614025	1.61215435049041e-06	NA
136120	1.47822424428011e-06	NA
615160	1.46708336718343e-06	NA
143470	1.46122530382893e-06	NA
138900	1.32773669692381e-06	NA
615812	1.30987832652949e-06	NA
150170	1.28996816591112e-06	NA
232900	1.2639649215923e-06	NA
604367	1.24920793987626e-06	NA
203800	1.21067259886406e-06	NA
125852	1.13546683493709e-06	NA
191530	1.04979351939661e-06	NA
207750	1.00833392688151e-06	NA
205400	9.65164612801719e-07	NA
616214	9.47445493201132e-07	NA
277460	8.74367916461431e-07	NA
601666	8.36023183400178e-07	NA
615947	8.23245294248206e-07	NA
616329	8.18419318576099e-07	NA
232240	8.01983305978431e-07	NA
145270	7.95803475344249e-07	NA
232220	7.89862171055708e-07	NA
616511	7.74339133288946e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
601223	7.67285933370026e-07	NA
168820	7.3886449169173e-07	NA
194470	7.37372136105219e-07	NA
232200	7.02562491370458e-07	NA
177600	6.86683980796917e-07	NA
615751	6.75721192149912e-07	NA
306000	6.60971479446233e-07	NA
612526	6.53114697316848e-07	NA
606762	5.88215991060579e-07	NA
613877	5.77461304619811e-07	NA
109600	5.57542871412947e-07	NA
610374	5.19685303710454e-07	NA
615238	5.02398400426386e-07	NA
240900	5.0186669940278e-07	NA
245900	4.89711834025639e-07	NA
126150	4.86524560100117e-07	NA
601942	4.8043524505381e-07	NA
610508	4.56117814323237e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
606721	4.5238397961572e-07	NA
615026	4.39081647216631e-07	NA
610582	4.26426973980178e-07	NA
200100	4.2637998141563e-07	NA
615558	4.2637998141563e-07	NA
602025	4.25512585714712e-07	NA
615457	4.1906291291511e-07	NA
606392	4.18758921459599e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
613370	4.16929546886173e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
612225	4.16795016956089e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
607616	4.11458683913119e-07	NA
215720	3.85184137628678e-07	NA
268040	3.68507747689183e-07	NA
612227	3.68265920279824e-07	NA
