DiseaseID	Score	DiseaseName
143890	1.17595740174274e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	9.11683379099275e-06	TYPE 1 DIABETES MELLITUS 2
222100	8.51541130308869e-06	TYPE 1 DIABETES MELLITUS
601665	7.97465277706921e-06	NA
616192	5.48357252872322e-06	NA
603776	4.72314521865645e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
613375	4.67103950487567e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
615158	4.60559048582048e-06	NA
603813	4.56971123244122e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	4.44382992450237e-06	NA
602522	4.39645734687786e-06	NA
614736	4.27168658500853e-06	NA
615474	4.06224577049506e-06	NA
605814	3.87847328252629e-06	NA
151660	3.84697762886154e-06	NA
614190	3.79318260566453e-06	NA
219090	3.75727672704694e-06	NA
269700	3.54496974621841e-06	NA
167800	3.3903212871767e-06	NA
125853	2.99726704206078e-06	TYPE 2 DIABETES MELLITUS
608594	2.95392138867567e-06	NA
144250	2.62274097073624e-06	NA
615703	2.57212277779721e-06	NA
238600	2.39512900848197e-06	NA
602014	2.22970869587258e-06	NA
125852	5.573394750069e-07	NA
616214	5.01865872504076e-07	NA
240900	3.94331293170467e-07	NA
602247	3.87233717524388e-07	NA
614028	3.78646048767286e-07	NA
612520	3.53701283225628e-07	NA
144650	3.39863259711083e-07	NA
616511	3.35308529660005e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144300	3.33446338767474e-07	NA
613677	3.32297764818039e-07	NA
602025	3.29675510912482e-07	NA
615457	3.24656918033525e-07	NA
144400	3.21440162146949e-07	NA
190430	3.19420684259636e-07	NA
107741	3.08018587621107e-07	NA
616329	3.04756896420056e-07	NA
304900	3.03526975604297e-07	NA
601666	2.95324095291239e-07	NA
144010	2.92821897566171e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	2.76896158912966e-07	NA
207750	2.69402417007824e-07	NA
223500	2.59411801940098e-07	NA
147630	2.57362293358128e-07	NA
240600	2.56115569779444e-07	NA
203800	2.5393088590313e-07	NA
605019	2.53675453794043e-07	NA
108725	2.48018215914312e-07	NA
262190	2.34501604514568e-07	NA
277460	2.32433302298838e-07	NA
145750	2.31089183017238e-07	NA
615954	2.21347020298836e-07	NA
215720	2.16825618122005e-07	NA
612780	2.0607021179835e-07	NA
608320	2.02988759191958e-07	NA
125800	2.00024265444508e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610374	1.89981882278232e-07	NA
607364	1.89226268146488e-07	NA
608600	1.85510890406935e-07	NA
613877	1.84372240426124e-07	NA
612526	1.761095746984e-07	NA
604367	1.74805150766149e-07	NA
144600	1.73473674509472e-07	NA
306000	1.65839419050795e-07	NA
614496	1.63122194848586e-07	NA
260370	1.62764248488521e-07	NA
614492	1.57281132278144e-07	NA
246200	1.52939163505566e-07	NA
615830	1.52660627869057e-07	NA
614495	1.51945064648109e-07	NA
601942	1.46454887140529e-07	NA
219080	1.40759117011351e-07	NA
610475	1.40759117011351e-07	NA
610489	1.40759117011351e-07	NA
610600	1.40579682747207e-07	NA
615962	1.40562599723573e-07	NA
260350	1.38012182171497e-07	NA
613090	1.31734614674958e-07	NA
615160	1.30486817961837e-07	NA
601820	1.27878191996702e-07	NA
300200	1.27122426615524e-07	NA
601678	1.25551641748079e-07	NA
615238	1.24773858512904e-07	NA
614491	1.21065190556713e-07	NA
241200	1.19273237814242e-07	NA
610508	1.11046848724514e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
152200	1.04112656288217e-07	NA
608709	1.03452441532437e-07	NA
606824	1.03219767593938e-07	NA
125851	1.02589781199099e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
263800	1.01784025802374e-07	NA
125850	1.01491325613375e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	9.58188328394337e-08	NA
143470	9.30549638224643e-08	NA
118830	9.01846111567706e-08	NA
601198	8.77455466128949e-08	NA
614025	8.23292401812086e-08	NA
177200	8.18918932057847e-08	NA
191540	7.99613340355927e-08	NA
611718	7.87319203834829e-08	NA
154020	7.82655113929252e-08	NA
145260	7.75184412305144e-08	NA
615947	7.70562447467831e-08	NA
300539	7.54472772101438e-08	NA
229500	7.49982735606477e-08	NA
615812	7.41789531143713e-08	NA
606392	7.18354933139845e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
608189	6.91591187193022e-08	NA
613370	6.77835224056711e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
616095	6.70133420558739e-08	NA
600496	6.6876344150797e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
605115	6.67854955438102e-08	NA
612227	6.67026946268569e-08	NA
606721	6.60723451285289e-08	NA
612671	6.49901380987902e-08	NA
613743	6.38491949104103e-08	NA
232220	6.33177712739359e-08	NA
191530	6.20993497638003e-08	NA
614662	6.2045275113236e-08	NA
126150	6.2017386425058e-08	NA
612225	6.20070109491507e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
615751	6.19340189497167e-08	NA
143860	6.1502180729741e-08	NA
600089	6.09740469174977e-08	NA
167755	6.00438418869817e-08	NA
614033	5.99223377764122e-08	NA
615026	5.97164401746887e-08	NA
610582	5.93571010249928e-08	NA
276700	5.82563821602004e-08	NA
613327	5.77622495760343e-08	NA
103230	5.68129708533844e-08	NA
606394	5.6034455935907e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
