DiseaseID	Score	DiseaseName
143890	1.20335146901128e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.13693085817881e-05	TYPE 1 DIABETES MELLITUS 2
601665	7.76816705830446e-06	NA
222100	6.93442345485016e-06	TYPE 1 DIABETES MELLITUS
613375	5.85700119007047e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
269700	5.61941179289259e-06	NA
615474	5.36579672279479e-06	NA
614190	5.01594298760587e-06	NA
616192	4.72593020686833e-06	NA
610947	4.53413147059834e-06	NA
603776	4.33983602314325e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
608594	4.30386672422939e-06	NA
603813	4.16203890214625e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
151660	4.08957171590639e-06	NA
615703	4.07456309042385e-06	NA
614736	3.78640894648429e-06	NA
219090	3.66814778048559e-06	NA
602014	3.64667929584343e-06	NA
605814	3.63726850364336e-06	NA
602522	3.39604263009259e-06	NA
167800	3.28846677446861e-06	NA
125853	2.557839948962e-06	TYPE 2 DIABETES MELLITUS
615158	2.37078923048637e-06	NA
144250	2.09225897585323e-06	NA
238600	1.85684593378253e-06	NA
125852	5.26566744439832e-07	NA
616214	4.7586743308232e-07	NA
240900	3.90123739278454e-07	NA
614028	3.7937829967679e-07	NA
602247	3.72148598251358e-07	NA
612520	3.64189250845391e-07	NA
602025	3.34438929205703e-07	NA
144650	3.31008784218239e-07	NA
613677	3.30949005331016e-07	NA
615457	3.29386678814394e-07	NA
203800	3.27285899812276e-07	NA
190430	3.2343390789183e-07	NA
144300	3.23281698275519e-07	NA
107741	3.17460526481523e-07	NA
144400	3.17087733346914e-07	NA
262190	3.15535925258601e-07	NA
616511	3.04792698579751e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
601666	3.03516261487643e-07	NA
616329	2.9405103097486e-07	NA
144010	2.86323641565038e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	2.71863299551295e-07	NA
223500	2.68178485510149e-07	NA
207750	2.58925034978853e-07	NA
613877	2.58127910422475e-07	NA
108725	2.54107898912465e-07	NA
605019	2.53952505921152e-07	NA
615954	2.50034460339258e-07	NA
304900	2.48027813999192e-07	NA
608600	2.47182382581688e-07	NA
612526	2.38534631284348e-07	NA
604367	2.3716269704542e-07	NA
277460	2.33193854397719e-07	NA
612780	2.31347236440215e-07	NA
147630	2.24329117254932e-07	NA
145750	2.23784805092515e-07	NA
215720	2.12473281811407e-07	NA
608320	2.11840734902141e-07	NA
610374	2.10413149913901e-07	NA
246200	2.09903788147935e-07	NA
240600	2.04176191929477e-07	NA
260370	1.89114559983795e-07	NA
607364	1.85507902171269e-07	NA
614496	1.76826961846684e-07	NA
601942	1.73152860268658e-07	NA
614492	1.70711006709343e-07	NA
615830	1.68648070611654e-07	NA
615238	1.68240536963083e-07	NA
614495	1.64828218913451e-07	NA
144600	1.63946916437791e-07	NA
125800	1.63581139282662e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
300200	1.56617909482636e-07	NA
219080	1.56233308299629e-07	NA
610475	1.56233308299629e-07	NA
610489	1.56233308299629e-07	NA
615962	1.54861255014839e-07	NA
614491	1.5240334890383e-07	NA
306000	1.50295184893994e-07	NA
263800	1.48285935459694e-07	NA
608709	1.41108047766337e-07	NA
601198	1.34747095007402e-07	NA
601820	1.31477603427671e-07	NA
260350	1.303227084669e-07	NA
154020	1.26971531029499e-07	NA
611718	1.24966984738221e-07	NA
610600	1.21499569572798e-07	NA
610508	1.15337303679886e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
613090	1.09750455833047e-07	NA
103900	1.06821735640937e-07	NA
601678	1.05953857391371e-07	NA
125850	1.05367450180794e-07	MATURITY-ONSET DIABETES OF THE YOUNG
125851	1.05007183241929e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
177200	1.01559822697594e-07	NA
615160	1.00705369350739e-07	NA
241200	9.98711021534493e-08	NA
152200	9.9097907673149e-08	NA
145260	9.67673725156105e-08	NA
300539	9.46124824234251e-08	NA
615812	9.0945812247666e-08	NA
143470	8.81646543345335e-08	NA
615947	8.4676896090653e-08	NA
605115	8.43477750956226e-08	NA
191540	8.25969074043745e-08	NA
613327	8.24861285044435e-08	NA
118830	8.10496251645339e-08	NA
613743	7.99201573790235e-08	NA
613370	7.68343040356089e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
606824	7.61464412734005e-08	NA
614662	7.44877619576912e-08	NA
103230	7.34205666270073e-08	NA
614025	7.24522447600594e-08	NA
612225	7.17819624284156e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
606721	7.14815345916392e-08	NA
606392	6.80095426589635e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
608189	6.75057631538257e-08	NA
171200	6.74652244274043e-08	NA
606394	6.59588715513995e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
612671	6.53733770893353e-08	NA
612227	6.43662646782843e-08	NA
609734	6.32912420876071e-08	NA
600496	6.18823010561651e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
167755	5.85697785902807e-08	NA
191530	5.77841864621068e-08	NA
126150	5.77655368315485e-08	NA
232220	5.72706262466103e-08	NA
600089	5.5327807190798e-08	NA
610582	5.432050844216e-08	NA
143860	5.42317660884506e-08	NA
276700	5.2561672486178e-08	NA
151800	5.23393737882618e-08	NA
268040	5.20848019665442e-08	NA
229500	5.1865233178734e-08	NA
609812	5.06291843079798e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
208300	4.95203286469168e-08	NA
605911	4.8436278795211e-08	NA
613347	4.79069398581449e-08	NA
167770	4.61565308078173e-08	NA
269200	4.50967494544609e-08	NA
616095	4.43395329401151e-08	NA
613886	4.28296297873989e-08	NA
126900	4.23113141350416e-08	NA
260450	4.20857367156495e-08	NA
232200	4.14974720506229e-08	NA
209300	4.04946373115885e-08	NA
614033	4.03978219401475e-08	NA
615751	3.94369238505018e-08	NA
615026	3.75179715273604e-08	NA
174050	3.6581825583406e-08	NA
609975	3.62129531467994e-08	NA
601941	3.48629138271396e-08	NA
138900	3.43013650551834e-08	NA
229800	3.42280107804328e-08	NA
177735	3.31568924665803e-08	NA
557000	3.15503137091665e-08	NA
205400	3.1508457779824e-08	NA
609197	3.11645021137307e-08	NA
263600	3.04528535380731e-08	NA
203400	2.82981536194761e-08	NA
610021	2.82262355432116e-08	NA
256450	2.74346496164696e-08	NA
240150	2.68974275395704e-08	NA
615961	2.54154874565843e-08	NA
609968	2.38024649543888e-08	NA
305700	2.31811376649409e-08	NA
264350	2.28184571580794e-08	NA
241150	2.26870027990145e-08	NA
304800	2.2168405154186e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
232240	2.18423317926718e-08	NA
610199	2.09614247194512e-08	NA
218030	2.07425553784629e-08	NA
245900	2.07203115860427e-08	NA
207780	2.01671896419375e-08	NA
138040	1.96592296351176e-08	NA
251120	1.84401782836043e-08	NA
109160	1.76976629455106e-08	NA
615517	1.73326600741384e-08	NA
240200	1.73276872873486e-08	NA
129840	1.73004531403134e-08	NA
602485	1.59616661605156e-08	NA
109600	1.54732713297825e-08	NA
607616	1.4378586431863e-08	NA
602475	1.41260070820215e-08	NA
240300	1.3877121043135e-08	NA
214700	1.3832580191204e-08	NA
179820	1.36903737841273e-08	NA
239350	1.36706274369682e-08	NA
600955	1.35100103871414e-08	NA
601223	1.30011534697144e-08	NA
194470	1.2680234098689e-08	NA
606528	1.24380294835154e-08	NA
615361	1.2374282489846e-08	NA
210740	1.20770975784902e-08	NA
249599	1.20770975784902e-08	NA
166700	1.11713371336935e-08	NA
209010	1.11713371336935e-08	NA
241080	1.11713371336935e-08	NA
560000	1.11713371336935e-08	NA
606762	1.07992986095077e-08	NA
200100	1.03123872271354e-08	NA
615558	1.03123872271354e-08	NA
600952	9.3872124102579e-09	NA
168820	8.98857665429085e-09	NA
145270	8.12429772071829e-09	NA
177600	8.11766706950357e-09	NA
150170	8.05847506092779e-09	NA
143880	7.06528256235178e-09	NA
124060	6.67840812469125e-09	NA
239199	6.65772319853239e-09	NA
232900	5.47192607783636e-09	NA
602722	5.18813161606739e-09	NA
600166	5.15773843281756e-09	NA
132810	5.14802028187579e-09	NA
240800	3.57426396924927e-09	NA
212067	2.5324694413212e-09	NA
source	0	NA
target	0	NA
