DiseaseID	Score	DiseaseName
143890	1.99808735545215e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.53602009241481e-05	TYPE 1 DIABETES MELLITUS 2
601665	8.96345841489871e-06	NA
222100	8.42621491239099e-06	TYPE 1 DIABETES MELLITUS
615474	6.62706429362885e-06	NA
608594	6.14909850076719e-06	NA
603776	5.35165193961924e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
602522	4.73200299824676e-06	NA
151660	4.63799180175492e-06	NA
605814	4.55103401431766e-06	NA
602014	4.48383642299253e-06	NA
603813	4.32816100008567e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
614190	4.21555076019752e-06	NA
614736	4.05713681272011e-06	NA
269700	4.05428917514372e-06	NA
613375	3.7675165698472e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
167800	3.76620142531063e-06	NA
219090	3.66647807911485e-06	NA
125853	3.57093910259592e-06	TYPE 2 DIABETES MELLITUS
615158	3.32757232736786e-06	NA
616192	3.18433610211194e-06	NA
610947	3.12555568415022e-06	NA
615703	2.75394105295903e-06	NA
144250	2.51585457999671e-06	NA
238600	2.15171450688252e-06	NA
125852	5.93607417237975e-07	NA
616214	5.78609245508167e-07	NA
602247	5.31421605613103e-07	NA
144300	4.71007493458613e-07	NA
144400	4.62124855852605e-07	NA
107741	4.39387081943244e-07	NA
144010	4.2866426392593e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	4.1740652441002e-07	NA
240900	4.16625724334269e-07	NA
614028	4.14845465010721e-07	NA
207750	3.94633692874362e-07	NA
144650	3.83747916679793e-07	NA
613677	3.80813556245249e-07	NA
262190	3.68835006687593e-07	NA
612520	3.61488475800097e-07	NA
277460	3.58545824392284e-07	NA
602025	3.55656755697581e-07	NA
615457	3.50277102366888e-07	NA
190430	3.44568802195666e-07	NA
203800	3.22827152057253e-07	NA
601666	3.18873756140746e-07	NA
304900	3.15220103265618e-07	NA
615954	2.98116909271881e-07	NA
612780	2.96533977100704e-07	NA
605019	2.82374808139893e-07	NA
223500	2.80865175956787e-07	NA
610374	2.74129855145284e-07	NA
147630	2.6673218952816e-07	NA
616511	2.65360846009975e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
608600	2.62539361836194e-07	NA
108725	2.58547569040011e-07	NA
613877	2.54266265984182e-07	NA
612526	2.50828265395027e-07	NA
240600	2.49300600595344e-07	NA
616329	2.47336355618472e-07	NA
260370	2.45688914424828e-07	NA
604367	2.44458531370664e-07	NA
607364	2.41087342158471e-07	NA
145750	2.35028938158713e-07	NA
215720	2.26812991251569e-07	NA
601942	2.25210417421892e-07	NA
246200	2.19844052687271e-07	NA
300200	2.079376705592e-07	NA
125800	1.99606475270056e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
608320	1.97088299155046e-07	NA
614496	1.95923141553073e-07	NA
614492	1.89338262233819e-07	NA
615238	1.87917796624167e-07	NA
306000	1.86005560454607e-07	NA
263800	1.83769401842073e-07	NA
614495	1.81953631720425e-07	NA
615962	1.71688437322226e-07	NA
601198	1.66715384079608e-07	NA
144600	1.66019734281181e-07	NA
614491	1.63707898072392e-07	NA
610600	1.61896927964226e-07	NA
615830	1.58338439268627e-07	NA
154020	1.56217614414996e-07	NA
611718	1.54015907513593e-07	NA
260350	1.53486665313444e-07	NA
219080	1.47336074908992e-07	NA
610475	1.47336074908992e-07	NA
610489	1.47336074908992e-07	NA
613090	1.46005752257332e-07	NA
601678	1.43305428696266e-07	NA
241200	1.36005584117527e-07	NA
608709	1.23874613182074e-07	NA
177200	1.22949442447434e-07	NA
601820	1.21697048714946e-07	NA
300539	1.1690550442691e-07	NA
145260	1.16298185388988e-07	NA
615160	1.15604304790638e-07	NA
103900	1.12348806329632e-07	NA
610508	1.109565869095e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
613327	1.08871799452682e-07	NA
143470	1.08202901707981e-07	NA
125851	1.02136444219171e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
605115	1.01782090166643e-07	NA
125850	1.01579379928092e-07	MATURITY-ONSET DIABETES OF THE YOUNG
118830	9.78005178363607e-08	NA
