DiseaseID	Score	DiseaseName
151660	0.00231161425584612	NA
608594	3.46353747471407e-05	NA
269700	3.32615494290441e-05	NA
608600	3.23159903457065e-05	NA
612526	3.03564358679464e-05	NA
219090	2.98069712084722e-05	NA
604367	2.95521159263091e-05	NA
613877	2.74398776298914e-05	NA
203800	2.67116432990944e-05	NA
615238	2.66578272661038e-05	NA
606721	2.64670101646856e-05	NA
144250	2.62415316349354e-05	NA
608709	2.56438908599578e-05	NA
151800	2.51139716823552e-05	NA
246200	2.50313402176814e-05	NA
145750	2.38940828154003e-05	NA
143890	1.37044261973364e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
222100	8.57431893505076e-06	TYPE 1 DIABETES MELLITUS
601665	8.23263091895018e-06	NA
615703	7.81677651954206e-06	NA
601410	7.30100856089417e-06	TYPE 1 DIABETES MELLITUS 2
613375	5.46658374956544e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
615474	5.09954081727624e-06	NA
616192	4.99459090765457e-06	NA
603813	4.78655117021208e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
614736	4.34155703302824e-06	NA
610947	4.32820173019986e-06	NA
602522	4.2486865307033e-06	NA
603776	4.20978633746083e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614190	4.08795920337757e-06	NA
615158	3.81294381957447e-06	NA
125853	3.66818837506968e-06	TYPE 2 DIABETES MELLITUS
613327	3.56718251676205e-06	NA
616214	3.09540874838973e-06	NA
602014	3.09399267208519e-06	NA
614028	3.08595404496325e-06	NA
605814	3.06324077648437e-06	NA
262190	2.90793615250811e-06	NA
167800	2.88247062347361e-06	NA
602247	2.68309950495843e-06	NA
238600	2.32734306960266e-06	NA
147630	2.15883285702157e-06	NA
108725	1.8958502330268e-06	NA
616329	1.8479632817118e-06	NA
277460	1.66870371635567e-06	NA
191540	1.5275885494809e-06	NA
125852	1.36883134533035e-06	NA
107741	1.22532328156277e-06	NA
616511	1.20053298617642e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144300	1.16938184181847e-06	NA
207750	1.10588329658798e-06	NA
144600	1.09855055672549e-06	NA
207780	1.09319062818659e-06	NA
144650	1.02611321397772e-06	NA
144400	9.46404726955792e-07	NA
232220	8.94906034055106e-07	NA
152200	8.82768532759258e-07	NA
615954	8.42592866735118e-07	NA
614025	8.36001790096165e-07	NA
268040	8.11637543070242e-07	NA
144010	7.97944368680191e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
615830	7.84389676534405e-07	NA
609734	7.83843105305811e-07	NA
608320	7.77261219243892e-07	NA
219080	7.33646836546734e-07	NA
610475	7.33646836546734e-07	NA
610489	7.33646836546734e-07	NA
126900	7.06330714705994e-07	NA
615962	6.89812720168772e-07	NA
136120	4.80065722789041e-07	NA
612520	4.74797771789936e-07	NA
601666	4.37796335120164e-07	NA
240900	4.2033564250096e-07	NA
240600	3.84761239674741e-07	NA
613677	3.76303847407745e-07	NA
605019	3.62279558702389e-07	NA
602025	3.52272963517137e-07	NA
615457	3.46914397481047e-07	NA
190430	3.36565895437921e-07	NA
304900	3.04051249546553e-07	NA
223500	2.51371300264495e-07	NA
612780	2.34426698204568e-07	NA
610374	2.32415120006012e-07	NA
615947	2.18797921323394e-07	NA
610508	2.18102374739021e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
601820	2.17879235796518e-07	NA
614662	2.15779148681209e-07	NA
601942	2.14335637986412e-07	NA
615160	2.05869917896765e-07	NA
125800	2.02181546001869e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	2.01342827704538e-07	NA
215720	2.00272264570677e-07	NA
614496	1.98726968558303e-07	NA
615812	1.95719885501242e-07	NA
306000	1.88072396889678e-07	NA
143470	1.75472552677961e-07	NA
614492	1.71290227607466e-07	NA
600496	1.67600861173747e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
260370	1.67238272173917e-07	NA
614495	1.6571977369237e-07	NA
260350	1.60809653322546e-07	NA
606392	1.57092280465046e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
232240	1.54414342914221e-07	NA
612227	1.42935794983387e-07	NA
125851	1.42107128457409e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
614491	1.41441880851904e-07	NA
610600	1.41251599080387e-07	NA
232200	1.39931684215335e-07	NA
125850	1.37069754201809e-07	MATURITY-ONSET DIABETES OF THE YOUNG
615751	1.33684274042537e-07	NA
263800	1.32592907750232e-07	NA
610021	1.32392195592292e-07	NA
613370	1.31007615457361e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
613090	1.30964442969005e-07	NA
205400	1.2665157466943e-07	NA
601678	1.2611482160567e-07	NA
601941	1.25726322995403e-07	NA
241200	1.19191311079825e-07	NA
601198	1.17500431591138e-07	NA
600089	1.15869652045635e-07	NA
118830	1.13447400203262e-07	NA
616095	1.12421146404541e-07	NA
615026	1.1227247092879e-07	NA
103900	1.10710894571358e-07	NA
611718	1.08252862079186e-07	NA
154020	1.08170145665786e-07	NA
300200	1.0663848389372e-07	NA
614033	1.06477685508629e-07	NA
612225	1.05585969164169e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
229500	1.0352475548473e-07	NA
612671	1.03342537125602e-07	NA
606824	1.020880617536e-07	NA
177200	1.01224603116899e-07	NA
610582	1.00745143405952e-07	NA
608189	9.99182441385716e-08	NA
605115	9.73891793890305e-08	NA
606394	9.66993855119886e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
605911	9.63142465560047e-08	NA
167755	9.60861219534911e-08	NA
145260	9.54764051965038e-08	NA
208300	9.50149192613521e-08	NA
276700	9.38805552305745e-08	NA
300539	9.2809563271614e-08	NA
609968	8.9749847387188e-08	NA
256450	8.94811342400209e-08	NA
171200	8.52874070992806e-08	NA
615961	8.34763400865358e-08	NA
609812	8.14253411884848e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
245900	7.96194376343731e-08	NA
109160	7.95937171261381e-08	NA
138900	7.88029808438191e-08	NA
609975	7.65663890061931e-08	NA
167770	7.35093109043576e-08	NA
606762	7.35091854623126e-08	NA
613347	7.30499363535176e-08	NA
143860	6.92142900818629e-08	NA
609197	6.90207401372749e-08	NA
613743	6.74766420104543e-08	NA
103230	6.23152040722168e-08	NA
607616	6.06913696054458e-08	NA
126150	5.9392918217323e-08	NA
191530	5.93655867836436e-08	NA
229800	5.85721305187571e-08	NA
200100	5.74334872750297e-08	NA
615558	5.74334872750297e-08	NA
610199	5.65244164369505e-08	NA
602485	5.56379577033182e-08	NA
269200	5.10044706871568e-08	NA
263600	4.97541368996446e-08	NA
602475	4.7373345505425e-08	NA
150170	4.70894342253981e-08	NA
232900	4.52915027395317e-08	NA
613886	4.49061779621616e-08	NA
557000	4.4655383964965e-08	NA
109600	4.45168948682591e-08	NA
179820	4.39897356457723e-08	NA
600955	4.15761400632057e-08	NA
138040	4.15346760484871e-08	NA
260450	4.07977479605698e-08	NA
606528	4.02730284857495e-08	NA
209300	3.84924788060239e-08	NA
177735	3.70915521670857e-08	NA
240150	3.45528678536122e-08	NA
174050	3.4101520263253e-08	NA
129840	2.95893896589176e-08	NA
600952	2.94696422748072e-08	NA
203400	2.93599833650148e-08	NA
304800	2.71955166789278e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
264350	2.62525848607548e-08	NA
