DiseaseID	Score	DiseaseName
143890	0.00197906219796881	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
603813	4.04176971101082e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
144250	3.63639746540732e-05	NA
602247	3.50125020665867e-05	NA
144010	3.45207115825114e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	3.44527033863304e-05	NA
144400	3.32067138614812e-05	NA
107741	3.29798195393586e-05	NA
144300	3.29784617066549e-05	NA
207750	3.18604383909414e-05	NA
277460	3.08914853630138e-05	NA
601410	7.90333702110729e-06	TYPE 1 DIABETES MELLITUS 2
222100	6.67027486113817e-06	TYPE 1 DIABETES MELLITUS
601665	6.62025520430433e-06	NA
616192	6.20232849453392e-06	NA
615703	6.03871073582645e-06	NA
614028	5.86454309126862e-06	NA
614190	5.75874109550181e-06	NA
603776	5.73436776255169e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615474	5.72335197969175e-06	NA
145750	5.19121425343436e-06	NA
144650	5.16022983336612e-06	NA
108725	5.11866825295095e-06	NA
219090	4.89879220178521e-06	NA
151660	4.82817835625798e-06	NA
238600	4.59504034747594e-06	NA
613375	4.55632291925032e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
144600	4.18901832287917e-06	NA
610947	4.03143580936077e-06	NA
269700	3.7616897431451e-06	NA
125853	3.5897627963392e-06	TYPE 2 DIABETES MELLITUS
605814	3.35738363490253e-06	NA
167800	3.34503057871003e-06	NA
602014	3.14863675109488e-06	NA
614736	3.14326341358267e-06	NA
602522	3.13387824986915e-06	NA
615158	3.00076905721752e-06	NA
608594	2.46951964428035e-06	NA
205400	2.39035620982253e-06	NA
614025	1.80374996143914e-06	NA
606721	1.71777496538526e-06	NA
232220	1.68947839209585e-06	NA
143470	1.68023798318656e-06	NA
118830	1.59660096762993e-06	NA
232240	1.57239719864043e-06	NA
245900	1.45421457252998e-06	NA
608320	1.4414566654101e-06	NA
125852	1.37270171880418e-06	NA
615947	1.13390461351663e-06	NA
232200	1.03461308887311e-06	NA
615812	1.01070494845756e-06	NA
612526	1.00988952529976e-06	NA
608600	9.72623906111628e-07	NA
306000	9.56571579922446e-07	NA
208300	8.47891840179971e-07	NA
605019	8.42826158719626e-07	NA
607616	7.90080285057122e-07	NA
152200	7.88405527133407e-07	NA
616214	4.40212649848387e-07	NA
203800	3.79730765302077e-07	NA
612520	3.65101294169809e-07	NA
613677	3.41162796559494e-07	NA
616511	3.40454526409645e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
240900	3.32398380314497e-07	NA
602025	3.2352758091937e-07	NA
616329	3.194978029431e-07	NA
615457	3.18816686133526e-07	NA
601666	3.11587017545973e-07	NA
604367	3.00777846957903e-07	NA
190430	2.75394621229123e-07	NA
147630	2.71023456500366e-07	NA
613877	2.68614191430476e-07	NA
223500	2.68162314169642e-07	NA
615830	2.45609976678632e-07	NA
191540	2.43386332489848e-07	NA
615954	2.38355905669541e-07	NA
304900	2.35482018488006e-07	NA
262190	2.17880436224108e-07	NA
276700	2.11679154737955e-07	NA
612780	2.08086353999846e-07	NA
240600	2.05841852386919e-07	NA
615238	2.04854899383531e-07	NA
614496	1.98230914079158e-07	NA
219080	1.93812679434087e-07	NA
610475	1.93812679434087e-07	NA
610489	1.93812679434087e-07	NA
614492	1.90914595696e-07	NA
610374	1.9026629785779e-07	NA
215720	1.84898751982102e-07	NA
614495	1.84881082975111e-07	NA
615962	1.83428685217394e-07	NA
607364	1.81405211815369e-07	NA
614491	1.67280219607979e-07	NA
246200	1.62252172936713e-07	NA
260350	1.61845476929325e-07	NA
608189	1.60674769050139e-07	NA
615558	1.60102317275699e-07	NA
200100	1.60102317275699e-07	NA
125851	1.58229166010782e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125800	1.58011602383024e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
151800	1.57158015529334e-07	NA
608709	1.54405658626546e-07	NA
260370	1.51232575083208e-07	NA
601942	1.39315290917398e-07	NA
167770	1.33135486400514e-07	NA
263800	1.30190653957929e-07	NA
103900	1.29690582728898e-07	NA
109600	1.2516343769211e-07	NA
610508	1.2372118246479e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
125850	1.23346536673315e-07	MATURITY-ONSET DIABETES OF THE YOUNG
167755	1.17595451377443e-07	NA
601198	1.17037688939859e-07	NA
300200	1.13938379348097e-07	NA
610600	1.13803709659261e-07	NA
601820	1.12973888136049e-07	NA
615026	1.10646442894007e-07	NA
154020	1.09742114020353e-07	NA
177200	1.08689788818531e-07	NA
611718	1.08361148044583e-07	NA
615160	1.07657583934631e-07	NA
145260	1.04295669434395e-07	NA
609812	1.04227346884314e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
613090	1.03935415217057e-07	NA
138900	9.98896043355823e-08	NA
109160	9.97236780199438e-08	NA
300539	9.86148877064896e-08	NA
601678	9.82659036056447e-08	NA
616095	9.33052660555833e-08	NA
241200	9.21440221212748e-08	NA
613327	9.14406626140306e-08	NA
605115	9.03728736152162e-08	NA
613347	8.94877102341626e-08	NA
613743	8.65634698438743e-08	NA
103230	8.6236389878598e-08	NA
600496	8.49201170695343e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
606392	8.47868388394016e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
174050	8.43609319998189e-08	NA
126150	8.16951237926177e-08	NA
191530	7.96132791811141e-08	NA
171200	7.69835409577144e-08	NA
126900	7.6859943173334e-08	NA
606824	7.68450049396122e-08	NA
600089	7.66619432796732e-08	NA
612671	7.58106066266287e-08	NA
268040	7.35010674599849e-08	NA
612227	7.22259384619448e-08	NA
610582	7.13805866907102e-08	NA
613370	7.1295668873207e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
232900	6.97154303070099e-08	NA
609734	6.95341304723221e-08	NA
240150	6.9009998054276e-08	NA
612225	6.68164046721372e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
143860	6.52195338409444e-08	NA
229500	6.40113470248036e-08	NA
614662	6.04129837917595e-08	NA
606394	5.86312487412363e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
605911	5.49179838353162e-08	NA
615751	5.30404599380391e-08	NA
269200	5.29850890652043e-08	NA
601223	5.2853951249414e-08	NA
145270	5.17444074322472e-08	NA
194470	5.16377163713878e-08	NA
614033	5.07735605254734e-08	NA
260450	4.81746052844561e-08	NA
229800	4.76990426637661e-08	NA
