DiseaseID	Score	DiseaseName
601410	0.00206931171380262	TYPE 1 DIABETES MELLITUS 2
614736	3.39533641956259e-05	NA
616214	3.25823931761131e-05	NA
125852	3.14229103155111e-05	NA
612520	2.91106618783161e-05	NA
601666	2.86293925932366e-05	NA
601942	2.74031917041202e-05	NA
610374	2.70745055476831e-05	NA
223500	2.66300764724747e-05	NA
615954	2.6609530120041e-05	NA
262190	2.66012069929555e-05	NA
260370	2.62150109858435e-05	NA
300200	2.61332923345292e-05	NA
143890	2.0563193130916e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
222100	1.48676190716358e-05	TYPE 1 DIABETES MELLITUS
601665	1.34475738405602e-05	NA
616192	1.03350013679908e-05	NA
608594	8.25902250567863e-06	NA
219090	8.14424933831747e-06	NA
613375	8.12765285481617e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
167800	8.11738544688174e-06	NA
615158	8.0722628429819e-06	NA
614190	7.85027679009295e-06	NA
269700	7.81751109162811e-06	NA
603813	7.62478468314084e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	7.51321937690038e-06	NA
615703	7.43625603152684e-06	NA
151660	7.38668070439993e-06	NA
605814	7.3265609066402e-06	NA
125853	7.20833270511025e-06	TYPE 2 DIABETES MELLITUS
602522	7.17850320675323e-06	NA
615474	7.11189884106907e-06	NA
603776	7.0175430441972e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
602014	6.51680204875733e-06	NA
616511	4.36525653751049e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
616329	4.09104157931144e-06	NA
144250	3.87576555009078e-06	NA
238600	3.47059478945391e-06	NA
147630	2.47040020160314e-06	NA
601941	2.02442531980488e-06	NA
240600	2.01092728367854e-06	NA
606392	1.92944286503209e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
601820	1.85082461628331e-06	NA
612227	1.81724041758751e-06	NA
615961	1.79248118876847e-06	NA
614662	1.78442822218775e-06	NA
600496	1.76088487945764e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
557000	1.70093712734826e-06	NA
600089	1.68802544058587e-06	NA
246200	1.67288224738923e-06	NA
203800	1.63833911987883e-06	NA
607364	1.5316145677011e-06	NA
610199	1.49476338114668e-06	NA
610600	1.42564843497377e-06	NA
615830	1.42479359644708e-06	NA
605911	1.39871623494134e-06	NA
167755	1.3330773897817e-06	NA
613743	1.32689509808915e-06	NA
219080	1.30862428106455e-06	NA
610475	1.30862428106455e-06	NA
610489	1.30862428106455e-06	NA
103230	1.29344454367407e-06	NA
610508	1.21760880433554e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
203400	1.20566419177211e-06	NA
600955	1.202613521538e-06	NA
240900	1.1563247984454e-06	NA
260350	1.11676045804857e-06	NA
608189	1.1089348625467e-06	NA
610582	1.03277750596859e-06	NA
615160	1.01006001291296e-06	NA
269200	1.00728948249705e-06	NA
256450	1.00229455333002e-06	NA
610021	9.78464396131187e-07	NA
602485	9.77425305381094e-07	NA
608600	9.46209073118596e-07	NA
207780	9.28981319482267e-07	NA
210740	9.26796133826131e-07	NA
249599	9.26796133826131e-07	NA
240300	9.17723779969603e-07	NA
609968	8.7856422693502e-07	NA
613370	8.76720093421721e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
614033	8.72122223303915e-07	NA
166700	8.57286446456457e-07	NA
209010	8.57286446456457e-07	NA
241080	8.57286446456457e-07	NA
560000	8.57286446456457e-07	NA
