DiseaseID	Score	DiseaseName
143890	2.07616236286617e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.45600422069287e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.43584554522501e-05	NA
222100	1.40013908439057e-05	TYPE 1 DIABETES MELLITUS
613375	8.42797682750886e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	7.98441618951605e-06	NA
610947	7.79564508721564e-06	NA
219090	7.5931368885954e-06	NA
269700	7.57494663624238e-06	NA
615703	7.54004843212865e-06	NA
615474	7.49866998185135e-06	NA
603813	7.48385131505079e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
616192	7.45272482939554e-06	NA
608594	7.26932919333521e-06	NA
614736	7.2170185673286e-06	NA
167800	7.10139733088061e-06	NA
605814	7.07305512856853e-06	NA
603776	7.05795497577061e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615158	6.93020104516509e-06	NA
602014	6.82205755325896e-06	NA
125853	6.75843015567653e-06	TYPE 2 DIABETES MELLITUS
602522	6.63659608434965e-06	NA
614190	6.27684515571558e-06	NA
144250	4.21651269039129e-06	NA
238600	3.80435363272412e-06	NA
125852	8.98276711152632e-07	NA
616214	8.25244302652146e-07	NA
240900	7.02068397817518e-07	NA
614028	6.87279041719568e-07	NA
602247	6.56519726715894e-07	NA
144650	6.10762343961765e-07	NA
602025	5.94882605265543e-07	NA
615457	5.85864130517518e-07	NA
190430	5.75167258186079e-07	NA
144300	5.64272334841796e-07	NA
203800	5.64142067881048e-07	NA
107741	5.64139889258548e-07	NA
613677	5.63120701407027e-07	NA
144400	5.47332489488738e-07	NA
612520	5.44427403849649e-07	NA
616511	5.22663473389566e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144010	5.0566746305589e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
304900	4.91453062555188e-07	NA
136120	4.82490387241555e-07	NA
616329	4.80536553198407e-07	NA
207750	4.65943200957396e-07	NA
605019	4.65818119453765e-07	NA
108725	4.48872234016772e-07	NA
262190	4.47132187673917e-07	NA
147630	4.46472766005093e-07	NA
601666	4.41696314541536e-07	NA
612780	4.35196411171294e-07	NA
613877	4.23916181875351e-07	NA
240600	4.19258442572703e-07	NA
145750	4.08334357740208e-07	NA
277460	4.06431840963408e-07	NA
608600	4.02331569449646e-07	NA
615954	3.90552082948514e-07	NA
215720	3.87177407564597e-07	NA
612526	3.84486430218171e-07	NA
223500	3.81925023754598e-07	NA
604367	3.81685238345128e-07	NA
608320	3.69887508745833e-07	NA
246200	3.33643751180481e-07	NA
610374	3.32183680297738e-07	NA
125800	3.29648676935916e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.13673703486109e-07	NA
615238	2.99991235481119e-07	NA
144600	2.95031060702129e-07	NA
306000	2.93595547567386e-07	NA
615830	2.85026213338694e-07	NA
260370	2.80409832752347e-07	NA
263800	2.76761919561188e-07	NA
614496	2.76377338385235e-07	NA
615962	2.67874673255369e-07	NA
614492	2.65327094854875e-07	NA
219080	2.63683414134478e-07	NA
610475	2.63683414134478e-07	NA
610489	2.63683414134478e-07	NA
260350	2.56859435797557e-07	NA
614495	2.56305940935149e-07	NA
601198	2.52283763291892e-07	NA
154020	2.37573385037448e-07	NA
601942	2.35503150456004e-07	NA
611718	2.34447694756415e-07	NA
610600	2.25794054911155e-07	NA
601820	2.22758474299101e-07	NA
608709	2.191953083986e-07	NA
610508	2.17309340563115e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
615160	2.11602913860545e-07	NA
614491	2.10897325949727e-07	NA
613090	2.06302455216732e-07	NA
300200	2.03836031487064e-07	NA
601678	2.02853621133273e-07	NA
125851	1.99672015613001e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.97835515062174e-07	MATURITY-ONSET DIABETES OF THE YOUNG
241200	1.92389502525331e-07	NA
103900	1.82335903822035e-07	NA
152200	1.78638046862061e-07	NA
606824	1.66757986232393e-07	NA
118830	1.66548644890285e-07	NA
615812	1.64432698117722e-07	NA
615947	1.61363659247211e-07	NA
143470	1.50473089772466e-07	NA
177200	1.48419733834731e-07	NA
606392	1.45887242123964e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
191540	1.44218593495151e-07	NA
145260	1.40540742818973e-07	NA
300539	1.40417030272279e-07	NA
613327	1.38857041907804e-07	NA
608189	1.38344324366309e-07	NA
600496	1.36751429000022e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614025	1.35408230038859e-07	NA
606721	1.32858520359505e-07	NA
612227	1.27055348689984e-07	NA
143860	1.25954652056741e-07	NA
600089	1.24936274710641e-07	NA
610582	1.2274573912205e-07	NA
605115	1.21818112075187e-07	NA
613370	1.20051493031063e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
229500	1.19705521242093e-07	NA
167755	1.18177502562803e-07	NA
612671	1.13299057158773e-07	NA
612225	1.10963990048852e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
614662	1.10762023693968e-07	NA
232220	1.09257333664137e-07	NA
613743	1.07124464478243e-07	NA
609812	1.05760638580629e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
616095	1.05234976380633e-07	NA
208300	1.03408914073894e-07	NA
605911	1.02714493051727e-07	NA
126900	1.02353298442051e-07	NA
613347	1.02074665984005e-07	NA
606394	1.01343348961387e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
276700	1.01288994667592e-07	NA
151800	1.00356817669323e-07	NA
167770	9.82851813653014e-08	NA
615751	9.6088444361295e-08	NA
268040	9.5586237578993e-08	NA
103230	9.47712773758724e-08	NA
126150	9.4735066872434e-08	NA
191530	9.4565874946777e-08	NA
609734	9.44921972516739e-08	NA
614033	9.43962723228515e-08	NA
615026	9.31828368092627e-08	NA
171200	9.02076376774841e-08	NA
269200	9.01711676328214e-08	NA
260450	9.01006064896174e-08	NA
609975	8.80913954359232e-08	NA
209300	8.67563434563594e-08	NA
229800	8.50207359934934e-08	NA
232200	8.17025152577945e-08	NA
609197	7.89672558529243e-08	NA
263600	7.8944128919914e-08	NA
174050	7.86040898463453e-08	NA
613886	7.61744455415233e-08	NA
138900	6.45165207606811e-08	NA
601941	5.96074764738756e-08	NA
177735	5.66036469407933e-08	NA
205400	5.60192098732111e-08	NA
557000	5.52417989422546e-08	NA
240150	5.49159952111888e-08	NA
610021	5.12719885004723e-08	NA
203400	4.8407348076113e-08	NA
256450	4.78772414206183e-08	NA
609968	4.40180177918835e-08	NA
304800	4.38059163004678e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
241150	4.24941668089503e-08	NA
305700	4.14551223218001e-08	NA
615961	4.04728802915914e-08	NA
232240	3.97512056663821e-08	NA
264350	3.8635012342059e-08	NA
245900	3.69653282135617e-08	NA
251120	3.56783943827552e-08	NA
218030	3.33424635288903e-08	NA
610199	3.27658518559858e-08	NA
207780	3.17422683055813e-08	NA
129840	3.10401371560602e-08	NA
138040	3.07740993311509e-08	NA
109160	3.05379319175045e-08	NA
602485	2.7831272773486e-08	NA
615517	2.71305517147692e-08	NA
239350	2.64731204542517e-08	NA
240200	2.64545853662979e-08	NA
109600	2.61200417525052e-08	NA
607616	2.60188145785455e-08	NA
214700	2.47104959533699e-08	NA
179820	2.45750740287753e-08	NA
606528	2.38966508216042e-08	NA
615361	2.3193309003958e-08	NA
602475	2.31482554857501e-08	NA
240300	2.28535326884541e-08	NA
601223	2.23372649976117e-08	NA
194470	2.18434778247901e-08	NA
