DiseaseID	Score	DiseaseName
143890	2.02358559465361e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.41499514401524e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.38953541915239e-05	NA
222100	1.383323848263e-05	TYPE 1 DIABETES MELLITUS
613375	7.79405944789738e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.63672946996431e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	7.53956707536152e-06	NA
151660	7.45483659038127e-06	NA
603776	7.27849464925076e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615158	7.27632535461857e-06	NA
269700	7.21221611051076e-06	NA
614736	7.21190817994661e-06	NA
616192	7.19788107660445e-06	NA
615474	7.14777876176367e-06	NA
602522	7.04482854247685e-06	NA
614190	6.83721840677028e-06	NA
219090	6.80311367455982e-06	NA
608594	6.63514405450355e-06	NA
602014	6.36469695467184e-06	NA
615703	6.34047531927418e-06	NA
167800	6.33266274866586e-06	NA
125853	6.33165480352114e-06	TYPE 2 DIABETES MELLITUS
605814	6.22293799450653e-06	NA
144250	4.19214658187106e-06	NA
238600	3.79162051539795e-06	NA
125852	8.72485287631176e-07	NA
616214	8.12497974526569e-07	NA
240900	6.794355483873e-07	NA
602247	6.48439885456045e-07	NA
614028	6.43566292091828e-07	NA
602025	5.71828266078985e-07	NA
144650	5.716335193035e-07	NA
615457	5.63141357885342e-07	NA
613677	5.61367747826194e-07	NA
144300	5.57711837715862e-07	NA
190430	5.53242477271502e-07	NA
107741	5.43120047178753e-07	NA
144400	5.40253227147971e-07	NA
612520	5.26567216837983e-07	NA
203800	5.14374775515328e-07	NA
616511	5.08792695444774e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144010	4.97023730708081e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
304900	4.96303326375332e-07	NA
136120	4.69749028135414e-07	NA
616329	4.63250332894765e-07	NA
207750	4.55512398685983e-07	NA
147630	4.30995584144969e-07	NA
108725	4.30688914137299e-07	NA
605019	4.30284762410657e-07	NA
612780	4.29312898375274e-07	NA
601666	4.27526928489317e-07	NA
262190	4.25169101438923e-07	NA
240600	4.16900487111299e-07	NA
277460	3.98126370370155e-07	NA
145750	3.97423704933031e-07	NA
613877	3.88717086974511e-07	NA
608600	3.76474345252527e-07	NA
223500	3.70123548887575e-07	NA
615954	3.68216124007787e-07	NA
612526	3.59186892790186e-07	NA
604367	3.56389928129742e-07	NA
215720	3.55979909772692e-07	NA
608320	3.55752273886948e-07	NA
125800	3.26042983796464e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610374	3.20042288418746e-07	NA
607364	3.18270321662776e-07	NA
246200	3.11867006564273e-07	NA
144600	2.90497187969127e-07	NA
614496	2.80850319103412e-07	NA
615830	2.73351890371655e-07	NA
615238	2.70698581459475e-07	NA
614492	2.70600940274397e-07	NA
306000	2.66635664438995e-07	NA
260370	2.66128120836067e-07	NA
263800	2.61557474617388e-07	NA
614495	2.61446740733825e-07	NA
219080	2.53149224783138e-07	NA
610475	2.53149224783138e-07	NA
610489	2.53149224783138e-07	NA
615962	2.48270413900229e-07	NA
260350	2.40422930028697e-07	NA
601198	2.37253438384998e-07	NA
610600	2.33847221331807e-07	NA
601942	2.28564608580036e-07	NA
154020	2.21847800842722e-07	NA
611718	2.19465803798114e-07	NA
613090	2.16055479011473e-07	NA
601820	2.15188977425929e-07	NA
615160	2.14469575252191e-07	NA
614491	2.13461851743413e-07	NA
601678	2.11163634435773e-07	NA
608709	2.06773830977455e-07	NA
610508	2.0423564503328e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
241200	2.00590656891979e-07	NA
300200	1.99568959896866e-07	NA
125851	1.87914215962389e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.86437808563302e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.83384564654793e-07	NA
152200	1.7415418162863e-07	NA
606824	1.69590489202874e-07	NA
118830	1.56227617475443e-07	NA
143470	1.49615647478617e-07	NA
615812	1.48669055294541e-07	NA
615947	1.47577450512624e-07	NA
177200	1.43858169661526e-07	NA
191540	1.38837728065603e-07	NA
606392	1.38082394456764e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
145260	1.36267190391491e-07	NA
614025	1.35799998885225e-07	NA
300539	1.35322230485811e-07	NA
600496	1.29057087507274e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
613327	1.27049626732145e-07	NA
608189	1.25505442505984e-07	NA
606721	1.25041486960278e-07	NA
229500	1.21522576114295e-07	NA
143860	1.18774531459585e-07	NA
600089	1.17826719677438e-07	NA
612227	1.17166237624316e-07	NA
605115	1.17033466534649e-07	NA
610582	1.1567343044282e-07	NA
613743	1.1397172372085e-07	NA
613370	1.12840740005706e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
612671	1.09960197644337e-07	NA
167755	1.07875258417562e-07	NA
616095	1.0642608831364e-07	NA
232220	1.06382138238115e-07	NA
614662	1.03937178614937e-07	NA
612225	1.03692651205405e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
103230	1.01420047799227e-07	NA
605911	9.931605636081e-08	NA
615751	9.86622043452285e-08	NA
276700	9.68711497389019e-08	NA
126150	9.68345969530347e-08	NA
191530	9.67743570943908e-08	NA
614033	9.6181823740984e-08	NA
126900	9.61439574734531e-08	NA
171200	9.58754975254959e-08	NA
615026	9.56285778793299e-08	NA
609812	9.55731064029606e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
606394	9.47085281241891e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
208300	9.39613221833545e-08	NA
151800	9.39511457529574e-08	NA
613347	9.18499420603466e-08	NA
609975	8.95721731951753e-08	NA
167770	8.85450276244484e-08	NA
609734	8.8230238150392e-08	NA
229800	8.70929223334786e-08	NA
268040	8.19582954182942e-08	NA
269200	8.18663187251832e-08	NA
609197	8.15477706151866e-08	NA
263600	8.1412996478308e-08	NA
260450	8.06807878150803e-08	NA
232200	8.03003605786277e-08	NA
209300	7.76656632951496e-08	NA
613886	7.32398318605391e-08	NA
174050	7.03663826692482e-08	NA
138900	6.27643137840009e-08	NA
601941	5.75830863230245e-08	NA
177735	5.66358255974213e-08	NA
240150	5.4609825856932e-08	NA
205400	5.40793302270303e-08	NA
557000	5.37066392683506e-08	NA
610021	4.9029526537728e-08	NA
203400	4.80840859108424e-08	NA
256450	4.61900844115653e-08	NA
304800	4.3991055546523e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
609968	4.30617919474441e-08	NA
241150	4.19800310494051e-08	NA
305700	3.99733230798155e-08	NA
615961	3.93263538133627e-08	NA
264350	3.89714595270182e-08	NA
232240	3.88650245160207e-08	NA
245900	3.55013043794833e-08	NA
251120	3.39731809027668e-08	NA
218030	3.33324418353881e-08	NA
610199	3.17604422927181e-08	NA
207780	3.02693219961643e-08	NA
129840	3.02155207356949e-08	NA
109160	3.00720591350037e-08	NA
138040	3.00691532384275e-08	NA
615517	2.74678561337003e-08	NA
602485	2.72111179219149e-08	NA
240200	2.6715313126878e-08	NA
239350	2.62598891204876e-08	NA
109600	2.59316234428702e-08	NA
214700	2.47160004804732e-08	NA
607616	2.46963763753602e-08	NA
606528	2.38221494269079e-08	NA
179820	2.33486870569142e-08	NA
615361	2.26210387686954e-08	NA
602475	2.24390545590303e-08	NA
601223	2.19457381696776e-08	NA
240300	2.18155852911296e-08	NA
194470	2.13209812013755e-08	NA
606762	2.04837764125387e-08	NA
600955	1.93276495664399e-08	NA
210740	1.82741637035501e-08	NA
249599	1.82741637035501e-08	NA
200100	1.76539696570002e-08	NA
615558	1.76539696570002e-08	NA
166700	1.69037058218913e-08	NA
209010	1.69037058218913e-08	NA
241080	1.69037058218913e-08	NA
560000	1.69037058218913e-08	NA
600952	1.68550838203616e-08	NA
168820	1.55743244865418e-08	NA
150170	1.44330542288804e-08	NA
145270	1.42103339836154e-08	NA
177600	1.41082627449393e-08	NA
143880	1.41006884347342e-08	NA
239199	1.30350961375517e-08	NA
124060	1.13594305289633e-08	NA
602722	1.08857327970319e-08	NA
132810	9.85531290677956e-09	NA
232900	9.47101205001746e-09	NA
600166	8.69972221718504e-09	NA
240800	7.04281894926695e-09	NA
212067	6.29907432876134e-09	NA
source	0	NA
target	0	NA
