DiseaseID	Score	DiseaseName
614190	0.00202960017924877	NA
615158	0.00202695934047103	NA
614496	4.45601830806203e-05	NA
614492	4.41284058330503e-05	NA
614495	4.38850582520769e-05	NA
613677	2.88309830409817e-05	NA
615830	2.83143339909461e-05	NA
610475	2.75587515820041e-05	NA
610489	2.75587515820041e-05	NA
219080	2.75587515820041e-05	NA
614491	2.74833620592151e-05	NA
103230	2.58473344850985e-05	NA
614736	2.57093559550417e-05	NA
103900	2.55881917411526e-05	NA
613743	2.50278677104632e-05	NA
616214	2.38507823379197e-05	NA
171200	2.36412395107821e-05	NA
615160	2.31105114067135e-05	NA
143890	2.12772442177328e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
616511	2.03927250680806e-05	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
229500	2.00946875502513e-05	NA
615026	1.97406706837502e-05	NA
615751	1.95253148991163e-05	NA
616095	1.94767660356477e-05	NA
240600	1.90623252495402e-05	NA
606824	1.8794092740856e-05	NA
263600	1.85878411417177e-05	NA
229800	1.83056837819431e-05	NA
609197	1.82760293660863e-05	NA
614033	1.80869130968433e-05	NA
609975	1.73549778987655e-05	NA
601410	1.45977010887149e-05	TYPE 1 DIABETES MELLITUS 2
222100	1.4359946257997e-05	TYPE 1 DIABETES MELLITUS
601665	1.37487363694331e-05	NA
219090	1.28951702538579e-05	NA
615474	1.10922598504703e-05	NA
613375	8.41035762443618e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.86914986880166e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
125853	7.84155528309442e-06	TYPE 2 DIABETES MELLITUS
616192	7.83065661501524e-06	NA
151660	7.57484045739342e-06	NA
269700	7.39521758499981e-06	NA
602522	7.31727806761693e-06	NA
610947	7.19450504549572e-06	NA
608594	7.03775261414839e-06	NA
615703	6.73549744143413e-06	NA
603776	6.73256373253218e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
167800	6.46882954042254e-06	NA
605814	6.42725730751457e-06	NA
602014	6.35877481141152e-06	NA
615954	5.96449458195194e-06	NA
145260	5.2252725013007e-06	NA
616329	4.77330987958227e-06	NA
610374	4.5467785378899e-06	NA
177200	4.25631271874429e-06	NA
610508	4.24058547828822e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
144250	4.16848154688282e-06	NA
177735	4.02548104357491e-06	NA
238600	3.78638263723457e-06	NA
240200	3.52115998472156e-06	NA
613090	3.42095616434857e-06	NA
615517	3.3492390614993e-06	NA
606392	3.32087552994671e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
125852	3.11159631247121e-06	NA
300200	2.84815059262129e-06	NA
125850	2.78215428886015e-06	MATURITY-ONSET DIABETES OF THE YOUNG
264350	2.61040382085713e-06	NA
610600	2.56150929352143e-06	NA
607364	2.52444316888847e-06	NA
138040	2.4735200534522e-06	NA
218030	2.39670264583878e-06	NA
612780	2.38868943899966e-06	NA
125851	2.36194592864423e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
615962	2.16788105543045e-06	NA
605911	2.01325351513576e-06	NA
609968	2.01224118680778e-06	NA
109160	1.96598084412985e-06	NA
240900	1.95200088379038e-06	NA
109600	1.8512238907759e-06	NA
147630	1.78456005085444e-06	NA
606528	1.77151508872074e-06	NA
605115	1.76050569133709e-06	NA
251120	1.58543088279065e-06	NA
606762	1.49435095902579e-06	NA
612227	1.35640127024429e-06	NA
614028	1.35261152964601e-06	NA
612520	1.34574478152466e-06	NA
191540	1.29963392825752e-06	NA
212067	1.24698190701828e-06	NA
613370	1.16855406023785e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
262190	1.168255793417e-06	NA
610021	1.16618648383166e-06	NA
601666	1.13756598425011e-06	NA
304900	1.13246945845914e-06	NA
615812	1.09986786015489e-06	NA
300539	1.01302264191698e-06	NA
602722	9.85160779481582e-07	NA
601678	9.75771384605142e-07	NA
602485	9.50992104458374e-07	NA
306000	9.29060322742539e-07	NA
601820	8.98606622272518e-07	NA
601942	8.82190341336035e-07	NA
600952	8.64363729447681e-07	NA
610582	8.46778584518182e-07	NA
256450	8.08547817341886e-07	NA
611718	7.83021194778522e-07	NA
215720	7.20529623264558e-07	NA
203800	7.20168004213363e-07	NA
601941	7.07541014466211e-07	NA
203400	6.95696684710731e-07	NA
612671	6.9010372847378e-07	NA
602247	6.81449587137916e-07	NA
613877	6.8104285321419e-07	NA
240800	6.76022744263646e-07	NA
150170	6.62771862670423e-07	NA
602025	6.60343094015123e-07	NA
614662	6.51692872377012e-07	NA
615457	6.45732046696908e-07	NA
132810	6.44804894568848e-07	NA
604367	6.39027314922806e-07	NA
612225	6.35967914678643e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
144650	6.32613426302636e-07	NA
107741	6.27270229574431e-07	NA
608600	6.11637465260547e-07	NA
190430	5.96446861251751e-07	NA
601223	5.92165655219487e-07	NA
177600	5.91660465754672e-07	NA
223500	5.91098256239861e-07	NA
144300	5.82434254339522e-07	NA
144400	5.7054099121985e-07	NA
615961	5.45070843710313e-07	NA
108725	5.44700818103697e-07	NA
246200	5.3992663394135e-07	NA
136120	5.39551473395449e-07	NA
241200	5.28615634405988e-07	NA
144010	5.22080658261515e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
600089	5.04891104907799e-07	NA
125800	4.96317840719463e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
214700	4.91802808369345e-07	NA
207750	4.80802293621276e-07	NA
600496	4.71090958417251e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
605019	4.50505964069324e-07	NA
263800	4.36065613802764e-07	NA
277460	4.26525771534809e-07	NA
145750	4.12874503989266e-07	NA
612526	4.12630634112671e-07	NA
608320	3.94819031486226e-07	NA
606394	3.94787923085509e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
609734	3.89708070630986e-07	NA
600955	3.58830329599347e-07	NA
143860	3.57538434663025e-07	NA
601198	3.57418085722911e-07	NA
260370	3.46419629200471e-07	NA
610199	3.42624526887246e-07	NA
602475	3.12341291247687e-07	NA
615238	3.03007035430039e-07	NA
144600	2.9457512837505e-07	NA
191530	2.84211861962155e-07	NA
179820	2.7263322861254e-07	NA
