DiseaseID	Score	DiseaseName
143890	2.28306578991563e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601665	1.35623850051002e-05	NA
222100	1.34857258988761e-05	TYPE 1 DIABETES MELLITUS
601410	1.34654420681203e-05	TYPE 1 DIABETES MELLITUS 2
615703	8.27507000004614e-06	NA
613375	8.11380283662535e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
610947	7.93257042492639e-06	NA
151660	7.71180200235949e-06	NA
603813	7.68212062512185e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
616192	7.62787750997131e-06	NA
614736	7.47603845415365e-06	NA
219090	7.42286334688468e-06	NA
602014	7.26769319159387e-06	NA
608594	7.26147815445121e-06	NA
269700	7.21804203026591e-06	NA
125853	7.19155500021404e-06	TYPE 2 DIABETES MELLITUS
602522	7.17704265203234e-06	NA
603776	7.13567512672524e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615158	6.91212745166008e-06	NA
614190	6.8887825193454e-06	NA
605814	6.84501478018622e-06	NA
167800	6.83854809219478e-06	NA
615474	6.66457111471053e-06	NA
144250	4.06423558036353e-06	NA
238600	3.62031354865686e-06	NA
125852	8.82483566437899e-07	NA
616214	7.99225120173471e-07	NA
614028	6.96994674148739e-07	NA
602247	6.89972697112131e-07	NA
240900	6.74422845281338e-07	NA
144650	6.15830132407318e-07	NA
107741	6.05019474689309e-07	NA
144300	5.98710414747516e-07	NA
144400	5.84548383728195e-07	NA
602025	5.64449695248037e-07	NA
203800	5.59278082567892e-07	NA
615457	5.55860153690358e-07	NA
613677	5.48480559474482e-07	NA
190430	5.45092847094151e-07	NA
144010	5.40969523169289e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
612520	5.35536269773434e-07	NA
616511	5.25646961737497e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
136120	5.15509402973072e-07	NA
207750	4.93958939276066e-07	NA
304900	4.92912417294567e-07	NA
616329	4.83165269464434e-07	NA
605019	4.69616781212213e-07	NA
612780	4.63238820483951e-07	NA
108725	4.62242937545156e-07	NA
277460	4.39771433240005e-07	NA
601666	4.31133784313005e-07	NA
147630	4.31109555528177e-07	NA
262190	4.26742776444417e-07	NA
613877	4.22686080112293e-07	NA
145750	4.12151631232366e-07	NA
240600	4.06196013425596e-07	NA
608600	3.93684509243046e-07	NA
608320	3.82870002180095e-07	NA
215720	3.81401157590289e-07	NA
612526	3.76036695160882e-07	NA
615954	3.7425039353525e-07	NA
604367	3.7263053663625e-07	NA
223500	3.72291240500036e-07	NA
246200	3.24299449252443e-07	NA
610374	3.24212328676848e-07	NA
125800	3.19015499082371e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.16039858522511e-07	NA
615238	3.03876038373792e-07	NA
144600	3.00252390518242e-07	NA
263800	2.92885871891078e-07	NA
615830	2.89276463047366e-07	NA
306000	2.85030286215078e-07	NA
614496	2.71518731533123e-07	NA
601198	2.68644275204611e-07	NA
219080	2.67535050005303e-07	NA
610475	2.67535050005303e-07	NA
610489	2.67535050005303e-07	NA
260370	2.63516253551767e-07	NA
614492	2.61105441223687e-07	NA
615962	2.5375140280372e-07	NA
154020	2.53027122718307e-07	NA
614495	2.52093321882077e-07	NA
611718	2.49597227719111e-07	NA
260350	2.45793619200818e-07	NA
610600	2.37778801565975e-07	NA
601820	2.21578263999915e-07	NA
601942	2.2119596841147e-07	NA
610508	2.20887846606118e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
613090	2.19291851041946e-07	NA
601678	2.16828292424537e-07	NA
615160	2.14302705580316e-07	NA
608709	2.10538706024236e-07	NA
614491	2.07039359582177e-07	NA
241200	2.063678716078e-07	NA
125851	2.02523883979472e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	2.00998631326095e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.94027873504214e-07	NA
300200	1.9111057183405e-07	NA
152200	1.7937516594758e-07	NA
615812	1.7115900908384e-07	NA
606824	1.70106199543232e-07	NA
615947	1.67198749887559e-07	NA
118830	1.62090501702979e-07	NA
143470	1.53185693974952e-07	NA
606392	1.51743772327721e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
191540	1.45527244573498e-07	NA
600496	1.41769110467282e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
613327	1.38494177753756e-07	NA
177200	1.3695604007554e-07	NA
614025	1.36301133309418e-07	NA
608189	1.3333304604615e-07	NA
606721	1.31309742780296e-07	NA
143860	1.30919281439371e-07	NA
300539	1.30070797565328e-07	NA
145260	1.2939523485101e-07	NA
600089	1.29364025679536e-07	NA
610582	1.27966911479031e-07	NA
612227	1.23512333314026e-07	NA
229500	1.18151372322415e-07	NA
613370	1.17440687288895e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
612671	1.15087766543306e-07	NA
613743	1.15011679737789e-07	NA
167755	1.14288710577702e-07	NA
605115	1.11085840180874e-07	NA
612225	1.08528921835036e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
232220	1.0806450146295e-07	NA
126900	1.07570088514752e-07	NA
614662	1.07227247656815e-07	NA
616095	1.04559767777141e-07	NA
605911	1.03441232299038e-07	NA
268040	1.02932195399827e-07	NA
609812	1.0217617074529e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
103230	1.02157005597039e-07	NA
208300	1.00707525997594e-07	NA
606394	9.86631063246693e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
613347	9.83353590203002e-08	NA
151800	9.71799053344582e-08	NA
276700	9.71397987339378e-08	NA
171200	9.71376731028491e-08	NA
126150	9.57214401612548e-08	NA
191530	9.55530348320834e-08	NA
615751	9.54395708115855e-08	NA
167770	9.47857622877338e-08	NA
614033	9.42580689246668e-08	NA
615026	9.30771637014971e-08	NA
609734	9.13342625696299e-08	NA
609975	8.87754269830181e-08	NA
269200	8.7173407231109e-08	NA
260450	8.67465584537402e-08	NA
229800	8.48117290028073e-08	NA
209300	8.35184769476773e-08	NA
232200	8.00463125994422e-08	NA
263600	7.88613747161739e-08	NA
609197	7.8558734530569e-08	NA
174050	7.57478910884243e-08	NA
613886	7.22436014873584e-08	NA
138900	6.19054584560325e-08	NA
601941	5.89364226959907e-08	NA
205400	5.86451855080893e-08	NA
177735	5.65759870552922e-08	NA
557000	5.33941962929313e-08	NA
240150	5.22818817340732e-08	NA
610021	5.02787784170681e-08	NA
203400	4.79350349323065e-08	NA
256450	4.62316930323107e-08	NA
304800	4.44056114141581e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
241150	4.37942648791853e-08	NA
609968	4.31602780078256e-08	NA
232240	4.07954578307516e-08	NA
615961	3.96963813120515e-08	NA
305700	3.95599159982145e-08	NA
264350	3.89782739781586e-08	NA
245900	3.85177404465496e-08	NA
251120	3.54367436837338e-08	NA
218030	3.24812138065464e-08	NA
610199	3.220818888734e-08	NA
109160	3.12653202001524e-08	NA
207780	3.10108419109117e-08	NA
129840	3.05942074736863e-08	NA
138040	2.95354750951936e-08	NA
602485	2.73090008413468e-08	NA
239350	2.70672004592507e-08	NA
615517	2.69261734423501e-08	NA
109600	2.6878777781282e-08	NA
607616	2.68269079371254e-08	NA
240200	2.58480210536892e-08	NA
214700	2.50739488306362e-08	NA
615361	2.46453573852756e-08	NA
179820	2.43751180424961e-08	NA
606528	2.3806202756529e-08	NA
602475	2.29940979212898e-08	NA
601223	2.24367308115184e-08	NA
240300	2.23427110112203e-08	NA
194470	2.20511983035317e-08	NA
606762	2.04848866895812e-08	NA
600955	1.92168668596911e-08	NA
200100	1.90678857100746e-08	NA
615558	1.90678857100746e-08	NA
210740	1.84997856617541e-08	NA
249599	1.84997856617541e-08	NA
166700	1.71124062226453e-08	NA
209010	1.71124062226453e-08	NA
241080	1.71124062226453e-08	NA
560000	1.71124062226453e-08	NA
600952	1.70808604615584e-08	NA
168820	1.59667535241455e-08	NA
150170	1.48985802587822e-08	NA
145270	1.47232610895107e-08	NA
177600	1.44867386382253e-08	NA
143880	1.40095531855438e-08	NA
239199	1.33003113246518e-08	NA
124060	1.15884509027798e-08	NA
602722	1.10063309071506e-08	NA
132810	1.03000150409635e-08	NA
232900	9.79926373114245e-09	NA
600166	9.15742895846023e-09	NA
240800	7.04568495031353e-09	NA
212067	6.09317525335719e-09	NA
source	0	NA
target	0	NA
