DiseaseID	Score	DiseaseName
143890	2.17579996813734e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.48553419349283e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.44631729124554e-05	NA
222100	1.36339141066839e-05	TYPE 1 DIABETES MELLITUS
603813	7.7240627203039e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
167800	7.54505391920777e-06	NA
615158	7.47589740500805e-06	NA
151660	7.4323018145906e-06	NA
219090	7.220305851748e-06	NA
269700	7.19349675964122e-06	NA
614190	7.09928604290963e-06	NA
615703	7.08583506318741e-06	NA
615474	7.05611424170243e-06	NA
602522	7.05031394999889e-06	NA
613375	7.04731739320454e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603776	6.98639209083505e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	6.95791768413124e-06	NA
125853	6.91565136362316e-06	TYPE 2 DIABETES MELLITUS
608594	6.91197452369916e-06	NA
605814	6.85651989517147e-06	NA
616192	6.85268122377533e-06	NA
610947	6.71304657685183e-06	NA
602014	6.54621162596632e-06	NA
144250	4.02765084402653e-06	NA
238600	3.6057171264973e-06	NA
125852	8.79045037342581e-07	NA
616214	8.16760186868474e-07	NA
240900	6.88391675513276e-07	NA
602247	6.67263033766106e-07	NA
614028	6.62805928247514e-07	NA
144650	5.97420992174271e-07	NA
602025	5.84736488953122e-07	NA
144300	5.77821274775736e-07	NA
615457	5.75878513153274e-07	NA
107741	5.73591351706072e-07	NA
190430	5.65492628924087e-07	NA
144400	5.62176597853106e-07	NA
613677	5.59852150620801e-07	NA
203800	5.34044504187658e-07	NA
144010	5.20941815308241e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
612520	5.17738034705006e-07	NA
136120	4.95020740321445e-07	NA
616511	4.94216082925836e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
304900	4.92315932365699e-07	NA
207750	4.75751487507069e-07	NA
605019	4.54433413522469e-07	NA
616329	4.46951210621104e-07	NA
147630	4.4368725089908e-07	NA
262190	4.37947079192528e-07	NA
612780	4.3576782987057e-07	NA
601666	4.28881521231095e-07	NA
108725	4.25728159488343e-07	NA
277460	4.22673635000504e-07	NA
240600	4.15208908728955e-07	NA
613877	4.00174519601812e-07	NA
145750	3.8769467660021e-07	NA
615954	3.87003787204825e-07	NA
608600	3.82086213224764e-07	NA
223500	3.70396370186415e-07	NA
215720	3.65596677236549e-07	NA
612526	3.64128125815114e-07	NA
604367	3.6075462561551e-07	NA
608320	3.50960130260707e-07	NA
610374	3.36971519185408e-07	NA
125800	3.2195068196024e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.18004262532767e-07	NA
246200	3.16197411133424e-07	NA
260370	2.88504894723307e-07	NA
615830	2.86907167596543e-07	NA
614496	2.8482028083582e-07	NA
306000	2.84266865789698e-07	NA
615238	2.82626920447852e-07	NA
144600	2.80517015597346e-07	NA
614492	2.74374441664877e-07	NA
263800	2.67730135814744e-07	NA
219080	2.66398461953026e-07	NA
610475	2.66398461953026e-07	NA
610489	2.66398461953026e-07	NA
614495	2.65129194674637e-07	NA
260350	2.61559832450444e-07	NA
615962	2.54719321036354e-07	NA
601198	2.43538287208302e-07	NA
601942	2.37854817556294e-07	NA
610600	2.3498123636898e-07	NA
154020	2.28116195951741e-07	NA
611718	2.2558770209767e-07	NA
613090	2.16509253736597e-07	NA
614491	2.15613999096485e-07	NA
615160	2.1247183581214e-07	NA
601678	2.11870668218036e-07	NA
300200	2.08798610840743e-07	NA
601820	2.07165944827637e-07	NA
610508	2.06915817288578e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608709	2.06594683632116e-07	NA
241200	2.01293899315224e-07	NA
103900	1.93834898130496e-07	NA
125851	1.8910433875431e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.87649113139137e-07	MATURITY-ONSET DIABETES OF THE YOUNG
118830	1.6974436755681e-07	NA
606824	1.67967506016058e-07	NA
152200	1.61278092354298e-07	NA
615812	1.58477772767718e-07	NA
615947	1.53534910463153e-07	NA
143470	1.48864281381647e-07	NA
606392	1.4678889564343e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
608189	1.44812848627689e-07	NA
177200	1.43244289871451e-07	NA
600496	1.37423741649505e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
145260	1.35778882283406e-07	NA
614025	1.34757474313037e-07	NA
300539	1.34405632975822e-07	NA
613327	1.3181064307772e-07	NA
612227	1.31116583637419e-07	NA
191540	1.28773130632363e-07	NA
600089	1.26884734911988e-07	NA
143860	1.26595529154078e-07	NA
606721	1.26510085839014e-07	NA
229500	1.23813821481621e-07	NA
610582	1.23204808736394e-07	NA
167755	1.22993067489827e-07	NA
613743	1.17736179842314e-07	NA
605115	1.16058683447362e-07	NA
609812	1.10429653325444e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
616095	1.08996356599564e-07	NA
208300	1.08672340375077e-07	NA
613347	1.07679495850764e-07	NA
613370	1.06785892891718e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
103230	1.05413390308615e-07	NA
232220	1.05303359103283e-07	NA
126900	1.03775272746398e-07	NA
167770	1.03575445294109e-07	NA
605911	1.02927402841882e-07	NA
615751	1.00047937563402e-07	NA
276700	9.95694965655616e-08	NA
171200	9.94608999742338e-08	NA
612671	9.91776886580116e-08	NA
614662	9.82642268685279e-08	NA
614033	9.79074964916518e-08	NA
612225	9.76558072468237e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
615026	9.76052644533836e-08	NA
260450	9.53807092964493e-08	NA
151800	9.40770100744923e-08	NA
269200	9.40218691873608e-08	NA
126150	9.31983142184259e-08	NA
191530	9.2914104063841e-08	NA
209300	9.18765153931874e-08	NA
609975	9.18390916267832e-08	NA
268040	9.0106221402411e-08	NA
229800	8.93520893473768e-08	NA
606394	8.89133339657893e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
263600	8.35603922689875e-08	NA
609197	8.35349610449909e-08	NA
174050	8.32578137185783e-08	NA
609734	8.2030386986089e-08	NA
232200	7.83786014019766e-08	NA
613886	7.48822769244196e-08	NA
138900	6.35944936230069e-08	NA
601941	5.82032434302193e-08	NA
177735	5.74371379929764e-08	NA
205400	5.61179972163548e-08	NA
557000	5.42037339861195e-08	NA
240150	5.21557304520775e-08	NA
610021	5.04611847328224e-08	NA
203400	4.86855522942777e-08	NA
256450	4.69751510464036e-08	NA
304800	4.40781814555263e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
609968	4.31296630200959e-08	NA
241150	4.22649264725441e-08	NA
305700	4.07016399647966e-08	NA
264350	3.94944504885226e-08	NA
232240	3.946948819615e-08	NA
615961	3.92118030506963e-08	NA
245900	3.70128863875112e-08	NA
251120	3.45559775903412e-08	NA
218030	3.3461422311909e-08	NA
610199	3.15998394057691e-08	NA
138040	3.04504184019052e-08	NA
207780	3.04334575225176e-08	NA
129840	3.02097676714417e-08	NA
109160	2.9726844926418e-08	NA
615517	2.76066784416231e-08	NA
602485	2.7495292237725e-08	NA
240200	2.70165849009273e-08	NA
239350	2.63194972019245e-08	NA
109600	2.59970585030556e-08	NA
607616	2.57694905245577e-08	NA
214700	2.50379840431124e-08	NA
179820	2.36848399783832e-08	NA
606528	2.36788919438754e-08	NA
615361	2.3013983621394e-08	NA
240300	2.25234650591307e-08	NA
602475	2.2077596496955e-08	NA
601223	2.12459894305031e-08	NA
194470	2.07669171599251e-08	NA
606762	2.05212373562379e-08	NA
600955	1.93379976287471e-08	NA
615558	1.83198245730288e-08	NA
200100	1.83198245730288e-08	NA
210740	1.82509706176126e-08	NA
249599	1.82509706176126e-08	NA
166700	1.68822523774327e-08	NA
209010	1.68822523774327e-08	NA
241080	1.68822523774327e-08	NA
560000	1.68822523774327e-08	NA
600952	1.6835726459163e-08	NA
168820	1.52059783196453e-08	NA
143880	1.39922398891187e-08	NA
150170	1.39280338834067e-08	NA
145270	1.39267450979894e-08	NA
177600	1.36819784147284e-08	NA
239199	1.30615784677871e-08	NA
124060	1.11500965674446e-08	NA
602722	1.08461390871662e-08	NA
132810	1.00181674025423e-08	NA
600166	9.07841882871985e-09	NA
232900	9.03244320103636e-09	NA
240800	7.16642682093216e-09	NA
212067	6.43711434793535e-09	NA
source	0	NA
target	0	NA
