DiseaseID	Score	DiseaseName
143890	2.09568125474668e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.39173939478167e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.38533049942444e-05	NA
222100	1.34553720761552e-05	TYPE 1 DIABETES MELLITUS
151660	7.62040286295567e-06	NA
613375	7.55182787628846e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
269700	7.47267276902058e-06	NA
603813	7.40716701061597e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
608594	7.32431689078133e-06	NA
605814	7.29411874639261e-06	NA
219090	7.29069661467892e-06	NA
603776	7.22807006349506e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615474	7.22583572304265e-06	NA
614736	7.18813775052189e-06	NA
616192	7.17009823282913e-06	NA
610947	7.12800440119021e-06	NA
615703	7.0976716265775e-06	NA
615158	7.03572328873918e-06	NA
614190	6.920806579498e-06	NA
602014	6.9173728508481e-06	NA
602522	6.89161400858685e-06	NA
125853	6.81190584411384e-06	TYPE 2 DIABETES MELLITUS
167800	6.60750834045758e-06	NA
144250	3.87881648168937e-06	NA
238600	3.46770776700519e-06	NA
125852	8.67646252284802e-07	NA
616214	8.00316772854076e-07	NA
614028	6.81238427348339e-07	NA
240900	6.74929018109703e-07	NA
602247	6.50623370612063e-07	NA
144650	6.08938542024686e-07	NA
602025	5.68361780542596e-07	NA
144300	5.6389693132869e-07	NA
615457	5.59729056176753e-07	NA
107741	5.56377826362302e-07	NA
613677	5.55819029934127e-07	NA
144400	5.50033123288558e-07	NA
190430	5.49517011042292e-07	NA
203800	5.48042298702525e-07	NA
612520	5.17890750873966e-07	NA
616511	5.05204535981286e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144010	5.02832501261585e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
304900	4.85257915617343e-07	NA
136120	4.7982382818641e-07	NA
605019	4.68684280614838e-07	NA
616329	4.62015806389404e-07	NA
207750	4.58333400252487e-07	NA
612780	4.44514594037619e-07	NA
262190	4.36742186803199e-07	NA
108725	4.31936585863456e-07	NA
147630	4.2676859941775e-07	NA
601666	4.23830100690203e-07	NA
613877	4.1394235575243e-07	NA
277460	4.08334382850882e-07	NA
240600	4.06785520665217e-07	NA
608600	3.95628007526781e-07	NA
145750	3.89301772144577e-07	NA
215720	3.86121095945602e-07	NA
612526	3.78158027519985e-07	NA
615954	3.76519032852434e-07	NA
604367	3.74797236069712e-07	NA
223500	3.66387638162091e-07	NA
608320	3.57024228217088e-07	NA
246200	3.28123161753556e-07	NA
610374	3.23308273033566e-07	NA
125800	3.17781763401643e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.16141000051422e-07	NA
306000	2.95498241278471e-07	NA
615238	2.91959876394522e-07	NA
615830	2.85836230199275e-07	NA
614496	2.81082737743007e-07	NA
144600	2.80239533231812e-07	NA
263800	2.80211819032581e-07	NA
