DiseaseID	Score	DiseaseName
614190	0.00244821789056717	NA
615830	3.37960981583951e-05	NA
219080	3.31670681321751e-05	NA
610475	3.31670681321751e-05	NA
610489	3.31670681321751e-05	NA
613677	3.31254430562262e-05	NA
614496	3.1632962847734e-05	NA
614492	3.16317808588201e-05	NA
614491	3.14947626289626e-05	NA
103230	3.1138802049561e-05	NA
614495	3.11096836700164e-05	NA
103900	3.07364296575429e-05	NA
613743	3.0163566425634e-05	NA
171200	2.83695241269552e-05	NA
143890	2.11918667512158e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.47624684296118e-05	TYPE 1 DIABETES MELLITUS 2
222100	1.4377580622715e-05	TYPE 1 DIABETES MELLITUS
601665	1.41320958540679e-05	NA
219090	1.36203327289339e-05	NA
615474	1.03100983905617e-05	NA
615158	9.59380531927561e-06	NA
125853	7.94955703963102e-06	TYPE 2 DIABETES MELLITUS
613375	7.60914188364689e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	7.5478434969301e-06	NA
603813	7.4661047341442e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	7.32194201900571e-06	NA
614736	7.29181215355403e-06	NA
602522	7.22961547114329e-06	NA
615703	7.12970675571387e-06	NA
269700	7.0029913656111e-06	NA
603776	6.97874270265947e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
602014	6.95500735335187e-06	NA
608594	6.94114146322034e-06	NA
616192	6.90931984696525e-06	NA
167800	6.80549482760963e-06	NA
605814	6.67180135023795e-06	NA
615954	6.59323478132791e-06	NA
145260	4.71621941016543e-06	NA
177200	4.08746957802941e-06	NA
144250	3.95598528326222e-06	NA
177735	3.67141777454856e-06	NA
613090	3.60215900222739e-06	NA
238600	3.54053523213808e-06	NA
300200	3.37175651963277e-06	NA
607364	2.86093000598506e-06	NA
240200	2.7915309395e-06	NA
612780	2.70644089983016e-06	NA
615517	2.59669123091177e-06	NA
610600	2.4888215617105e-06	NA
264350	2.18053314097223e-06	NA
138040	2.03329682689104e-06	NA
616329	2.03089011971562e-06	NA
218030	1.98559019604483e-06	NA
616511	1.96779397376774e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
605115	1.96711164972294e-06	NA
147630	1.89288018563681e-06	NA
610374	1.8816414832298e-06	NA
125850	1.78345562037032e-06	MATURITY-ONSET DIABETES OF THE YOUNG
610508	1.76854597477852e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
109160	1.70711658209334e-06	NA
606392	1.68271498254901e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
109600	1.66615953960883e-06	NA
615160	1.64610072103296e-06	NA
615962	1.57823423539005e-06	NA
615812	1.28426960106612e-06	NA
304900	1.21368009400574e-06	NA
616214	1.20992180478381e-06	NA
300539	1.07404014277537e-06	NA
601678	1.03783909720918e-06	NA
125852	1.00294517275125e-06	NA
240900	6.96755984598467e-07	NA
614028	6.68275747477637e-07	NA
203800	6.5988479310743e-07	NA
602247	6.55915601674055e-07	NA
203400	6.51619449411706e-07	NA
612520	6.44819806368306e-07	NA
602025	6.30503620410232e-07	NA
615457	6.21130880374376e-07	NA
107741	6.13024188661911e-07	NA
144650	5.90918070217885e-07	NA
144300	5.67380010277401e-07	NA
190430	5.64486436395828e-07	NA
144400	5.55533601941845e-07	NA
241200	5.30772631994584e-07	NA
601666	5.21663726810971e-07	NA
108725	5.20793275953271e-07	NA
144010	5.11216749028283e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	4.87963298358161e-07	NA
125800	4.85742349410411e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
240600	4.85361897658953e-07	NA
263800	4.70931435295589e-07	NA
207750	4.68328583261635e-07	NA
605019	4.51467321630304e-07	NA
214700	4.46965414988737e-07	NA
262190	4.45710709876647e-07	NA
613877	4.32520913506502e-07	NA
277460	4.12024416268631e-07	NA
608320	4.06948585956469e-07	NA
125851	4.03360550043861e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
145750	3.97294987538065e-07	NA
608600	3.89230237512998e-07	NA
604367	3.8628543565384e-07	NA
601198	3.80320423281466e-07	NA
215720	3.75938373605566e-07	NA
223500	3.74733473060834e-07	NA
612526	3.65511429521036e-07	NA
601942	3.2599567697638e-07	NA
246200	3.21984598027428e-07	NA
143860	3.18754474742114e-07	NA
260370	3.04155470969384e-07	NA
614033	2.99884259729552e-07	NA
611718	2.89412799944217e-07	NA
144600	2.87450516987252e-07	NA
615238	2.86360558310822e-07	NA
306000	2.79660378851411e-07	NA
260350	2.74319570004128e-07	NA
