DiseaseID	Score	DiseaseName
143890	2.21485559072876e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.48084294830741e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.37803103194828e-05	NA
222100	1.30972876154224e-05	TYPE 1 DIABETES MELLITUS
219090	7.98582941852233e-06	NA
615158	7.9003040430762e-06	NA
613375	7.80298921391522e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	7.78407204699683e-06	NA
610947	7.75125348145839e-06	NA
603813	7.68791043345384e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
614736	7.54341995165791e-06	NA
269700	7.41514539614563e-06	NA
608594	7.1605740279079e-06	NA
616192	7.13230333106414e-06	NA
615703	7.08006058860901e-06	NA
614190	6.9826776924374e-06	NA
603776	6.97754105711015e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615474	6.93032538621532e-06	NA
125853	6.76719885425813e-06	TYPE 2 DIABETES MELLITUS
602522	6.75358099098191e-06	NA
605814	6.727665368791e-06	NA
602014	6.57783438479716e-06	NA
167800	6.51202078731672e-06	NA
144250	3.92600959629603e-06	NA
238600	3.49175903589562e-06	NA
125852	8.72779012577926e-07	NA
616214	8.21703871268269e-07	NA
240900	6.8012668968205e-07	NA
614028	6.73030446675549e-07	NA
602247	6.71957278493708e-07	NA
144650	5.92907743753242e-07	NA
144300	5.83073294556984e-07	NA
107741	5.79037528403054e-07	NA
144400	5.69392308254088e-07	NA
602025	5.68490658335069e-07	NA
203800	5.59995145872374e-07	NA
615457	5.59836187355987e-07	NA
190430	5.49572581052941e-07	NA
613677	5.44074283202873e-07	NA
612520	5.37448490503875e-07	NA
144010	5.26463034953711e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	5.22136458892107e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
136120	4.99595862679175e-07	NA
207750	4.7829285562834e-07	NA
304900	4.73194866049183e-07	NA
616329	4.7215559693974e-07	NA
605019	4.5079659362731e-07	NA
262190	4.45409772237615e-07	NA
108725	4.40052468196801e-07	NA
601666	4.35224523261509e-07	NA
612780	4.28635744989651e-07	NA
277460	4.28631100011445e-07	NA
147630	4.19009948672741e-07	NA
613877	4.12359055201984e-07	NA
240600	4.07748294055035e-07	NA
145750	4.04922533158082e-07	NA
615954	4.04277433840872e-07	NA
608600	3.94773051464068e-07	NA
612526	3.77014484599491e-07	NA
223500	3.76790078542293e-07	NA
215720	3.76030161520097e-07	NA
604367	3.74162951329588e-07	NA
608320	3.64682954491806e-07	NA
610374	3.35894711542807e-07	NA
246200	3.27509182756753e-07	NA
125800	3.09505658497102e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.0819878552086e-07	NA
615830	3.03395096799481e-07	NA
144600	2.9361951045862e-07	NA
615238	2.90944838556865e-07	NA
614496	2.85639253867447e-07	NA
219080	2.8210232809375e-07	NA
610475	2.8210232809375e-07	NA
610489	2.8210232809375e-07	NA
306000	2.79140562024901e-07	NA
260370	2.7643203763479e-07	NA
614492	2.74356407348657e-07	NA
615962	2.67896072123741e-07	NA
263800	2.67418710922328e-07	NA
614495	2.6562526992113e-07	NA
601198	2.43958041857577e-07	NA
260350	2.41613314835768e-07	NA
601942	2.37563314682671e-07	NA
154020	2.29144781724399e-07	NA
610600	2.2694694330719e-07	NA
611718	2.26570360162663e-07	NA
615160	2.25531446083986e-07	NA
601820	2.202840518716e-07	NA
608709	2.14297655869912e-07	NA
610508	2.12505048065189e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
614491	2.12020389644012e-07	NA
613090	2.08418867425096e-07	NA
300200	2.07710920693462e-07	NA
601678	2.04253562118767e-07	NA
125851	1.94509093226623e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
241200	1.93986177345893e-07	NA
125850	1.92759542360168e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.90123504068655e-07	NA
606824	1.79971599940218e-07	NA
152200	1.74349797089024e-07	NA
615812	1.58155693756382e-07	NA
118830	1.55471478061413e-07	NA
615947	1.52017715508191e-07	NA
143470	1.48844032503797e-07	NA
606392	1.46122932446029e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
191540	1.43469571859927e-07	NA
177200	1.40748519954219e-07	NA
613327	1.36395981024685e-07	NA
600496	1.35736019333627e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614025	1.34087892102576e-07	NA
145260	1.33636821165285e-07	NA
300539	1.31916360342714e-07	NA
606721	1.31276061030831e-07	NA
608189	1.28425914399884e-07	NA
229500	1.2753730126061e-07	NA
143860	1.24746790322598e-07	NA
600089	1.24051626845153e-07	NA
610582	1.22253234938377e-07	NA
612227	1.20340513142874e-07	NA
613743	1.15694751743838e-07	NA
605115	1.14224575764225e-07	NA
613370	1.14117486351653e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
616095	1.13475511674997e-07	NA
612671	1.12862792870992e-07	NA
167755	1.10358791524995e-07	NA
614662	1.05410755995533e-07	NA
612225	1.04883139069425e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
232220	1.04707096107258e-07	NA
615751	1.04589355783268e-07	NA
103230	1.03818522452318e-07	NA
614033	1.02506830234014e-07	NA
615026	1.0247324527944e-07	NA
126900	1.02090130023248e-07	NA
605911	1.01274183527069e-07	NA
171200	9.79128526745603e-08	NA
151800	9.77648709178338e-08	NA
609812	9.77111735543447e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
208300	9.63985777888683e-08	NA
276700	9.6117775560562e-08	NA
609975	9.54945555368325e-08	NA
606394	9.53311687598826e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
613347	9.39723012542206e-08	NA
126150	9.34832487584317e-08	NA
191530	9.34036635361797e-08	NA
229800	9.32663350330911e-08	NA
268040	9.08165732928096e-08	NA
167770	9.05139276916256e-08	NA
609734	8.89699076965327e-08	NA
263600	8.7672248757403e-08	NA
609197	8.75359361321354e-08	NA
269200	8.38803714359519e-08	NA
260450	8.2807880143083e-08	NA
209300	7.97222629709161e-08	NA
232200	7.70247241383659e-08	NA
613886	7.27895249711114e-08	NA
174050	7.2192036764772e-08	NA
138900	6.18020197883693e-08	NA
601941	5.86594011785921e-08	NA
205400	5.67489755989699e-08	NA
177735	5.63598088116397e-08	NA
557000	5.31184994640373e-08	NA
240150	5.04982036386943e-08	NA
610021	4.99943917712383e-08	NA
203400	4.75215461323049e-08	NA
256450	4.67513364911862e-08	NA
609968	4.37506712236759e-08	NA
304800	4.25889263143943e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
241150	4.1326232044482e-08	NA
615961	4.00345092971301e-08	NA
305700	3.9867011195451e-08	NA
232240	3.97385928852146e-08	NA
264350	3.88165460697498e-08	NA
245900	3.73012018112549e-08	NA
251120	3.58786027512509e-08	NA
218030	3.29124054696055e-08	NA
610199	3.23743934098797e-08	NA
207780	3.11363618492033e-08	NA
109160	3.08942904958114e-08	NA
138040	3.08344640137767e-08	NA
129840	2.99270420367571e-08	NA
602485	2.76752237888063e-08	NA
615517	2.76398135449557e-08	NA
240200	2.68664318470212e-08	NA
109600	2.64200715434364e-08	NA
607616	2.59134920692628e-08	NA
239350	2.56116386805091e-08	NA
606528	2.47359012477139e-08	NA
214700	2.44099976189259e-08	NA
179820	2.38254771907068e-08	NA
602475	2.2787502952082e-08	NA
615361	2.27495763008554e-08	NA
240300	2.21330882713105e-08	NA
601223	2.20851587869509e-08	NA
194470	2.14474718235498e-08	NA
606762	2.11094637550039e-08	NA
600955	1.98444775696785e-08	NA
210740	1.84867689191427e-08	NA
249599	1.84867689191427e-08	NA
200100	1.83845111369062e-08	NA
615558	1.83845111369062e-08	NA
600952	1.72101829083761e-08	NA
166700	1.71003658580903e-08	NA
209010	1.71003658580903e-08	NA
241080	1.71003658580903e-08	NA
560000	1.71003658580903e-08	NA
168820	1.55822490977933e-08	NA
150170	1.49524518452634e-08	NA
177600	1.43552277926255e-08	NA
145270	1.43514716327448e-08	NA
143880	1.34696754551998e-08	NA
239199	1.27770853031663e-08	NA
602722	1.14730657656357e-08	NA
124060	1.13193318238972e-08	NA
132810	1.02431688395864e-08	NA
232900	9.66339689724637e-09	NA
600166	9.12472474519817e-09	NA
240800	7.29806659815839e-09	NA
212067	6.69451113776734e-09	NA
source	0	NA
target	0	NA
