DiseaseID	Score	DiseaseName
143890	2.07574658523552e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601665	1.42026412517214e-05	NA
601410	1.37998433715047e-05	TYPE 1 DIABETES MELLITUS 2
222100	1.36763553091114e-05	TYPE 1 DIABETES MELLITUS
608594	7.69765365013936e-06	NA
613375	7.64324752073553e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.53376721296968e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
269700	7.45130908298106e-06	NA
615703	7.29589847134887e-06	NA
614736	7.25279915354109e-06	NA
615474	7.25034972962026e-06	NA
610947	7.16839930034974e-06	NA
151660	7.10265446446807e-06	NA
219090	6.95835029971493e-06	NA
615158	6.9093461389404e-06	NA
614190	6.88426267176602e-06	NA
616192	6.85800664062526e-06	NA
602014	6.7421449839628e-06	NA
605814	6.73260876494942e-06	NA
603776	6.72957073552472e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
167800	6.66219738530576e-06	NA
125853	6.64841727474719e-06	TYPE 2 DIABETES MELLITUS
602522	6.53931108676127e-06	NA
144250	3.84214791085991e-06	NA
238600	3.43833836176383e-06	NA
125852	8.59358311488692e-07	NA
616214	8.01669423170628e-07	NA
240900	6.89033594640184e-07	NA
614028	6.58315792010207e-07	NA
602247	6.41223158509663e-07	NA
144650	5.85670808984302e-07	NA
602025	5.81608069476963e-07	NA
615457	5.72780520603913e-07	NA
190430	5.62369558742853e-07	NA
613677	5.58877291717782e-07	NA
107741	5.55435563296084e-07	NA
144300	5.54549160995136e-07	NA
203800	5.4358601927534e-07	NA
144400	5.40663334427323e-07	NA
612520	5.0834004641569e-07	NA
144010	4.99548964281805e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
616511	4.96563369395717e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
304900	4.81673314634669e-07	NA
136120	4.73825361458692e-07	NA
616329	4.54432534736385e-07	NA
207750	4.54143846024852e-07	NA
605019	4.48115892274237e-07	NA
262190	4.40052273263238e-07	NA
147630	4.31541704806951e-07	NA
612780	4.29836811174419e-07	NA
108725	4.25828933782105e-07	NA
613877	4.15661782354601e-07	NA
601666	4.139172574268e-07	NA
240600	4.10851660207236e-07	NA
277460	4.05256481839157e-07	NA
608600	3.94171434484563e-07	NA
145750	3.83682970459805e-07	NA
612526	3.77079810848259e-07	NA
604367	3.73862785819912e-07	NA
215720	3.70758064456067e-07	NA
615954	3.67176274427537e-07	NA
223500	3.57061213155583e-07	NA
608320	3.53798764037846e-07	NA
246200	3.27707783979947e-07	NA
125800	3.22098325425699e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610374	3.19068468144189e-07	NA
607364	3.07468133338055e-07	NA
615238	2.94136860658853e-07	NA
144600	2.80339782897053e-07	NA
614496	2.79468435100362e-07	NA
615830	2.77608969175554e-07	NA
306000	2.77458697545642e-07	NA
263800	2.73239597450699e-07	NA
614492	2.68996067769986e-07	NA
260370	2.65466305672139e-07	NA
614495	2.60095401717509e-07	NA
219080	2.57105612268887e-07	NA
610475	2.57105612268887e-07	NA
610489	2.57105612268887e-07	NA
615962	2.52098733608951e-07	NA
601198	2.4927763490915e-07	NA
260350	2.47577355842814e-07	NA
154020	2.3478190439821e-07	NA
611718	2.31703174162665e-07	NA
601942	2.23580222452136e-07	NA
610600	2.22426888237681e-07	NA
601820	2.14765160714336e-07	NA
614491	2.1468720169404e-07	NA
615160	2.10788891913657e-07	NA
608709	2.0800848280972e-07	NA
610508	2.07314714637745e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
613090	2.03943687075742e-07	NA
601678	1.99971157324083e-07	NA
300200	1.94782820138232e-07	NA
125851	1.89949958958689e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
241200	1.89597824109045e-07	NA
125850	1.8858678440342e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.87984954212966e-07	NA
606824	1.66888711693536e-07	NA
152200	1.64836527226452e-07	NA
615812	1.59608518127598e-07	NA
118830	1.5539231765402e-07	NA
615947	1.52575372116579e-07	NA
177200	1.45121439490622e-07	NA
143470	1.44196842753387e-07	NA
613327	1.43919044579938e-07	NA
606392	1.42274974818999e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
145260	1.37669778802728e-07	NA
300539	1.36574402900876e-07	NA
191540	1.34694201934629e-07	NA
600496	1.33037458627609e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614025	1.30500246809705e-07	NA
608189	1.30376164989667e-07	NA
143860	1.23247149154407e-07	NA
606721	1.22573711154764e-07	NA
600089	1.2173183028657e-07	NA
612227	1.2022844927557e-07	NA
610582	1.19414772004175e-07	NA
605115	1.18416852700553e-07	NA
229500	1.18030104971093e-07	NA
613743	1.13798482015955e-07	NA
167755	1.11532748972588e-07	NA
613370	1.11169325371709e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
612671	1.04884930949989e-07	NA
616095	1.03319239266683e-07	NA
614662	1.02986430992567e-07	NA
612225	1.0232967814781e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
232220	1.02117450663026e-07	NA
103230	1.01904047328758e-07	NA
126900	1.00433403476548e-07	NA
605911	1.00292616681294e-07	NA
609812	9.9426562691917e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
276700	9.78812809421987e-08	NA
208300	9.77606394381993e-08	NA
171200	9.65418181321416e-08	NA
613347	9.61195835613961e-08	NA
615751	9.48560285469281e-08	NA
606394	9.34334475615165e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
614033	9.28294604541798e-08	NA
167770	9.24244763389155e-08	NA
268040	9.24075800401772e-08	NA
615026	9.22818228880258e-08	NA
151800	9.06670019921674e-08	NA
126150	9.02580900646834e-08	NA
191530	9.00626975798513e-08	NA
609975	8.73269976900546e-08	NA
609734	8.7272425563413e-08	NA
269200	8.47045269597923e-08	NA
260450	8.46909394429001e-08	NA
229800	8.38722065889888e-08	NA
209300	8.15471000562685e-08	NA
609197	7.82469891348118e-08	NA
263600	7.82089954613485e-08	NA
232200	7.54404422115429e-08	NA
613886	7.44760361105498e-08	NA
174050	7.37279957495301e-08	NA
138900	6.31478050102487e-08	NA
601941	5.69680387578966e-08	NA
177735	5.64010000637031e-08	NA
205400	5.45351895484885e-08	NA
557000	5.30796668391543e-08	NA
240150	4.9822644963442e-08	NA
610021	4.90963141123819e-08	NA
203400	4.72913990045854e-08	NA
256450	4.62913548884545e-08	NA
304800	4.29442489116142e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
609968	4.26340073378807e-08	NA
241150	4.18143485055759e-08	NA
305700	4.06018307886745e-08	NA
615961	3.84676906653766e-08	NA
264350	3.84103586515385e-08	NA
232240	3.82844266646911e-08	NA
245900	3.59634623039823e-08	NA
251120	3.46082932442627e-08	NA
218030	3.30997236393348e-08	NA
610199	3.09995691906002e-08	NA
207780	3.05110878550831e-08	NA
138040	3.02275144445477e-08	NA
129840	2.98409984555702e-08	NA
109160	2.97716642521813e-08	NA
615517	2.7160833491693e-08	NA
602485	2.67834538608614e-08	NA
240200	2.66528948341482e-08	NA
239350	2.59845216042073e-08	NA
109600	2.5542304268294e-08	NA
607616	2.51503327894326e-08	NA
214700	2.42991761023003e-08	NA
606528	2.34568898775184e-08	NA
179820	2.34441573656905e-08	NA
615361	2.29025914775351e-08	NA
602475	2.19290884111805e-08	NA
240300	2.1548752133397e-08	NA
601223	2.11856301208197e-08	NA
194470	2.07174673596296e-08	NA
606762	2.01195542647588e-08	NA
600955	1.90457066056046e-08	NA
200100	1.80734420585215e-08	NA
615558	1.80734420585215e-08	NA
210740	1.78015952877717e-08	NA
249599	1.78015952877717e-08	NA
600952	1.65146987857829e-08	NA
166700	1.64665805216421e-08	NA
209010	1.64665805216421e-08	NA
241080	1.64665805216421e-08	NA
560000	1.64665805216421e-08	NA
168820	1.49863879093428e-08	NA
150170	1.41697814619947e-08	NA
145270	1.37825642832935e-08	NA
143880	1.37555431127218e-08	NA
177600	1.36907780715943e-08	NA
239199	1.25523574518067e-08	NA
124060	1.09684807559038e-08	NA
602722	1.07717049156259e-08	NA
132810	9.81662186644564e-09	NA
232900	9.24354806394437e-09	NA
600166	8.78540169930164e-09	NA
240800	6.94758004045953e-09	NA
212067	6.07701613112437e-09	NA
source	0	NA
target	0	NA
