DiseaseID	Score	DiseaseName
143890	2.08366540090567e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.42434187854417e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.38351290213742e-05	NA
222100	1.38332450287879e-05	TYPE 1 DIABETES MELLITUS
603813	7.71784653689588e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
613375	7.68100033133191e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
151660	7.34466784195461e-06	NA
616192	7.29898076052741e-06	NA
610947	7.27806196216257e-06	NA
614736	7.25958563675234e-06	NA
603776	7.25236974657874e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615158	7.15910099598625e-06	NA
269700	7.10917352950999e-06	NA
615474	7.04396284432985e-06	NA
602522	7.01240634826358e-06	NA
219090	6.99193544232084e-06	NA
614190	6.95503222570004e-06	NA
608594	6.89333170544984e-06	NA
615703	6.82862384183374e-06	NA
605814	6.78725058963016e-06	NA
167800	6.77858566305e-06	NA
125853	6.67134113215369e-06	TYPE 2 DIABETES MELLITUS
602014	6.53388612018032e-06	NA
144250	4.10466093497032e-06	NA
238600	3.69711475942909e-06	NA
125852	8.82578958923956e-07	NA
616214	8.14278116316869e-07	NA
240900	6.7688573279254e-07	NA
614028	6.66319387735745e-07	NA
602247	6.57034301619254e-07	NA
144650	5.9588109720412e-07	NA
602025	5.68900976638351e-07	NA
144300	5.67324290094845e-07	NA
613677	5.61564655717282e-07	NA
615457	5.60254898273263e-07	NA
107741	5.57490685985391e-07	NA
144400	5.51126034371561e-07	NA
190430	5.5015173918885e-07	NA
612520	5.28100800686532e-07	NA
203800	5.24200605783485e-07	NA
616511	5.11297543402593e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144010	5.06899899487463e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
304900	4.9583614350178e-07	NA
136120	4.80635051251681e-07	NA
616329	4.66588324711454e-07	NA
207750	4.6303847085431e-07	NA
605019	4.53220584189381e-07	NA
147630	4.37361494278246e-07	NA
612780	4.34419994632843e-07	NA
108725	4.33565731871523e-07	NA
601666	4.321912112152e-07	NA
262190	4.28602492943668e-07	NA
240600	4.16043545223227e-07	NA
277460	4.08544413832512e-07	NA
613877	3.95192151944735e-07	NA
145750	3.94329025208876e-07	NA
608600	3.78491986677425e-07	NA
615954	3.74093501986949e-07	NA
223500	3.7391312349526e-07	NA
215720	3.72852822323197e-07	NA
612526	3.61087481859535e-07	NA
608320	3.5869052328931e-07	NA
604367	3.57955459861738e-07	NA
125800	3.26233320275553e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
610374	3.26193221267057e-07	NA
607364	3.16568810842544e-07	NA
246200	3.13166394837951e-07	NA
144600	2.87945376442832e-07	NA
306000	2.8309864209599e-07	NA
614496	2.79907990748792e-07	NA
615830	2.79628079630764e-07	NA
615238	2.78540590926593e-07	NA
260370	2.72426252316349e-07	NA
614492	2.69579680207816e-07	NA
263800	2.67317858479079e-07	NA
614495	2.60459328407414e-07	NA
219080	2.59043580931968e-07	NA
610475	2.59043580931968e-07	NA
610489	2.59043580931968e-07	NA
615962	2.50574420497993e-07	NA
260350	2.4781534990931e-07	NA
601198	2.43036713418191e-07	NA
610600	2.33604861859183e-07	NA
601942	2.30390432173891e-07	NA
154020	2.276808570458e-07	NA
611718	2.25073759141545e-07	NA
613090	2.15469748202212e-07	NA
601820	2.15379565884558e-07	NA
615160	2.13842559409619e-07	NA
614491	2.13398539124996e-07	NA
601678	2.10912117440027e-07	NA
610508	2.08581854195411e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608709	2.04246845336925e-07	NA
300200	2.00868277725573e-07	NA
241200	2.00343323947327e-07	NA
125851	1.91567136681142e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.90136936979198e-07	MATURITY-ONSET DIABETES OF THE YOUNG
103900	1.88985159446654e-07	NA
152200	1.69883340413874e-07	NA
606824	1.69302177752419e-07	NA
118830	1.6092595280228e-07	NA
615812	1.54154961017555e-07	NA
