DiseaseID	Score	DiseaseName
143890	2.27572563670567e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.39865701193674e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.37600961546394e-05	NA
222100	1.3535642609495e-05	TYPE 1 DIABETES MELLITUS
615703	8.10568261410137e-06	NA
613375	7.96314882346888e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.75096633237834e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
610947	7.70054580297762e-06	NA
151660	7.49880710154457e-06	NA
614736	7.47426629800929e-06	NA
616192	7.40364461515832e-06	NA
269700	7.25509341782179e-06	NA
219090	7.21320192644672e-06	NA
603776	7.19058679203509e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
602014	7.15170172886931e-06	NA
608594	7.13615011671256e-06	NA
615158	7.03800003358463e-06	NA
602522	6.98857152834546e-06	NA
615474	6.98181502167772e-06	NA
125853	6.97701816749082e-06	TYPE 2 DIABETES MELLITUS
614190	6.94203337940492e-06	NA
167800	6.84816737245904e-06	NA
605814	6.79950837726222e-06	NA
144250	4.05301303188654e-06	NA
238600	3.61254646087097e-06	NA
125852	8.81424252480047e-07	NA
616214	8.07992389491425e-07	NA
614028	6.91416908815784e-07	NA
602247	6.89181948961578e-07	NA
240900	6.79914102182175e-07	NA
144650	6.13235035661826e-07	NA
107741	6.02244150095242e-07	NA
144300	5.98318198272073e-07	NA
144400	5.84075953630947e-07	NA
602025	5.69818636866584e-07	NA
615457	5.61151015036627e-07	NA
613677	5.54543412776987e-07	NA
190430	5.50416003183427e-07	NA
203800	5.50074792462194e-07	NA
144010	5.40002856323755e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
612520	5.33404965182813e-07	NA
616511	5.1958277856292e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
136120	5.13863052013504e-07	NA
207750	4.92357225093053e-07	NA
304900	4.89627484341266e-07	NA
616329	4.76170441498758e-07	NA
605019	4.67448133671564e-07	NA
108725	4.57255720033306e-07	NA
