DiseaseID	Score	DiseaseName
143890	2.09056584738156e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.47269311366984e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.38191130351165e-05	NA
222100	1.34841290827846e-05	TYPE 1 DIABETES MELLITUS
613375	7.93985361241118e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603813	7.65095167286212e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
269700	7.5027511839914e-06	NA
151660	7.37869769164517e-06	NA
615474	7.34992197414592e-06	NA
610947	7.31135438794935e-06	NA
615703	7.23539275377004e-06	NA
608594	7.21735078121426e-06	NA
614190	7.20116554815865e-06	NA
603776	7.19564535531838e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	7.18967851098928e-06	NA
616192	7.16070747637048e-06	NA
219090	6.978874690573e-06	NA
602014	6.86124675924714e-06	NA
167800	6.80151464516341e-06	NA
602522	6.80126069396484e-06	NA
605814	6.79280312063968e-06	NA
615158	6.69148950871399e-06	NA
125853	6.59174592664694e-06	TYPE 2 DIABETES MELLITUS
144250	3.96603707608043e-06	NA
238600	3.5568647560782e-06	NA
125852	8.76772406284443e-07	NA
616214	8.09212017523717e-07	NA
240900	6.77503836394997e-07	NA
614028	6.70031292216015e-07	NA
602247	6.53835786556912e-07	NA
144650	5.97013768320741e-07	NA
602025	5.71017600191531e-07	NA
144300	5.65594103444593e-07	NA
615457	5.62346807202059e-07	NA
613677	5.61325044696115e-07	NA
107741	5.6046946185586e-07	NA
190430	5.52040601992483e-07	NA
144400	5.5100428366269e-07	NA
203800	5.40429099643515e-07	NA
612520	5.31272840587201e-07	NA
616511	5.060896181517e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144010	5.0561197282739e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
304900	4.83841253810518e-07	NA
136120	4.79635009901849e-07	NA
616329	4.65550402918071e-07	NA
207750	4.60350583333162e-07	NA
605019	4.56466567944026e-07	NA
262190	4.45686356345424e-07	NA
612780	4.40749153046124e-07	NA
108725	4.36209627832034e-07	NA
601666	4.34678988920238e-07	NA
147630	4.30681742456989e-07	NA
613877	4.1144745440766e-07	NA
277460	4.09102550464535e-07	NA
240600	4.04849464172815e-07	NA
145750	3.92823558121942e-07	NA
608600	3.91248194893068e-07	NA
615954	3.80384799827353e-07	NA
223500	3.76414359252562e-07	NA
215720	3.74162219561734e-07	NA
612526	3.74040715103793e-07	NA
604367	3.70879592930675e-07	NA
608320	3.6224958014592e-07	NA
610374	3.30864387552907e-07	NA
246200	3.24910811716014e-07	NA
125800	3.18216446063851e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.1623746856762e-07	NA
615238	2.89011153071104e-07	NA
144600	2.86049647556757e-07	NA
614496	2.83160906239615e-07	NA
615830	2.83049390782797e-07	NA
306000	2.81240950553395e-07	NA
260370	2.78604796088802e-07	NA
263800	2.78134310944172e-07	NA
614492	2.72745202498646e-07	NA
614495	2.63502786625447e-07	NA
219080	2.62286765272581e-07	NA
610475	2.62286765272581e-07	NA
610489	2.62286765272581e-07	NA
615962	2.54124305682885e-07	NA
601198	2.53936587939897e-07	NA
260350	2.47077378073341e-07	NA
154020	2.38938318040812e-07	NA
601942	2.36210607255144e-07	NA
611718	2.35779083145645e-07	NA
610600	2.29680775016885e-07	NA
614491	2.20310409913885e-07	NA
601820	2.16759414047193e-07	NA
608709	2.11343105477688e-07	NA
613090	2.10864475744087e-07	NA
610508	2.09870814010084e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
615160	2.08082484426517e-07	NA
300200	2.07195469849404e-07	NA
601678	2.06879319892156e-07	NA
241200	1.96348652571311e-07	NA
125851	1.92380656218204e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
103900	1.9136616468949e-07	NA
125850	1.91242833974245e-07	MATURITY-ONSET DIABETES OF THE YOUNG
152200	1.6876891056142e-07	NA
606824	1.64089801281768e-07	NA
118830	1.5918696777504e-07	NA
615812	1.58780935439681e-07	NA
615947	1.54000036801004e-07	NA
143470	1.50848112643558e-07	NA
177200	1.47229918476189e-07	NA
606392	1.42789986447579e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
145260	1.3957474214302e-07	NA
300539	1.38673973826393e-07	NA
613327	1.36933710938479e-07	NA
191540	1.36424427474812e-07	NA
600496	1.33366225784204e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614025	1.33320586927475e-07	NA
608189	1.33003590594809e-07	NA
606721	1.2575216084732e-07	NA
143860	1.22814401922504e-07	NA
612227	1.22647254962e-07	NA
600089	1.21937049935709e-07	NA
605115	1.20052483511114e-07	NA
610582	1.19568942525937e-07	NA
613743	1.18814919013063e-07	NA
229500	1.15792779958256e-07	NA
613370	1.14588618169642e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
167755	1.13833886669552e-07	NA
612671	1.0687609424502e-07	NA
103230	1.06502485788619e-07	NA
614662	1.06102750055807e-07	NA
612225	1.05602603597026e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
232220	1.0421966584245e-07	NA
616095	1.01777030547824e-07	NA
609812	1.01387828030452e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
171200	1.00418285312613e-07	NA
605911	9.99555559469246e-08	NA
126900	9.98106019605448e-08	NA
208300	9.94700008376103e-08	NA
613347	9.7858746225637e-08	NA
276700	9.7187971959725e-08	NA
606394	9.64679653364549e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
126150	9.60284051176381e-08	NA
191530	9.58352396386026e-08	NA
167770	9.42145734104706e-08	NA
151800	9.35166750821549e-08	NA
615751	9.29335795628443e-08	NA
268040	9.17557336068409e-08	NA
614033	9.15463029764375e-08	NA
615026	9.03866743586093e-08	NA
609734	8.98306001711339e-08	NA
269200	8.67492071783738e-08	NA
260450	8.63330753362006e-08	NA
609975	8.5903264824957e-08	NA
209300	8.31274877974073e-08	NA
229800	8.23386262861139e-08	NA
232200	7.73792503667343e-08	NA
609197	7.65558829532563e-08	NA
263600	7.64635803077809e-08	NA
174050	7.52842724031959e-08	NA
613886	7.31152848131317e-08	NA
138900	6.20411827865785e-08	NA
601941	5.82025822495751e-08	NA
177735	5.71262562679499e-08	NA
205400	5.54534402404017e-08	NA
557000	5.37371324935014e-08	NA
240150	5.14181147938345e-08	NA
610021	4.97572712253598e-08	NA
203400	4.82771068436891e-08	NA
256450	4.64817020120968e-08	NA
304800	4.33041499162025e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
609968	4.27832917759373e-08	NA
241150	4.24884308618054e-08	NA
305700	3.98902392905718e-08	NA
615961	3.96190565856545e-08	NA
264350	3.91771698349622e-08	NA
232240	3.88167607369945e-08	NA
245900	3.65818415838123e-08	NA
251120	3.46377608806531e-08	NA
218030	3.35585847797992e-08	NA
610199	3.20666972672664e-08	NA
207780	3.09887115805891e-08	NA
138040	3.06390161188305e-08	NA
109160	3.02719025574118e-08	NA
129840	3.02104759623023e-08	NA
615517	2.77628514438013e-08	NA
602485	2.72080642742637e-08	NA
240200	2.70776743167682e-08	NA
109600	2.63025477816073e-08	NA
239350	2.6263572785421e-08	NA
607616	2.55618927619833e-08	NA
214700	2.47927463012504e-08	NA
179820	2.38222211862528e-08	NA
615361	2.34437955564298e-08	NA
606528	2.34149315350823e-08	NA
602475	2.2512922515133e-08	NA
240300	2.22689272805719e-08	NA
601223	2.1891891471055e-08	NA
194470	2.14302247860418e-08	NA
606762	2.01416285395524e-08	NA
600955	1.974377504657e-08	NA
210740	1.84475351524843e-08	NA
249599	1.84475351524843e-08	NA
200100	1.84096965764816e-08	NA
615558	1.84096965764816e-08	NA
166700	1.70640745873572e-08	NA
209010	1.70640745873572e-08	NA
241080	1.70640745873572e-08	NA
560000	1.70640745873572e-08	NA
600952	1.66957561035171e-08	NA
168820	1.55607211348103e-08	NA
150170	1.42660606130802e-08	NA
145270	1.4228045304122e-08	NA
177600	1.40260306207229e-08	NA
143880	1.37777405726873e-08	NA
239199	1.28341242031081e-08	NA
124060	1.14066041486265e-08	NA
602722	1.06637968355061e-08	NA
132810	9.90653960092562e-09	NA
232900	9.31746398699718e-09	NA
600166	8.97857019751317e-09	NA
240800	6.93651654283182e-09	NA
212067	5.95290936454383e-09	NA
source	0	NA
target	0	NA
