DiseaseID	Score	DiseaseName
143890	2.28750266073751e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.57288401232449e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.40089913994588e-05	NA
222100	1.3769910111341e-05	TYPE 1 DIABETES MELLITUS
608594	7.6685282645108e-06	NA
603813	7.62405657963559e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
615474	7.61596760294321e-06	NA
151660	7.47652977078291e-06	NA
613375	7.43695691881241e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
603776	7.39226517682851e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
614736	7.22331093552979e-06	NA
269700	7.17563669964097e-06	NA
602522	7.08962497728877e-06	NA
602014	7.04557533186683e-06	NA
614190	7.01518395172789e-06	NA
610947	6.95069471270885e-06	NA
605814	6.94642841071094e-06	NA
219090	6.93212420936322e-06	NA
615158	6.87085598655292e-06	NA
615703	6.86521407759603e-06	NA
167800	6.85523136562665e-06	NA
616192	6.77833952618053e-06	NA
125853	6.7660065534847e-06	TYPE 2 DIABETES MELLITUS
144250	4.05428501105086e-06	NA
238600	3.61352468097294e-06	NA
125852	8.90345879184993e-07	NA
616214	8.31766659441758e-07	NA
602247	6.91492120667752e-07	NA
240900	6.79942170287044e-07	NA
614028	6.7419322110088e-07	NA
144650	6.05464933922324e-07	NA
144300	6.00593760320331e-07	NA
107741	5.89298192598055e-07	NA
144400	5.85382113891206e-07	NA
602025	5.72646975089702e-07	NA
613677	5.70931736878418e-07	NA
615457	5.63949458531363e-07	NA
190430	5.53764028590919e-07	NA
144010	5.39878084524585e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
203800	5.38480170524496e-07	NA
612520	5.30379139441784e-07	NA
136120	5.14957012556077e-07	NA
304900	4.97523883061333e-07	NA
616511	4.95197478953798e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
207750	4.9335018726074e-07	NA
262190	4.59792504633068e-07	NA
605019	4.59502444630837e-07	NA
612780	4.54890377439641e-07	NA
616329	4.53289706410673e-07	NA
277460	4.39447588659652e-07	NA
601666	4.38397209248381e-07	NA
147630	4.38383514176836e-07	NA
108725	4.35336952197998e-07	NA
240600	4.13550963191946e-07	NA
613877	4.10471629098412e-07	NA
608600	3.95297584099689e-07	NA
145750	3.93880472257675e-07	NA
615954	3.91387798188927e-07	NA
223500	3.79664245106521e-07	NA
612526	3.77430390480548e-07	NA
215720	3.75144630755991e-07	NA
604367	3.73060805852219e-07	NA
608320	3.56570241820786e-07	NA
610374	3.45591086172056e-07	NA
607364	3.281791288992e-07	NA
246200	3.2780850606783e-07	NA
125800	3.2515696769654e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
615238	2.93009138112858e-07	NA
260370	2.91963841308311e-07	NA
306000	2.87521439980685e-07	NA
614496	2.86711596027088e-07	NA
263800	2.85885766938548e-07	NA
144600	2.85362791711633e-07	NA
615830	2.79549683504412e-07	NA
614492	2.76242849690456e-07	NA
614495	2.66676837805571e-07	NA
601198	2.60957627517543e-07	NA
219080	2.59206315981505e-07	NA
610475	2.59206315981505e-07	NA
610489	2.59206315981505e-07	NA
615962	2.56733282485326e-07	NA
260350	2.50812183804375e-07	NA
601942	2.49088899531393e-07	NA
154020	2.45374717943974e-07	NA
611718	2.4216201481567e-07	NA
610600	2.38384048994313e-07	NA
614491	2.22451208665505e-07	NA
300200	2.20019223140724e-07	NA
613090	2.18627819342985e-07	NA
601678	2.14922018728157e-07	NA
601820	2.13751882577095e-07	NA
615160	2.10572997592999e-07	NA
610508	2.0768165688734e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
608709	2.07624256123211e-07	NA
241200	2.04142624480958e-07	NA
103900	1.91812430637721e-07	NA
125851	1.90606867860518e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
125850	1.89280652339682e-07	MATURITY-ONSET DIABETES OF THE YOUNG
606824	1.66215742648277e-07	NA
152200	1.65098710850792e-07	NA
118830	1.62249102849446e-07	NA
615812	1.55554832139604e-07	NA
143470	1.54801457556397e-07	NA
615947	1.51951723741074e-07	NA
177200	1.51674674378633e-07	NA
606392	1.45046047914741e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
145260	1.43614175974442e-07	NA
300539	1.43379853665021e-07	NA
613327	1.43368654045419e-07	NA
600496	1.36144329827371e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614025	1.34985804205219e-07	NA
608189	1.34506768737511e-07	NA
191540	1.32129241103051e-07	NA
606721	1.28554380567941e-07	NA
143860	1.25530324898652e-07	NA
600089	1.24906843862871e-07	NA
612227	1.23941020974302e-07	NA
605115	1.23663111139637e-07	NA
610582	1.21664875073384e-07	NA
229500	1.18107304049382e-07	NA
613743	1.17890600668038e-07	NA
167755	1.15208218716889e-07	NA
613370	1.10311207241125e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
232220	1.06475581012073e-07	NA
103230	1.04871403918171e-07	NA
616095	1.03760970807412e-07	NA
614662	1.02606742763529e-07	NA
605911	1.02390836535568e-07	NA
612671	1.02383741528837e-07	NA
126900	1.02232568784613e-07	NA
609812	1.02099585678124e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
208300	1.01099565101279e-07	NA
612225	1.01057171529575e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
276700	9.89976086524018e-08	NA
613347	9.87775827447887e-08	NA
171200	9.85417222657765e-08	NA
126150	9.82172567239416e-08	NA
191530	9.79734039912221e-08	NA
167770	9.51286948678479e-08	NA
615751	9.48234493005868e-08	NA
151800	9.48165532193849e-08	NA
614033	9.31817021639441e-08	NA
606394	9.2485623302064e-08	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
615026	9.23990519368977e-08	NA
609975	8.81471548952603e-08	NA
268040	8.80056588420405e-08	NA
269200	8.74394813430386e-08	NA
260450	8.70630855075994e-08	NA
609734	8.5882299591062e-08	NA
229800	8.42093650808016e-08	NA
209300	8.38338243439895e-08	NA
232200	7.89884909212658e-08	NA
609197	7.85140988964054e-08	NA
263600	7.82955476462645e-08	NA
174050	7.59414886187205e-08	NA
613886	7.33312422608985e-08	NA
138900	6.27652050410196e-08	NA
601941	5.8830180494587e-08	NA
177735	5.82655506388216e-08	NA
205400	5.78181481609459e-08	NA
557000	5.48391591120593e-08	NA
240150	5.22450398585169e-08	NA
610021	5.01251826119321e-08	NA
203400	4.99754262499789e-08	NA
256450	4.69506283901904e-08	NA
304800	4.45429115473176e-08	DIABETES INSIPIDUS, NEPHROGENIC, 1, X-LINKED
241150	4.37682548070709e-08	NA
609968	4.33518150027926e-08	NA
232240	4.04687951916546e-08	NA
264350	4.01271415725867e-08	NA
305700	4.00178406259916e-08	NA
615961	3.9963142048156e-08	NA
245900	3.81023622256486e-08	NA
251120	3.48928194545348e-08	NA
218030	3.43023475278082e-08	NA
610199	3.22201677964169e-08	NA
207780	3.12524341001255e-08	NA
138040	3.10773605230998e-08	NA
129840	3.06037747072446e-08	NA
109160	3.00015678195069e-08	NA
615517	2.81199628384692e-08	NA
602485	2.76936123416384e-08	NA
240200	2.74936048858004e-08	NA
239350	2.70055544058278e-08	NA
607616	2.63948561031639e-08	NA
109600	2.63388366284187e-08	NA
214700	2.55799401878489e-08	NA
615361	2.41686123773322e-08	NA
179820	2.38973133305872e-08	NA
606528	2.37348408665111e-08	NA
240300	2.244987925565e-08	NA
602475	2.23675136117755e-08	NA
601223	2.18434435917143e-08	NA
194470	2.14038748411807e-08	NA
606762	2.04352422701156e-08	NA
600955	2.01350285748881e-08	NA
200100	1.85993359759941e-08	NA
615558	1.85993359759941e-08	NA
210740	1.85983843616678e-08	NA
249599	1.85983843616678e-08	NA
166700	1.72036101160051e-08	NA
209010	1.72036101160051e-08	NA
241080	1.72036101160051e-08	NA
560000	1.72036101160051e-08	NA
600952	1.67717958035464e-08	NA
168820	1.57092132126093e-08	NA
145270	1.43030416509579e-08	NA
143880	1.4150261083776e-08	NA
150170	1.41002744831934e-08	NA
177600	1.39251040070053e-08	NA
239199	1.32580308677736e-08	NA
124060	1.15059953966473e-08	NA
602722	1.08020901137279e-08	NA
132810	9.96471851317697e-09	NA
232900	9.19832131865115e-09	NA
600166	9.17552227069368e-09	NA
240800	7.05698736231885e-09	NA
212067	6.09024497906139e-09	NA
source	0	NA
target	0	NA
