DiseaseID	Score	DiseaseName
151660	0.00225937353788879	NA
608594	3.65971355322733e-05	NA
269700	3.6542564974216e-05	NA
608600	3.17188108346275e-05	NA
219090	3.12172223796284e-05	NA
612526	2.97986016245271e-05	NA
604367	2.90118758339384e-05	NA
144250	2.74380133478938e-05	NA
613877	2.695956442832e-05	NA
203800	2.62891431683963e-05	NA
615238	2.6131870595728e-05	NA
606721	2.58869692379773e-05	NA
608709	2.51334154205627e-05	NA
246200	2.45796383160412e-05	NA
151800	2.45524059129609e-05	NA
145750	2.35008982603015e-05	NA
143890	2.15258371822066e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
601410	1.39144292203732e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.37956436586862e-05	NA
222100	1.37647011360075e-05	TYPE 1 DIABETES MELLITUS
615703	1.00103154052177e-05	NA
603813	8.53543843510149e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
613375	7.83739572585965e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
610947	7.69386907577656e-06	NA
614736	7.28595121162798e-06	NA
615474	7.26188883135003e-06	NA
603776	7.24870722529414e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
616192	7.19026258277979e-06	NA
614190	7.04540811143829e-06	NA
615158	6.9805725667406e-06	NA
602522	6.93283277123066e-06	NA
125853	6.79963685229195e-06	TYPE 2 DIABETES MELLITUS
167800	6.6650973149162e-06	NA
605814	6.64468377287971e-06	NA
602014	6.62309843815744e-06	NA
238600	3.93521321562023e-06	NA
613327	3.53629453665443e-06	NA
616214	3.36671080673529e-06	NA
614028	3.32583538810578e-06	NA
262190	3.04359474829066e-06	NA
602247	2.89567941275721e-06	NA
147630	2.29583307411214e-06	NA
108725	2.03806645644492e-06	NA
616329	1.97345692409263e-06	NA
277460	1.79713798905324e-06	NA
125852	1.69527331626925e-06	NA
191540	1.55384750947657e-06	NA
107741	1.42244411491608e-06	NA
144300	1.37876832680134e-06	NA
616511	1.36228908022376e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 14
144650	1.28193397434296e-06	NA
207750	1.26858568283293e-06	NA
144600	1.20566248421104e-06	NA
144400	1.15386304288821e-06	NA
207780	1.08028856985501e-06	NA
144010	9.89282132833227e-07	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
615954	9.70871230158512e-07	NA
152200	9.40169346428596e-07	NA
232220	9.19358038400848e-07	NA
608320	9.16848945041951e-07	NA
614025	8.79492468200558e-07	NA
615830	8.65848404244294e-07	NA
268040	8.23953803577998e-07	NA
219080	8.08710729035949e-07	NA
610475	8.08710729035949e-07	NA
610489	8.08710729035949e-07	NA
609734	7.96081964543642e-07	NA
615962	7.53897327100758e-07	NA
126900	7.3726626663168e-07	NA
240900	6.855339037802e-07	NA
612520	6.82019045408348e-07	NA
136120	6.65372601447219e-07	NA
601666	6.00465121356198e-07	NA
613677	5.84811144182996e-07	NA
602025	5.73686393871801e-07	NA
605019	5.7041162276775e-07	NA
615457	5.64956016198383e-07	NA
190430	5.50929148314664e-07	NA
240600	5.44321498389056e-07	NA
304900	4.93117365773099e-07	NA
612780	4.36254094128505e-07	NA
223500	3.936496100508e-07	NA
610374	3.79282440811314e-07	NA
215720	3.70430762887863e-07	NA
306000	3.2896172582668e-07	NA
125800	3.25209183665014e-07	DIABETES INSIPIDUS, NEUROHYPOPHYSEAL, X-LINKED
607364	3.18135847768219e-07	NA
601942	3.15778716124923e-07	NA
614496	3.04552431741095e-07	NA
610508	2.99880445693972e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 7
260370	2.98810900490146e-07	NA
601820	2.97990272958277e-07	NA
615160	2.92853238518683e-07	NA
260350	2.75549263699749e-07	NA
614492	2.74233045366749e-07	NA
615947	2.74072518324761e-07	NA
263800	2.70443496532461e-07	NA
614495	2.65452978891686e-07	NA
615812	2.49502112399443e-07	NA
614662	2.48733379423143e-07	NA
601198	2.46035166481007e-07	NA
143470	2.3803830008845e-07	NA
610600	2.33149516198859e-07	NA
154020	2.30818294062053e-07	NA
611718	2.28847176971405e-07	NA
600496	2.25552872716249e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 3
614491	2.19442333773531e-07	NA
606392	2.18803088057992e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4
125851	2.18403253735435e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 2
613090	2.14317696835284e-07	NA
125850	2.1283739533101e-07	MATURITY-ONSET DIABETES OF THE YOUNG
601678	2.0991125685072e-07	NA
612227	2.02308990770035e-07	NA
241200	1.98999451964469e-07	NA
300200	1.98483001937996e-07	NA
103900	1.93219172434026e-07	NA
118830	1.92177771974293e-07	NA
615751	1.7355136205861e-07	NA
606824	1.73151970602374e-07	NA
232200	1.71387572536121e-07	NA
600089	1.71098711536733e-07	NA
608189	1.69248223136693e-07	NA
613370	1.6894527653701e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10
232240	1.67333091673451e-07	NA
616095	1.57822442783141e-07	NA
610582	1.54131506657049e-07	NA
167755	1.53959764705239e-07	NA
229500	1.53624833850546e-07	NA
615026	1.52396607976007e-07	NA
610021	1.51177257095118e-07	NA
612671	1.51040899111172e-07	NA
177200	1.48604265700217e-07	NA
205400	1.47622953842928e-07	NA
601941	1.47086258402512e-07	NA
208300	1.45986923197155e-07	NA
614033	1.45978891548589e-07	NA
145260	1.40313473096461e-07	NA
612225	1.40207619655345e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9
605911	1.38662664776843e-07	NA
300539	1.38399591282382e-07	NA
276700	1.3495644491732e-07	NA
605115	1.34517349889032e-07	NA
609812	1.34195894699692e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 8
606394	1.28171400404024e-07	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6
171200	1.26100161306373e-07	NA
143860	1.25596907416874e-07	NA
613347	1.25280705386517e-07	NA
167770	1.2369296053021e-07	NA
613743	1.16678437898477e-07	NA
609975	1.16499774916325e-07	NA
256450	1.07113126345843e-07	NA
103230	1.06469072371493e-07	NA
609968	1.05718549887907e-07	NA
609197	1.03680143797599e-07	NA
138900	1.02885470993299e-07	NA
191530	9.95786152479682e-08	NA
126150	9.9537941227535e-08	NA
615961	9.75826721597183e-08	NA
269200	9.59737521388018e-08	NA
229800	9.58772010921422e-08	NA
245900	9.37758919007766e-08	NA
109160	9.08388819702876e-08	NA
260450	8.80887033458093e-08	NA
263600	8.49541625554123e-08	NA
209300	8.40927888428161e-08	NA
606762	8.07408527668487e-08	NA
174050	7.55893821205544e-08	NA
613886	7.32715679889338e-08	NA
607616	7.06987552186355e-08	NA
610199	6.80618438697717e-08	NA
557000	6.62522959268331e-08	NA
602485	6.58607723725264e-08	NA
200100	6.46922421636884e-08	NA
615558	6.46922421636884e-08	NA
177735	5.92946924747645e-08	NA
240150	5.77104794613722e-08	NA
602475	5.50746446123503e-08	NA
109600	5.47874948354578e-08	NA
179820	5.2968834589462e-08	NA
150170	5.22061741355486e-08	NA
138040	5.14373267765367e-08	NA
