DiseaseID	Score	DiseaseName
143890	0.0019375818978289	HYPERCHOLESTEROLEMIA, FAMILIAL, 1
603813	4.33041008735221e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 4
144250	3.7622431772234e-05	NA
602247	3.44324870684757e-05	NA
144010	3.38722353184909e-05	HYPERCHOLESTEROLEMIA, FAMILIAL, 2
136120	3.37931692443202e-05	NA
144400	3.26171876065693e-05	NA
144300	3.24044959520508e-05	NA
107741	3.23897150076938e-05	NA
207750	3.12610372542892e-05	NA
277460	3.02865510703487e-05	NA
601410	1.38781705908364e-05	TYPE 1 DIABETES MELLITUS 2
601665	1.33500758561243e-05	NA
222100	1.33142927902043e-05	TYPE 1 DIABETES MELLITUS
603776	9.56767131160335e-06	HYPERCHOLESTEROLEMIA, FAMILIAL, 3
615703	8.69344046155939e-06	NA
151660	7.97505353704878e-06	NA
610947	7.67721832531422e-06	NA
613375	7.60562336254694e-06	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11
616192	7.39915613910578e-06	NA
615474	7.35900943161608e-06	NA
614190	7.34377260620291e-06	NA
219090	7.19613325798134e-06	NA
269700	7.08212797472399e-06	NA
614736	6.92279161706984e-06	NA
605814	6.85818891321628e-06	NA
167800	6.79777102798467e-06	NA
615158	6.76086237892821e-06	NA
125853	6.75235971596069e-06	TYPE 2 DIABETES MELLITUS
608594	6.7503424086192e-06	NA
602014	6.672161051006e-06	NA
602522	6.66942590508939e-06	NA
238600	6.48720550335761e-06	NA
614028	6.0514656814493e-06	NA
144650	5.33125751902232e-06	NA
145750	5.25341628065174e-06	NA
108725	5.20382506307166e-06	NA
144600	4.22787334172689e-06	NA
205400	2.35589020852955e-06	NA
614025	1.82698369980489e-06	NA
606721	1.73121259515089e-06	NA
143470	1.71657267937255e-06	NA
232220	1.70008861275599e-06	NA
125852	1.69474174578057e-06	NA
118830	1.63954373167245e-06	NA
608320	1.58335718263519e-06	NA
232240	1.55123428669991e-06	NA
245900	1.43474399437412e-06	NA
615947	1.17630462981515e-06	NA
612526	1.17082773354487e-06	NA
608600	1.14216113504632e-06	NA
306000	1.08145269125643e-06	NA
615812	1.05274636510074e-06	NA
605019	1.05235354656508e-06	NA
232200	1.049483974788e-06	NA
